dep;nb_inscrits;nb_votants;nb_exprimes;nbvoix_1;nbvoix_2;participation;voix_1;voix_2
78;951148;773663;758934;219063;98024;81.33991766;28.8645653;12.91601114
79;272385;221229;214398;57826;38640;81.21923013;26.97133369;18.02255618
80;409014;328525;319636;69520;97081;80.3212115;21.74974033;30.37236106
81;291194;240687;233757;51755;52402;82.65520581;22.14051344;22.41729659
82;183341;150718;146801;30319;39183;82.20638046;20.65312907;26.69123507
83;794777;625670;612438;108597;186376;78.7227109;17.73191735;30.43181514
84;402323;321721;314228;58208;95930;79.96584834;18.52412898;30.52878801
85;514442;431575;418830;109989;77590;83.8918673;26.26101282;18.52541604
86;307014;244887;237748;59146;47024;79.76411499;24.87760149;19.77892559
87;266322;215699;208415;55577;37937;80.99180691;26.66650673;18.20262457
88;282612;226219;219502;43604;63924;80.04578716;19.86496706;29.1222859
89;241918;189179;184553;36234;52640;78.19963789;19.63338445;28.52297172
90;95290;73652;71574;14771;19249;77.2924756;20.63738229;26.89384413
91;795227;637787;623487;163389;102461;80.20187946;26.20567871;16.43354232
92;986730;810015;794758;256687;60731;82.09084552;32.2975044;7.641445572
93;766894;555942;541202;130103;73534;72.49267826;24.0396377;13.58716339
94;785540;621472;607787;172202;69878;79.11398528;28.33262311;11.49711988
95;730497;562937;548138;138752;94158;77.0621919;25.3133335;17.17779099
