COM,REG,DEP,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,NORM
97201,2,972,9722,5,AJOUPA BOUILLON,Ajoupa-Bouillon,L'Ajoupa-Bouillon,,972LAJOUPABOUILLON
97202,2,972,9723,4,ANSES D ARLET,Anses-d'Arlet,Les Anses-d'Arlet,,972LESANSESDARLET
97203,2,972,9722,0,BASSE POINTE,Basse-Pointe,Basse-Pointe,,972BASSEPOINTE
97204,2,972,9724,2,CARBET,Carbet,Le Carbet,,972LECARBET
97205,2,972,9724,0,CASE PILOTE,Case-Pilote,Case-Pilote,,972CASEPILOTE
97206,2,972,9723,2,DIAMANT,Diamant,Le Diamant,,972LEDIAMANT
97207,2,972,9723,0,DUCOS,Ducos,Ducos,,972DUCOS
97208,2,972,9724,0,FONDS SAINT DENIS,Fonds-Saint-Denis,Fonds-Saint-Denis,,972FONDSSAINTDENIS
97209,2,972,9721,0,FORT DE FRANCE,Fort-de-France,Fort-de-France,,972FORTDEFRANCE
97210,2,972,9723,2,FRANCOIS,François,Le François,,972LEFRANCOIS
97211,2,972,9722,0,GRAND RIVIERE,Grand'Rivière,Grand'Rivière,,972GRANDRIVIERE
97212,2,972,9722,0,GROS MORNE,Gros-Morne,Gros-Morne,,972GROSMORNE
97213,2,972,9721,2,LAMENTIN,Lamentin,Le Lamentin,,972LELAMENTIN
97214,2,972,9722,2,LORRAIN,Lorrain,Le Lorrain,,972LELORRAIN
97215,2,972,9722,0,MACOUBA,Macouba,Macouba,,972MACOUBA
97216,2,972,9722,2,MARIGOT,Marigot,Le Marigot,,972LEMARIGOT
97217,2,972,9723,2,MARIN,Marin,Le Marin,,972LEMARIN
97218,2,972,9724,2,MORNE ROUGE,Morne-Rouge,Le Morne-Rouge,,972LEMORNEROUGE
97219,2,972,9724,2,PRECHEUR,Prêcheur,Le Prêcheur,,972LEPRECHEUR
97220,2,972,9723,0,RIVIERE PILOTE,Rivière-Pilote,Rivière-Pilote,,972RIVIEREPILOTE
97221,2,972,9723,0,RIVIERE SALEE,Rivière-Salée,Rivière-Salée,,972RIVIERESALEE
97222,2,972,9722,2,ROBERT,Robert,Le Robert,,972LEROBERT
97223,2,972,9723,0,SAINT ESPRIT,Saint-Esprit,Saint-Esprit,,972SAINTESPRIT
97224,2,972,9721,0,SAINT JOSEPH,Saint-Joseph,Saint-Joseph,,972SAINTJOSEPH
97225,2,972,9724,0,SAINT PIERRE,Saint-Pierre,Saint-Pierre,,972SAINTPIERRE
97226,2,972,9723,0,SAINTE ANNE,Sainte-Anne,Sainte-Anne,,972SAINTEANNE
97227,2,972,9723,0,SAINTE LUCE,Sainte-Luce,Sainte-Luce,,972SAINTELUCE
97228,2,972,9722,0,SAINTE MARIE,Sainte-Marie,Sainte-Marie,,972SAINTEMARIE
97229,2,972,9721,0,SCHOELCHER,Schœlcher,Schœlcher,,972SCHOELCHER
97230,2,972,9722,3,TRINITE,Trinité,La Trinité,,972LATRINITE
97231,2,972,9723,4,TROIS ILETS,Trois-Îlets,Les Trois-Îlets,,972LESTROISILETS
97232,2,972,9723,2,VAUCLIN,Vauclin,Le Vauclin,,972LEVAUCLIN
97233,2,972,9724,2,MORNE VERT,Morne-Vert,Le Morne-Vert,,972LEMORNEVERT
97234,2,972,9724,0,BELLEFONTAINE,Bellefontaine,Bellefontaine,,972BELLEFONTAINE
