dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
72,72001,1274,1120,1089,213,191,87.91,19.56,17.54,Aigné
72,72002,204,187,183,45,39,91.67,24.59,21.31,Aillières-Beauvoir
72,72003,6729,5137,4990,922,1174,76.34,18.48,23.53,Allonnes
72,72004,388,345,333,58,88,88.92,17.42,26.43,Amné-en-Champagne
72,72005,657,559,548,107,120,85.08,19.53,21.90,Ancinnes
72,72006,1381,1192,1156,289,245,86.31,25.00,21.19,Arçonnay
72,72007,359,309,305,55,90,86.07,18.03,29.51,Ardenay-sur-Mérize
72,72008,4454,3550,3456,748,703,79.7,21.64,20.34,Arnage
72,72009,236,210,205,28,42,88.98,13.66,20.49,Arthezé
72,72010,322,291,286,61,46,90.37,21.33,16.08,Asnières-sur-Vègre
72,72011,699,580,566,90,151,82.98,15.90,26.68,Assé-le-Boisne
72,72012,366,311,303,63,67,84.97,20.79,22.11,Assé-le-Riboul
72,72013,1669,1361,1315,156,420,81.55,11.86,31.94,Aubigné-Racan
72,72015,93,84,82,10,32,90.32,12.20,39.02,Les Aulneaux
72,72016,1093,911,890,140,156,83.35,15.73,17.53,Auvers-le-Hamon
72,72017,170,160,158,31,34,94.12,19.62,21.52,Auvers-sous-Montfaucon
72,72018,97,84,84,18,29,86.6,21.43,34.52,Avesnes-en-Saosnois
72,72019,287,230,220,21,51,80.14,9.55,23.18,Avessé
72,72020,530,472,460,74,131,89.06,16.09,28.48,Avezé
72,72021,424,363,356,52,66,85.61,14.61,18.54,Avoise
72,72022,823,707,683,106,165,85.91,15.52,24.16,Le Bailleul
72,72023,1592,1342,1295,232,339,84.3,17.92,26.18,Ballon-Saint Mars
72,72024,2863,2465,2413,536,476,86.1,22.21,19.73,La Bazoge
72,72025,1462,1274,1232,187,292,87.14,15.18,23.70,Bazouges Cré sur Loir
72,72026,1181,995,965,176,230,84.25,18.24,23.83,Beaufay
72,72027,276,231,224,38,53,83.7,16.96,23.66,Beaumont-sur-Dême
72,72028,391,328,322,39,89,83.89,12.11,27.64,Beaumont-Pied-de-Boeuf
72,72029,1321,1084,1056,199,238,82.06,18.84,22.54,Beaumont-sur-Sarthe
72,72031,397,321,312,41,111,80.86,13.14,35.58,Beillé
72,72032,274,224,215,27,66,81.75,12.56,30.70,Berfay
72,72033,300,255,245,50,28,85,20.41,11.43,Bernay-en-Champagne
72,72034,351,318,312,71,69,90.6,22.76,22.12,Bérus
72,72035,1643,1322,1266,219,297,80.46,17.30,23.46,Bessé-sur-Braye
72,72036,223,178,172,32,50,79.82,18.60,29.07,Béthon
72,72037,76,65,65,11,12,85.53,16.92,18.46,Blèves
72,72038,446,352,341,49,109,78.92,14.37,31.96,Boëssé-le-Sec
72,72039,2957,2283,2202,395,589,77.21,17.94,26.75,Bonnétable
72,72040,107,90,87,15,29,84.11,17.24,33.33,La Bosse
72,72041,215,201,193,35,50,93.49,18.13,25.91,Bouër
72,72042,1554,1287,1241,244,280,82.82,19.66,22.56,Bouloire
72,72043,230,210,208,44,36,91.3,21.15,17.31,Bourg-le-Roi
72,72044,312,266,258,52,47,85.26,20.16,18.22,Bousse
72,72045,526,464,452,73,113,88.21,16.15,25.00,Brains-sur-Gée
72,72046,1060,902,882,166,242,85.09,18.82,27.44,Le Breil-sur-Mérize
72,72047,1495,1273,1231,264,291,85.15,21.45,23.64,Brette-les-Pins
72,72048,437,346,333,54,119,79.18,16.22,35.74,Briosne-lès-Sables
72,72049,196,163,158,24,54,83.16,15.19,34.18,La Bruère-sur-Loir
72,72050,1158,929,908,139,168,80.22,15.31,18.50,Brûlon
