dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
68,68001,605,505,488,109,148,83.47,22.34,30.33,Algolsheim
68,68002,317,286,276,45,90,90.22,16.30,32.61,Altenach
68,68004,3853,3037,2975,632,624,78.82,21.24,20.97,Altkirch
68,68005,1374,1141,1115,294,209,83.04,26.37,18.74,Ammerschwihr
68,68006,933,804,774,136,233,86.17,17.57,30.10,Bernwiller
68,68007,1862,1567,1526,377,366,84.16,24.71,23.98,Andolsheim
68,68008,435,383,369,77,122,88.05,20.87,33.06,Appenwihr
68,68009,590,523,506,90,157,88.64,17.79,31.03,Artzenheim
68,68010,899,746,723,119,177,82.98,16.46,24.48,Aspach
68,68011,1070,890,862,189,255,83.18,21.93,29.58,Aspach-le-Bas
68,68012,1441,1240,1203,242,313,86.05,20.12,26.02,Aspach-Michelbach
68,68013,686,592,581,91,147,86.3,15.66,25.30,Attenschwiller
68,68014,272,226,215,32,50,83.09,14.88,23.26,Aubure
68,68015,2231,1805,1743,382,448,80.91,21.92,25.70,Baldersheim
68,68016,728,619,603,106,205,85.03,17.58,34.00,Balgau
68,68017,672,551,528,83,145,81.99,15.72,27.46,Ballersdorf
68,68018,646,544,527,109,137,84.21,20.68,26.00,Balschwiller
68,68019,422,353,341,67,121,83.65,19.65,35.48,Baltzenheim
68,68020,1205,1002,976,205,296,83.15,21.00,30.33,Bantzenheim
68,68021,2590,2077,2022,322,588,80.19,15.92,29.08,Bartenheim
68,68022,1234,1063,1036,184,345,86.14,17.76,33.30,Battenheim
68,68023,745,607,596,145,159,81.48,24.33,26.68,Beblenheim
68,68024,92,78,74,11,18,84.78,14.86,24.32,Bellemagny
68,68025,157,135,131,18,42,85.99,13.74,32.06,Bendorf
68,68026,1090,895,857,210,195,82.11,24.50,22.75,Bennwihr
68,68027,257,208,190,28,55,80.93,14.74,28.95,Berentzwiller
68,68028,1575,1295,1265,219,358,82.22,17.31,28.30,Bergheim
68,68029,860,741,722,154,190,86.16,21.33,26.32,Bergholtz
68,68030,344,285,273,56,75,82.85,20.51,27.47,Bergholtz-zell
68,68032,1012,874,853,188,222,86.36,22.04,26.03,Berrwiller
68,68033,398,329,321,48,117,82.66,14.95,36.45,Bettendorf
68,68034,254,215,208,37,47,84.65,17.79,22.60,Bettlach
68,68035,204,160,157,36,29,78.43,22.93,18.47,Biederthal
68,68036,1768,1396,1348,268,406,78.96,19.88,30.12,Biesheim
68,68037,351,302,297,50,103,86.04,16.84,34.68,Biltzheim
68,68038,862,741,717,155,199,85.96,21.62,27.75,Bischwihr
68,68039,461,350,345,48,120,75.92,13.91,34.78,Bisel
68,68040,1432,1133,1089,188,381,79.12,17.26,34.99,Bitschwiller-les-Thann
68,68041,1456,1234,1209,174,461,84.75,14.39,38.13,Blodelsheim
68,68042,3027,2473,2409,446,671,81.7,18.51,27.85,Blotzheim
68,68043,3022,2399,2320,418,766,79.38,18.02,33.02,Bollwiller
68,68044,613,513,500,79,126,83.69,15.80,25.20,Le Bonhomme
68,68045,485,413,404,85,124,85.15,21.04,30.69,Bourbach-le-Bas
68,68046,349,287,271,59,68,82.23,21.77,25.09,Bourbach-le-Haut
68,68049,333,265,258,36,75,79.58,13.95,29.07,Bouxwiller
68,68050,359,296,287,41,79,82.45,14.29,27.53,Bréchaumont
68,68051,733,599,591,117,183,81.72,19.80,30.96,Breitenbach-Haut-Rhin
68,68052,150,129,127,27,45,86,21.26,35.43,Bretten
68,68054,305,277,272,54,68,90.82,19.85,25.00,Brinckheim
68,68055,844,757,737,158,158,89.69,21.44,21.44,Bruebach
68,68056,6051,4931,4823,1111,983,81.49,23.04,20.38,Brunstatt-Didenheim
68,68057,197,171,169,32,51,86.8,18.93,30.18,Buethwiller
68,68058,2372,1891,1835,295,624,79.72,16.08,34.01,Buhl
68,68059,1477,1222,1184,225,383,82.74,19.00,32.35,Burnhaupt-le-Bas
68,68060,1374,1178,1145,245,333,85.74,21.40,29.08,Burnhaupt-le-Haut
68,68061,666,563,543,94,138,84.53,17.31,25.41,Buschwiller
68,68062,1603,1314,1275,242,333,81.97,18.98,26.12,Carspach
68,68063,8096,5993,5816,1068,1748,74.02,18.36,30.06,Cernay
68,68064,679,570,552,100,168,83.95,18.12,30.43,Chalampé
68,68065,488,412,407,85,153,84.43,20.88,37.59,Chavannes-sur-l'Etang
68,68066,41421,30291,29503,6954,6431,73.13,23.57,21.80,Colmar
68,68067,282,227,224,22,90,80.5,9.82,40.18,Courtavon
68,68068,1442,1222,1183,192,364,84.74,16.23,30.77,Dannemarie
68,68069,958,827,796,111,297,86.33,13.94,37.31,Dessenheim
68,68071,221,202,196,20,75,91.4,10.20,38.27,Diefmatten
68,68072,1171,989,971,201,243,84.46,20.70,25.03,Dietwiller
68,68073,376,325,317,58,124,86.44,18.30,39.12,Dolleren
68,68074,404,325,316,44,125,80.45,13.92,39.56,Durlinsdorf
68,68075,631,528,507,83,154,83.68,16.37,30.37,Durmenach
68,68076,657,557,548,67,203,84.78,12.23,37.04,Durrenentzen
68,68077,268,235,220,41,62,87.69,18.64,28.18,Eglingen
68,68078,1337,1175,1155,280,164,87.88,24.24,14.20,Eguisheim
68,68079,233,198,191,29,55,84.98,15.18,28.80,Elbach
68,68080,242,194,190,40,40,80.17,21.05,21.05,Emlingen
68,68081,454,402,393,72,114,88.55,18.32,29.01,Saint-Bernard
68,68082,5761,4410,4286,723,1501,76.55,16.87,35.02,Ensisheim
68,68083,312,264,257,42,63,84.62,16.34,24.51,Eschbach-au-Val
68,68084,1189,1020,986,242,216,85.79,24.54,21.91,Eschentzwiller
68,68085,300,259,255,50,87,86.33,19.61,34.12,Eteimbes
68,68086,167,142,138,15,49,85.03,10.87,35.51,Falkwiller
68,68087,380,319,311,40,97,83.95,12.86,31.19,Feldbach
68,68088,789,660,638,124,152,83.65,19.44,23.82,Feldkirch
68,68089,1294,1081,1044,157,356,83.54,15.04,34.10,Fellering
68,68090,425,356,352,84,78,83.76,23.86,22.16,Ferrette
68,68091,1667,1422,1385,199,440,85.3,14.37,31.77,Fessenheim
68,68092,340,296,282,19,95,87.06,6.74,33.69,Fislis
68,68093,1302,1066,1038,247,212,81.87,23.80,20.42,Flaxlanden
68,68094,587,487,476,88,108,82.96,18.49,22.69,Folgensbourg
68,68095,937,795,778,202,169,84.85,25.96,21.72,Fortschwihr
68,68096,257,223,217,15,67,86.77,6.91,30.88,Franken
68,68097,1136,972,946,180,237,85.56,19.03,25.05,Fréland
68,68098,513,434,420,63,141,84.6,15.00,33.57,Friesen
68,68099,597,500,491,93,131,83.75,18.94,26.68,Froeningen
68,68100,294,238,232,25,80,80.95,10.78,34.48,Fulleren
68,68101,633,520,513,104,119,82.15,20.27,23.20,Galfingue
68,68102,401,342,329,47,88,85.29,14.29,26.75,Geishouse
68,68103,377,329,324,65,88,87.27,20.06,27.16,Geispitzen
68,68104,215,180,170,26,69,83.72,15.29,40.59,Geiswasser
68,68105,244,192,185,30,40,78.69,16.22,21.62,Gildwiller
68,68106,276,232,220,26,90,84.06,11.82,40.91,Goldbach-Altenbach
68,68107,302,254,249,45,51,84.11,18.07,20.48,Gommersdorf
68,68109,570,504,491,116,118,88.42,23.63,24.03,Griesbach-au-Val
68,68110,696,608,584,83,218,87.36,14.21,37.33,Grussenheim
68,68111,690,583,565,126,107,84.49,22.30,18.94,Gueberschwihr
68,68112,7947,5906,5710,1017,1608,74.32,17.81,28.16,Guebwiller
68,68113,1120,921,898,147,275,82.23,16.37,30.62,Guémar
68,68114,125,110,108,21,28,88,19.44,25.93,Guevenatten
68,68115,1153,957,921,176,288,83,19.11,31.27,Guewenheim
68,68116,613,517,502,102,150,84.34,20.32,29.88,Gundolsheim
68,68117,706,617,605,104,177,87.39,17.19,29.26,Gunsbach
68,68118,3888,3127,3026,635,909,80.43,20.98,30.04,Habsheim
68,68119,555,457,441,68,114,82.34,15.42,25.85,Hagenbach
68,68120,867,684,667,112,177,78.89,16.79,26.54,Hagenthal-le-Bas
68,68121,480,399,395,69,87,83.13,17.47,22.03,Hagenthal-le-Haut
68,68122,520,429,418,99,103,82.5,23.68,24.64,Hartmannswiller
68,68123,654,545,533,107,151,83.33,20.08,28.33,Hattstatt
68,68124,340,282,272,46,57,82.94,16.91,20.96,Hausgauen
68,68125,392,332,317,64,98,84.69,20.19,30.91,Hecken
68,68126,2134,1665,1630,356,310,78.02,21.84,19.02,Hégenheim
68,68127,560,441,426,78,104,78.75,18.31,24.41,Heidwiller
68,68128,513,413,402,68,113,80.51,16.92,28.11,Heimersdorf
68,68129,1166,992,985,207,279,85.08,21.02,28.32,Heimsbrunn
68,68130,721,603,579,79,252,83.63,13.64,43.52,Heiteren
68,68131,151,125,122,6,56,82.78,4.92,45.90,Heiwiller
68,68132,551,468,458,71,135,84.94,15.50,29.48,Helfrantzkirch
68,68134,1502,1239,1199,264,313,82.49,22.02,26.11,Herrlisheim-près-Colmar
68,68135,1718,1381,1332,255,319,80.38,19.14,23.95,Hésingue
68,68136,278,243,241,29,87,87.41,12.03,36.10,Hettenschlag
68,68137,453,380,364,54,149,83.89,14.84,40.93,Hindlingen
68,68138,1643,1266,1226,208,357,77.05,16.97,29.12,Hirsingue
68,68139,1065,869,835,124,296,81.6,14.85,35.45,Hirtzbach
68,68140,953,791,776,143,275,83,18.43,35.44,Hirtzfelden
68,68141,1717,1461,1423,298,359,85.09,20.94,25.23,Hochstatt
68,68142,308,253,242,41,56,82.14,16.94,23.14,Hohrod
68,68143,1504,1288,1256,285,344,85.64,22.69,27.39,Porte du Ried
68,68144,937,789,758,148,202,84.2,19.53,26.65,Hombourg
68,68145,4493,3694,3607,931,858,82.22,25.81,23.79,Horbourg-Wihr
68,68146,1725,1480,1434,264,469,85.8,18.41,32.71,Houssen
68,68147,442,374,364,85,55,84.62,23.35,15.11,Hunawihr
68,68148,263,230,221,26,83,87.45,11.76,37.56,Hundsbach
