insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
63001;63;Aigueperse;1570;1272;1242;331;244;294;193;59;22;58;11;17;10;3;0;298;4;26.65;19.65;23.67;15.54;4.75;1.77;4.67;0.89;1.37;0.81;0.24;0;18.98;0.32
63002;63;Aix-la-Fayette;110;87;85;17;11;18;20;6;3;8;1;0;1;0;0;23;2;20;12.94;21.18;23.53;7.06;3.53;9.41;1.18;0;1.18;0;0;20.91;2.35
63003;63;Ambert;4956;3838;3703;763;638;932;682;197;112;215;51;65;42;6;0;1118;48;20.6;17.23;25.17;18.42;5.32;3.02;5.81;1.38;1.76;1.13;0.16;0;22.56;1.3
63004;63;Les Ancizes-Comps;1331;1033;1001;211;277;253;96;33;18;70;7;18;17;1;0;298;11;21.08;27.67;25.27;9.59;3.3;1.8;6.99;0.7;1.8;1.7;0.1;0;22.39;1.1
63005;63;Antoingt;288;231;225;53;30;63;41;7;7;16;4;2;2;0;0;57;0;23.56;13.33;28;18.22;3.11;3.11;7.11;1.78;0.89;0.89;0;0;19.79;0
63006;63;Anzat-le-Luguet;212;152;148;31;18;37;30;11;7;12;0;1;1;0;0;60;2;20.95;12.16;25;20.27;7.43;4.73;8.11;0;0.68;0.68;0;0;28.3;1.35
63007;63;Apchat;167;136;133;19;34;20;31;5;13;7;1;2;1;0;0;31;2;14.29;25.56;15.04;23.31;3.76;9.77;5.26;0.75;1.5;0.75;0;0;18.56;1.5
63008;63;Arconsat;519;422;398;89;69;76;107;20;11;17;0;9;0;0;0;97;9;22.36;17.34;19.1;26.88;5.03;2.76;4.27;0;2.26;0;0;0;18.69;2.26
63009;63;Ardes;434;333;326;69;82;48;57;24;16;19;4;1;6;0;0;101;3;21.17;25.15;14.72;17.48;7.36;4.91;5.83;1.23;0.31;1.84;0;0;23.27;0.92
63010;63;Arlanc;1325;1033;986;279;178;167;184;62;37;40;13;10;12;4;0;292;14;28.3;18.05;16.94;18.66;6.29;3.75;4.06;1.32;1.01;1.22;0.41;0;22.04;1.42
63011;63;Ars-les-Favets;196;151;148;29;33;30;26;4;6;12;2;3;2;1;0;45;2;19.59;22.3;20.27;17.57;2.7;4.05;8.11;1.35;2.03;1.35;0.68;0;22.96;1.35
63012;63;Artonne;644;559;540;109;99;134;101;33;8;40;4;9;3;0;0;85;6;20.19;18.33;24.81;18.7;6.11;1.48;7.41;0.74;1.67;0.56;0;0;13.2;1.11
63013;63;Aubiat;718;616;599;128;131;129;114;35;14;28;6;9;5;0;0;102;3;21.37;21.87;21.54;19.03;5.84;2.34;4.67;1;1.5;0.83;0;0;14.21;0.5
63014;63;Aubière;6517;5134;5026;673;1035;1624;896;190;89;379;41;62;27;10;0;1383;27;13.39;20.59;32.31;17.83;3.78;1.77;7.54;0.82;1.23;0.54;0.2;0;21.22;0.54
63015;63;Aubusson-d'Auvergne;202;165;155;25;41;38;18;5;8;15;0;2;2;1;0;37;2;16.13;26.45;24.52;11.61;3.23;5.16;9.68;0;1.29;1.29;0.65;0;18.32;1.29
63016;63;Augerolles;780;624;606;132;129;132;88;24;37;34;7;15;7;1;0;156;7;21.78;21.29;21.78;14.52;3.96;6.11;5.61;1.16;2.48;1.16;0.17;0;20;1.16
63017;63;Augnat;123;108;103;20;27;20;18;3;4;3;2;4;2;0;0;15;2;19.42;26.21;19.42;17.48;2.91;3.88;2.91;1.94;3.88;1.94;0;0;12.2;1.94
63019;63;Aulnat;2834;2123;2048;442;516;544;203;95;28;144;19;29;24;4;0;711;18;21.58;25.2;26.56;9.91;4.64;1.37;7.03;0.93;1.42;1.17;0.2;0;25.09;0.88
63020;63;Aurières;262;223;220;38;37;62;40;12;11;14;2;3;1;0;0;39;2;17.27;16.82;28.18;18.18;5.45;5;6.36;0.91;1.36;0.45;0;0;14.89;0.91
63021;63;Authezat;504;439;428;82;90;110;60;29;15;34;4;2;1;1;0;65;2;19.16;21.03;25.7;14.02;6.78;3.5;7.94;0.93;0.47;0.23;0.23;0;12.9;0.47
63022;63;Auzat-la-Combelle;1758;1338;1305;317;441;255;91;50;25;77;6;25;17;1;0;420;11;24.29;33.79;19.54;6.97;3.83;1.92;5.9;0.46;1.92;1.3;0.08;0;23.89;0.84
63023;63;Auzelles;344;276;269;42;60;55;40;16;20;18;5;8;4;1;0;68;3;15.61;22.3;20.45;14.87;5.95;7.43;6.69;1.86;2.97;1.49;0.37;0;19.77;1.12
63024;63;Avèze;172;143;135;23;17;33;41;4;6;6;1;1;1;2;0;29;4;17.04;12.59;24.44;30.37;2.96;4.44;4.44;0.74;0.74;0.74;1.48;0;16.86;2.96
63025;63;Ayat-sur-Sioule;134;121;121;20;20;26;30;4;6;11;2;2;0;0;0;13;0;16.53;16.53;21.49;24.79;3.31;4.96;9.09;1.65;1.65;0;0;0;9.7;0
63026;63;Aydat;1959;1654;1620;254;380;449;227;70;40;142;19;22;12;5;0;305;8;15.68;23.46;27.72;14.01;4.32;2.47;8.77;1.17;1.36;0.74;0.31;0;15.57;0.49
63027;63;Baffie;130;99;99;22;14;23;18;8;4;5;2;1;2;0;0;31;0;22.22;14.14;23.23;18.18;8.08;4.04;5.05;2.02;1.01;2.02;0;0;23.85;0
63028;63;Bagnols;423;345;328;37;42;100;87;13;14;26;1;3;3;2;0;78;5;11.28;12.8;30.49;26.52;3.96;4.27;7.93;0.3;0.91;0.91;0.61;0;18.44;1.52
63029;63;Bansat;199;178;174;36;53;39;16;4;7;14;1;1;3;0;0;21;2;20.69;30.46;22.41;9.2;2.3;4.02;8.05;0.57;0.57;1.72;0;0;10.55;1.15
63030;63;Bas-et-Lezat;236;200;191;62;26;30;31;8;6;19;1;2;6;0;0;36;3;32.46;13.61;15.71;16.23;4.19;3.14;9.95;0.52;1.05;3.14;0;0;15.25;1.57
63031;63;Beaulieu;347;272;264;61;77;58;30;7;5;15;2;7;2;0;0;75;2;23.11;29.17;21.97;11.36;2.65;1.89;5.68;0.76;2.65;0.76;0;0;21.61;0.76
63032;63;Beaumont;8360;6306;6179;624;1266;2241;1117;234;81;478;32;57;35;14;0;2054;40;10.1;20.49;36.27;18.08;3.79;1.31;7.74;0.52;0.92;0.57;0.23;0;24.57;0.65
63033;63;Beaumont-lès-Randan;238;204;196;64;37;28;22;14;7;11;3;6;4;0;0;34;1;32.65;18.88;14.29;11.22;7.14;3.57;5.61;1.53;3.06;2.04;0;0;14.29;0.51
63034;63;Beauregard-l'Evêque;1104;946;909;188;194;225;148;35;22;77;6;11;3;0;0;158;4;20.68;21.34;24.75;16.28;3.85;2.42;8.47;0.66;1.21;0.33;0;0;14.31;0.44
63035;63;Beauregard-Vendon;849;755;728;177;157;170;100;48;11;36;2;18;9;0;0;94;10;24.31;21.57;23.35;13.74;6.59;1.51;4.95;0.27;2.47;1.24;0;0;11.07;1.37
63036;63;Bergonne;282;228;214;44;35;51;35;10;11;18;1;8;0;1;0;54;4;20.56;16.36;23.83;16.36;4.67;5.14;8.41;0.47;3.74;0;0.47;0;19.15;1.87
63037;63;Bertignat;395;295;283;64;57;47;51;18;15;15;5;7;4;0;0;100;5;22.61;20.14;16.61;18.02;6.36;5.3;5.3;1.77;2.47;1.41;0;0;25.32;1.77
63038;63;Besse-et-Saint-Anastaise;1451;1118;1083;186;196;276;266;43;31;52;10;20;2;1;0;333;10;17.17;18.1;25.48;24.56;3.97;2.86;4.8;0.92;1.85;0.18;0.09;0;22.95;0.92
63039;63;Beurières;259;219;213;56;39;44;32;13;2;16;3;4;4;0;0;40;4;26.29;18.31;20.66;15.02;6.1;0.94;7.51;1.41;1.88;1.88;0;0;15.44;1.88
63040;63;Billom;3194;2611;2531;421;714;636;330;83;39;213;24;49;21;1;0;583;21;16.63;28.21;25.13;13.04;3.28;1.54;8.42;0.95;1.94;0.83;0.04;0;18.25;0.83
63041;63;Biollet;257;211;205;34;48;58;20;4;14;18;2;5;1;1;0;46;2;16.59;23.41;28.29;9.76;1.95;6.83;8.78;0.98;2.44;0.49;0.49;0;17.9;0.98
63042;63;Blanzat;2914;2290;2234;313;490;717;363;99;24;177;10;23;12;6;0;624;19;14.01;21.93;32.09;16.25;4.43;1.07;7.92;0.45;1.03;0.54;0.27;0;21.41;0.85
63043;63;Blot-l'Eglise;374;296;289;53;85;44;34;15;24;20;3;4;7;0;0;78;3;18.34;29.41;15.22;11.76;5.19;8.3;6.92;1.04;1.38;2.42;0;0;20.86;1.04
63044;63;Bongheat;319;272;267;63;77;57;19;11;7;27;1;4;0;1;0;47;0;23.6;28.84;21.35;7.12;4.12;2.62;10.11;0.37;1.5;0;0.37;0;14.73;0
63045;63;Bort-l'Etang;482;411;397;110;108;68;49;13;13;26;5;2;3;0;0;71;3;27.71;27.2;17.13;12.34;3.27;3.27;6.55;1.26;0.5;0.76;0;0;14.73;0.76
63046;63;Boudes;232;193;188;32;59;33;34;4;8;11;3;2;1;1;0;39;1;17.02;31.38;17.55;18.09;2.13;4.26;5.85;1.6;1.06;0.53;0.53;0;16.81;0.53
63047;63;La Bourboule;1435;1098;1065;174;222;281;221;38;26;72;6;11;13;1;0;337;10;16.34;20.85;26.38;20.75;3.57;2.44;6.76;0.56;1.03;1.22;0.09;0;23.48;0.94
63048;63;Bourg-Lastic;756;608;585;114;114;149;100;22;24;46;2;9;5;0;0;148;7;19.49;19.49;25.47;17.09;3.76;4.1;7.86;0.34;1.54;0.85;0;0;19.58;1.2
63049;63;Bouzel;580;468;439;99;107;121;41;26;19;16;2;4;4;0;0;112;8;22.55;24.37;27.56;9.34;5.92;4.33;3.64;0.46;0.91;0.91;0;0;19.31;1.82
63050;63;Brassac-les-Mines;2536;1902;1845;404;507;412;230;81;23;117;19;28;22;2;0;634;12;21.9;27.48;22.33;12.47;4.39;1.25;6.34;1.03;1.52;1.19;0.11;0;25;0.65
63051;63;Brenat;521;441;416;80;79;111;56;28;11;35;1;7;5;3;0;80;6;19.23;18.99;26.68;13.46;6.73;2.64;8.41;0.24;1.68;1.2;0.72;0;15.36;1.44
63052;63;Le Breuil-sur-Couze;766;631;613;117;162;150;90;26;12;28;5;16;5;2;0;135;6;19.09;26.43;24.47;14.68;4.24;1.96;4.57;0.82;2.61;0.82;0.33;0;17.62;0.98
63053;63;Briffons;270;227;218;46;39;42;39;14;14;11;5;3;3;2;0;43;1;21.1;17.89;19.27;17.89;6.42;6.42;5.05;2.29;1.38;1.38;0.92;0;15.93;0.46
63054;63;Le Broc;539;454;439;95;77;107;89;19;8;30;0;12;2;0;0;85;7;21.64;17.54;24.37;20.27;4.33;1.82;6.83;0;2.73;0.46;0;0;15.77;1.59
63055;63;Bromont-Lamothe;840;690;672;175;98;148;126;31;27;40;12;8;6;1;0;150;6;26.04;14.58;22.02;18.75;4.61;4.02;5.95;1.79;1.19;0.89;0.15;0;17.86;0.89
63056;63;Brousse;335;277;267;56;90;41;22;7;14;23;5;4;4;1;0;58;2;20.97;33.71;15.36;8.24;2.62;5.24;8.61;1.87;1.5;1.5;0.37;0;17.31;0.75
63057;63;Le Brugeron;271;223;216;41;45;53;34;15;15;5;4;1;2;1;0;48;3;18.98;20.83;24.54;15.74;6.94;6.94;2.31;1.85;0.46;0.93;0.46;0;17.71;1.39
63058;63;Bulhon;432;356;345;97;69;78;48;13;6;21;3;5;2;3;0;76;5;28.12;20;22.61;13.91;3.77;1.74;6.09;0.87;1.45;0.58;0.87;0;17.59;1.45
