insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
91001;91;Abbéville-la-Rivière;231;183;181;54;33;15;49;17;0;8;1;2;1;1;0;48;2;29.83;18.23;8.29;27.07;9.39;0;4.42;0.55;1.1;0.55;0.55;0;20.78;1.1
91016;91;Angerville;2695;2157;2099;680;447;368;268;158;13;84;28;28;21;4;0;538;15;32.4;21.3;17.53;12.77;7.53;0.62;4;1.33;1.33;1;0.19;0;19.96;0.71
91017;91;Angervilliers;1087;900;873;179;143;231;163;73;10;53;1;10;7;3;0;187;9;20.5;16.38;26.46;18.67;8.36;1.15;6.07;0.11;1.15;0.8;0.34;0;17.2;1.03
91021;91;Arpajon;6096;4630;4532;929;914;1059;885;233;38;337;51;47;28;11;0;1466;29;20.5;20.17;23.37;19.53;5.14;0.84;7.44;1.13;1.04;0.62;0.24;0;24.05;0.64
91022;91;Arrancourt;102;87;84;27;14;12;20;6;0;5;0;0;0;0;0;15;0;32.14;16.67;14.29;23.81;7.14;0;5.95;0;0;0;0;0;14.71;0
91027;91;Athis-Mons;17843;13884;13570;2298;3752;3216;1936;784;93;1046;213;138;79;15;0;3959;95;16.93;27.65;23.7;14.27;5.78;0.69;7.71;1.57;1.02;0.58;0.11;0;22.19;0.7
91035;91;Authon-la-Plaine;294;237;232;66;53;33;50;16;1;6;4;3;0;0;0;57;0;28.45;22.84;14.22;21.55;6.9;0.43;2.59;1.72;1.29;0;0;0;19.39;0
91037;91;Auvernaux;226;201;200;77;16;33;46;16;3;5;2;1;1;0;0;25;0;38.5;8;16.5;23;8;1.5;2.5;1;0.5;0.5;0;0;11.06;0
91038;91;Auvers-Saint-Georges;880;730;709;177;123;159;135;41;8;54;6;6;0;0;0;150;4;24.96;17.35;22.43;19.04;5.78;1.13;7.62;0.85;0.85;0;0;0;17.05;0.56
91041;91;Avrainville;666;587;568;105;92;149;135;31;6;37;12;0;0;1;0;79;2;18.49;16.2;26.23;23.77;5.46;1.06;6.51;2.11;0;0;0.18;0;11.86;0.35
91044;91;Ballainvilliers;2715;2385;2332;481;316;616;561;166;21;127;19;21;3;1;0;330;16;20.63;13.55;26.42;24.06;7.12;0.9;5.45;0.81;0.9;0.13;0.04;0;12.15;0.69
91045;91;Ballancourt-sur-Essonne;5072;4162;4034;1028;779;905;668;287;30;202;57;48;23;7;0;910;23;25.48;19.31;22.43;16.56;7.11;0.74;5.01;1.41;1.19;0.57;0.17;0;17.94;0.57
91047;91;Baulne;936;754;740;211;128;158;112;73;7;23;18;3;4;3;0;182;2;28.51;17.3;21.35;15.14;9.86;0.95;3.11;2.43;0.41;0.54;0.41;0;19.44;0.27
91064;91;Bièvres;3239;2812;2763;296;352;890;914;103;20;143;26;6;7;6;0;427;11;10.71;12.74;32.21;33.08;3.73;0.72;5.18;0.94;0.22;0.25;0.22;0;13.18;0.4
91067;91;Blandy;96;88;83;25;8;10;24;6;0;6;3;1;0;0;0;8;0;30.12;9.64;12.05;28.92;7.23;0;7.23;3.61;1.2;0;0;0;8.33;0
91069;91;Boigneville;343;289;279;77;36;48;78;16;2;13;3;5;1;0;0;54;5;27.6;12.9;17.2;27.96;5.73;0.72;4.66;1.08;1.79;0.36;0;0;15.74;1.79
91075;91;Bois-Herpin;62;56;56;23;5;14;12;0;0;2;0;0;0;0;0;6;0;41.07;8.93;25;21.43;0;0;3.57;0;0;0;0;0;9.68;0
91079;91;Boissy-la-Rivière;440;397;387;106;73;71;91;22;6;9;5;2;2;0;0;43;1;27.39;18.86;18.35;23.51;5.68;1.55;2.33;1.29;0.52;0.52;0;0;9.77;0.26
91080;91;Boissy-le-Cutté;840;688;665;200;138;120;97;52;6;32;5;7;7;1;0;152;6;30.08;20.75;18.05;14.59;7.82;0.9;4.81;0.75;1.05;1.05;0.15;0;18.1;0.9
91081;91;Boissy-le-Sec;528;430;413;99;67;81;106;19;5;26;2;5;3;0;0;98;9;23.97;16.22;19.61;25.67;4.6;1.21;6.3;0.48;1.21;0.73;0;0;18.56;2.18
91085;91;Boissy-sous-Saint-Yon;2877;2353;2305;588;406;526;391;147;22;143;32;31;14;5;0;524;10;25.51;17.61;22.82;16.96;6.38;0.95;6.2;1.39;1.34;0.61;0.22;0;18.21;0.43
91086;91;Bondoufle;6848;5704;5548;1128;1027;1379;1008;424;46;363;52;58;43;20;0;1144;43;20.33;18.51;24.86;18.17;7.64;0.83;6.54;0.94;1.05;0.78;0.36;0;16.71;0.78
91093;91;Boullay-les-Troux;502;452;444;40;68;127;144;19;2;39;4;1;0;0;0;50;1;9.01;15.32;28.6;32.43;4.28;0.45;8.78;0.9;0.23;0;0;0;9.96;0.23
91095;91;Bouray-sur-Juine;1579;1320;1294;260;284;311;231;92;12;75;9;13;3;4;0;259;6;20.09;21.95;24.03;17.85;7.11;0.93;5.8;0.7;1;0.23;0.31;0;16.4;0.46
91097;91;Boussy-Saint-Antoine;4891;3913;3839;620;883;917;568;430;19;293;56;26;19;8;0;978;25;16.15;23;23.89;14.8;11.2;0.49;7.63;1.46;0.68;0.49;0.21;0;20;0.65
91098;91;Boutervilliers;273;237;224;51;39;39;65;19;2;3;2;1;2;1;0;36;5;22.77;17.41;17.41;29.02;8.48;0.89;1.34;0.89;0.45;0.89;0.45;0;13.19;2.23
