dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2A,2A174,123,75,74,17,24,60.98,22.97,32.43,Pont-de-Buis-lès-Quimerch
2A,2A181,394,283,270,33,80,71.83,12.22,29.63,Pont-de-Buis-lès-Quimerch
2A,2A186,303,202,189,20,77,66.67,10.58,40.74,Pont-de-Buis-lès-Quimerch
2A,2A189,1151,793,779,180,232,68.9,23.11,29.78,Pont-de-Buis-lès-Quimerch
2A,2A191,93,59,57,1,10,63.44,1.75,17.54,Pont-de-Buis-lès-Quimerch
2A,2A196,150,99,97,19,16,66,19.59,16.49,Pont-de-Buis-lès-Quimerch
2A,2A197,147,100,96,14,20,68.03,14.58,20.83,Pont-de-Buis-lès-Quimerch
2A,2A198,532,347,340,72,98,65.23,21.18,28.82,Pont-de-Buis-lès-Quimerch
2A,2A200,278,158,153,21,58,56.83,13.73,37.91,Pont-de-Buis-lès-Quimerch
2A,2A203,100,61,58,24,11,61,41.38,18.97,Pont-de-Buis-lès-Quimerch
2A,2A204,199,117,116,16,43,58.79,13.79,37.07,Pont-de-Buis-lès-Quimerch
2A,2A209,1828,1229,1194,206,425,67.23,17.25,35.59,Pont-de-Buis-lès-Quimerch
2A,2A211,588,386,371,52,90,65.65,14.02,24.26,Pont-de-Buis-lès-Quimerch
2A,2A212,451,279,268,65,46,61.86,24.25,17.16,Pont-de-Buis-lès-Quimerch
2A,2A215,725,522,511,68,146,72,13.31,28.57,Pont-de-Buis-lès-Quimerch
2A,2A228,1199,917,902,168,200,76.48,18.63,22.17,Pont-de-Buis-lès-Quimerch
2A,2A232,260,156,152,21,43,60,13.82,28.29,Pont-de-Buis-lès-Quimerch
2A,2A240,157,120,119,36,38,76.43,30.25,31.93,Pont-de-Buis-lès-Quimerch
2A,2A247,9260,6459,6202,938,1671,69.75,15.12,26.94,Pont-de-Buis-lès-Quimerch
2A,2A249,2445,1581,1545,270,481,64.66,17.48,31.13,Pont-de-Buis-lès-Quimerch
2A,2A253,91,72,71,20,15,79.12,28.17,21.13,Pont-de-Buis-lès-Quimerch
2A,2A254,284,187,181,37,34,65.85,20.44,18.78,Pont-de-Buis-lès-Quimerch
2A,2A258,178,111,107,13,16,62.36,12.15,14.95,Pont-de-Buis-lès-Quimerch
2A,2A259,94,58,58,6,15,61.7,10.34,25.86,Pont-de-Buis-lès-Quimerch
2A,2A262,106,61,56,2,30,57.55,3.57,53.57,Pont-de-Buis-lès-Quimerch
2A,2A266,119,84,82,16,21,70.59,19.51,25.61,Pont-de-Buis-lès-Quimerch
2A,2A268,108,79,76,15,15,73.15,19.74,19.74,Pont-de-Buis-lès-Quimerch
2A,2A269,1255,899,882,107,288,71.63,12.13,32.65,Pont-de-Buis-lès-Quimerch
2A,2A270,352,264,255,50,56,75,19.61,21.96,Pont-de-Buis-lès-Quimerch
2A,2A271,2058,1418,1373,202,536,68.9,14.71,39.04,Pont-de-Buis-lès-Quimerch
2A,2A272,2341,1614,1543,270,373,68.94,17.50,24.17,Pont-de-Buis-lès-Quimerch
2A,2A276,517,372,354,67,32,71.95,18.93,9.04,Pont-de-Buis-lès-Quimerch
2A,2A278,136,98,98,19,10,72.06,19.39,10.20,Pont-de-Buis-lès-Quimerch
2A,2A279,121,93,93,37,17,76.86,39.78,18.28,Pont-de-Buis-lès-Quimerch
2A,2A282,214,155,146,41,27,72.43,28.08,18.49,Pont-de-Buis-lès-Quimerch
2A,2A284,352,245,231,31,53,69.6,13.42,22.94,Pont-de-Buis-lès-Quimerch
2A,2A285,90,56,56,18,5,62.22,32.14,8.93,Pont-de-Buis-lès-Quimerch
2A,2A288,1019,761,735,113,226,74.68,15.37,30.75,Pont-de-Buis-lès-Quimerch
2A,2A295,98,67,64,14,18,68.37,21.88,28.13,Pont-de-Buis-lès-Quimerch
2A,2A300,914,618,598,98,150,67.61,16.39,25.08,Pont-de-Buis-lès-Quimerch
2A,2A308,574,430,421,64,118,74.91,15.20,28.03,Pont-de-Buis-lès-Quimerch
2A,2A310,109,81,81,7,36,74.31,8.64,44.44,Pont-de-Buis-lès-Quimerch
2A,2A312,377,252,247,60,71,66.84,24.29,28.74,Pont-de-Buis-lès-Quimerch
2A,2A322,242,120,118,9,21,49.59,7.63,17.80,Pont-de-Buis-lès-Quimerch
2A,2A323,272,181,180,22,71,66.54,12.22,39.44,Pont-de-Buis-lès-Quimerch
2A,2A324,412,255,244,43,55,61.89,17.62,22.54,Pont-de-Buis-lès-Quimerch
2A,2A326,180,130,125,34,17,72.22,27.20,13.60,Pont-de-Buis-lès-Quimerch
2A,2A330,508,359,354,73,100,70.67,20.62,28.25,Pont-de-Buis-lès-Quimerch
2A,2A331,68,37,37,3,18,54.41,8.11,48.65,Pont-de-Buis-lès-Quimerch
2A,2A336,344,260,252,48,76,75.58,19.05,30.16,Pont-de-Buis-lès-Quimerch
2A,2A345,379,257,243,43,88,67.81,17.70,36.21,Pont-de-Buis-lès-Quimerch
2A,2A348,971,636,628,121,151,65.5,19.27,24.04,Pont-de-Buis-lès-Quimerch
2A,2A349,533,312,308,49,89,58.54,15.91,28.90,Pont-de-Buis-lès-Quimerch
2A,2A351,346,258,255,55,68,74.57,21.57,26.67,Pont-de-Buis-lès-Quimerch
2A,2A357,58,51,46,10,8,87.93,21.74,17.39,Pont-de-Buis-lès-Quimerch
2A,2A358,80,57,56,7,12,71.25,12.50,21.43,Pont-de-Buis-lès-Quimerch
2A,2A359,285,162,160,21,40,56.84,13.13,25.00,Pont-de-Buis-lès-Quimerch
2A,2A360,160,118,115,26,32,73.75,22.61,27.83,Pont-de-Buis-lès-Quimerch
2A,2A362,2027,1499,1465,209,438,73.95,14.27,29.90,Pont-de-Buis-lès-Quimerch
2A,2A363,82,47,47,6,13,57.32,12.77,27.66,Pont-de-Buis-lès-Quimerch
