dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
59,59001,358,316,311,57,94,88.27,18.33,30.23,Abancourt
59,59002,2805,2248,2188,327,931,80.14,14.95,42.55,Abscon
59,59003,249,209,204,26,88,83.94,12.75,43.14,Aibes
59,59004,877,803,791,177,177,91.56,22.38,22.38,Aix
59,59005,2744,2309,2249,495,599,84.15,22.01,26.63,Allennes-les-Marais
59,59006,175,152,146,25,44,86.86,17.12,30.14,Amfroipret
59,59007,626,539,529,80,228,86.1,15.12,43.10,Anhiers
59,59008,6791,4762,4660,583,1930,70.12,12.51,41.42,Aniche
59,59009,39182,30770,30143,7817,4584,78.53,25.93,15.21,Villeneuve-d'Ascq
59,59010,197,173,165,33,59,87.82,20.00,35.76,Anneux
59,59011,7410,5818,5599,1186,1829,78.52,21.18,32.67,Annoeullin
59,59012,2294,1670,1621,279,606,72.8,17.21,37.38,Anor
59,59013,1113,950,925,225,165,85.35,24.32,17.84,Anstaing
59,59014,8649,5927,5790,885,2290,68.53,15.28,39.55,Anzin
59,59015,2291,1885,1838,252,813,82.28,13.71,44.23,Arleux
59,59016,1854,1617,1570,308,541,87.22,19.62,34.46,Armbouts-Cappel
59,59017,17127,12161,11857,2265,3442,71,19.10,29.03,Armentières
59,59018,1167,1006,984,192,267,86.2,19.51,27.13,Arnèke
59,59019,741,623,611,140,186,84.08,22.91,30.44,Artres
59,59021,1302,1079,1045,195,441,82.87,18.66,42.20,Assevent
59,59022,1862,1570,1541,336,441,84.32,21.80,28.62,Attiches
59,59023,421,357,341,47,125,84.8,13.78,36.66,Aubencheul-au-Bac
59,59024,3241,2532,2455,419,940,78.12,17.07,38.29,Auberchicourt
59,59025,1385,1164,1146,270,223,84.04,23.56,19.46,Aubers
59,59026,886,738,718,101,336,83.3,14.07,46.80,Aubigny-au-Bac
59,59027,1267,1073,1042,241,285,84.69,23.13,27.35,Aubry-du-Hainaut
59,59028,4991,3884,3797,467,1417,77.82,12.30,37.32,Auby
59,59029,1030,918,900,181,208,89.13,20.11,23.11,Auchy-lez-Orchies
59,59031,298,241,238,35,95,80.87,14.71,39.92,Audignies
59,59032,4741,3611,3520,657,1197,76.17,18.66,34.01,Aulnoy-lez-Valenciennes
59,59033,6691,4672,4540,638,1532,69.83,14.05,33.74,Aulnoye-Aymeries
59,59034,2182,1838,1808,454,391,84.23,25.11,21.63,Avelin
59,59035,1949,1442,1417,211,452,73.99,14.89,31.90,Avesnelles
59,59036,2996,1970,1931,278,565,65.75,14.40,29.26,Avesnes-sur-Helpe
59,59037,2630,2121,2088,255,846,80.65,12.21,40.52,Avesnes-les-Aubert
59,59038,1064,905,889,126,357,85.06,14.17,40.16,Avesnes-le-Sec
59,59039,619,503,490,123,145,81.26,25.10,29.59,Awoingt
59,59041,1823,1363,1313,159,538,74.77,12.11,40.97,Bachant
59,59042,1203,1075,1056,284,227,89.36,26.89,21.50,Bachy
59,59043,10878,8945,8709,1788,2527,82.23,20.53,29.02,Bailleul
59,59044,3791,3107,3062,777,701,81.96,25.38,22.89,Baisieux
59,59045,115,74,74,6,35,64.35,8.11,47.30,Baives
59,59046,563,490,477,80,169,87.03,16.77,35.43,Bambecque
59,59047,266,211,207,24,82,79.32,11.59,39.61,Banteux
59,59048,386,336,322,72,110,87.05,22.36,34.16,Bantigny
59,59049,316,243,236,36,93,76.9,15.25,39.41,Bantouzelle
59,59050,233,199,197,40,63,85.41,20.30,31.98,Bas-Lieu
59,59051,4409,3403,3318,618,1126,77.18,18.63,33.94,La Bassée
59,59052,4113,3254,3162,519,1248,79.12,16.41,39.47,Bauvin
59,59053,2222,1813,1757,304,652,81.59,17.30,37.11,Bavay
