insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
37001;37;Abilly;822;689;663;233;98;117;115;46;7;27;4;13;2;1;0;133;10;35.14;14.78;17.65;17.35;6.94;1.06;4.07;0.6;1.96;0.3;0.15;0;16.18;1.51
37002;37;Ambillou;1184;1045;1023;271;183;198;199;75;8;64;5;8;9;3;0;139;2;26.49;17.89;19.35;19.45;7.33;0.78;6.26;0.49;0.78;0.88;0.29;0;11.74;0.2
37003;37;Amboise;8549;6804;6641;1169;1241;1635;1576;341;38;435;72;79;38;17;0;1745;56;17.6;18.69;24.62;23.73;5.13;0.57;6.55;1.08;1.19;0.57;0.26;0;20.41;0.84
37004;37;Anché;316;297;286;74;52;53;68;19;2;11;2;4;1;0;0;19;4;25.87;18.18;18.53;23.78;6.64;0.7;3.85;0.7;1.4;0.35;0;0;6.01;1.4
37005;37;Antogny le Tillac;395;306;293;83;71;48;38;22;6;12;3;6;3;1;0;89;1;28.33;24.23;16.38;12.97;7.51;2.05;4.1;1.02;2.05;1.02;0.34;0;22.53;0.34
37006;37;Artannes-sur-Indre;2119;1805;1760;361;386;388;329;117;18;115;21;15;4;6;0;314;7;20.51;21.93;22.05;18.69;6.65;1.02;6.53;1.19;0.85;0.23;0.34;0;14.82;0.4
37007;37;Assay;147;117;115;33;9;20;39;6;2;4;0;0;2;0;0;30;1;28.7;7.83;17.39;33.91;5.22;1.74;3.48;0;0;1.74;0;0;20.41;0.87
37008;37;Athée-sur-Cher;2038;1709;1655;468;335;297;313;99;15;73;21;19;12;3;0;329;22;28.28;20.24;17.95;18.91;5.98;0.91;4.41;1.27;1.15;0.73;0.18;0;16.14;1.33
37009;37;Autrèche;299;240;232;69;31;48;54;15;2;6;2;4;0;1;0;59;2;29.74;13.36;20.69;23.28;6.47;0.86;2.59;0.86;1.72;0;0.43;0;19.73;0.86
37010;37;Auzouer-en-Touraine;1383;1172;1136;331;233;214;190;78;5;52;5;11;11;6;0;211;13;29.14;20.51;18.84;16.73;6.87;0.44;4.58;0.44;0.97;0.97;0.53;0;15.26;1.14
