dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
51,51001,130,113,109,19,50,86.92,17.43,45.87,Ablancourt
51,51002,1040,879,854,128,299,84.52,14.99,35.01,Saint-Martin-d'Ablois
51,51003,203,177,171,24,67,87.19,14.04,39.18,Aigny
51,51004,96,83,82,10,22,86.46,12.20,26.83,Allemanche-Launay-et-Soyer
51,51005,118,103,103,15,29,87.29,14.56,28.16,Allemant
51,51006,124,98,94,16,29,79.03,17.02,30.85,Alliancelles
51,51007,689,567,558,72,177,82.29,12.90,31.72,Ambonnay
51,51008,189,161,160,25,59,85.19,15.63,36.88,Ambrières
51,51009,640,509,494,96,183,79.53,19.43,37.04,Anglure
51,51010,125,108,103,16,37,86.4,15.53,35.92,Angluzelles-et-Courcelles
51,51012,54,48,48,8,11,88.89,16.67,22.92,Anthenay
51,51013,87,74,73,16,16,85.06,21.92,21.92,Aougny
51,51014,268,222,220,50,53,82.84,22.73,24.09,Arcis-le-Ponsart
51,51015,91,79,76,19,27,86.81,25.00,35.53,Argers
51,51016,202,172,168,37,55,85.15,22.02,32.74,Arrigny
51,51017,261,223,222,31,111,85.44,13.96,50.00,Arzillières-Neuville
51,51018,538,459,442,73,163,85.32,16.52,36.88,Athis
51,51019,188,168,165,37,43,89.36,22.42,26.06,Aubérive
51,51020,33,27,26,5,3,81.82,19.23,11.54,Aubilly
51,51022,120,105,103,12,32,87.5,11.65,31.07,Aulnay-l'Aître
51,51023,206,179,177,35,48,86.89,19.77,27.12,Aulnay-sur-Marne
51,51025,691,619,603,112,215,89.58,18.57,35.66,Auménancourt
51,51027,198,169,163,22,33,85.35,13.50,20.25,Auve
51,51028,801,645,631,107,219,80.52,16.96,34.71,Avenay-Val-d'Or
51,51029,1178,981,954,182,284,83.28,19.08,29.77,Avize
51,51030,4031,3158,3083,533,907,78.34,17.29,29.42,Ay-Champagne
51,51031,216,198,192,36,64,91.67,18.75,33.33,Baconnes
51,51032,351,292,284,37,114,83.19,13.03,40.14,Bagneux
51,51033,184,152,147,14,84,82.61,9.52,57.14,Le Baizil
51,51034,23,21,19,1,0,91.3,5.26,0.00,Bannay
51,51035,201,176,173,31,66,87.56,17.92,38.15,Bannes
51,51036,369,303,300,46,94,82.11,15.33,31.33,Barbonne-Fayel
51,51037,245,200,194,40,52,81.63,20.62,26.80,Baslieux-lès-Fismes
51,51038,149,127,125,19,35,85.23,15.20,28.00,Baslieux-sous-Châtillon
51,51039,107,91,89,16,34,85.05,17.98,38.20,Bassu
51,51040,214,186,182,21,63,86.92,11.54,34.62,Bassuet
51,51041,96,83,83,16,20,86.46,19.28,24.10,Baudement
51,51042,350,280,273,33,78,80,12.09,28.57,Baye
51,51043,1529,1255,1230,237,453,82.08,19.27,36.83,Bazancourt
51,51044,623,527,509,118,133,84.59,23.18,26.13,Beaumont-sur-Vesle
51,51045,82,73,72,9,28,89.02,12.50,38.89,Beaunay
51,51046,767,638,619,137,130,83.18,22.13,21.00,Beine-Nauroy
51,51047,47,32,31,4,9,68.09,12.90,29.03,Belval-en-Argonne
51,51048,130,109,107,18,22,83.85,16.82,20.56,Belval-sous-Châtillon
51,51049,519,379,374,65,127,73.03,17.38,33.96,Bergères-lès-Vertus
51,51050,118,101,98,15,29,85.59,15.31,29.59,Bergères-sous-Montmirail
51,51051,158,147,143,29,46,93.04,20.28,32.17,Berméricourt
51,51052,439,392,385,99,102,89.29,25.71,26.49,Berru
51,51053,57,53,53,3,14,92.98,5.66,26.42,Berzieux
51,51054,797,667,648,104,273,83.69,16.05,42.13,Bétheniville
51,51055,5469,4390,4301,1007,1126,80.27,23.41,26.18,Bétheny
51,51056,246,198,194,23,51,80.49,11.86,26.29,Bethon
51,51057,73,62,60,4,24,84.93,6.67,40.00,Bettancourt-la-Longue
51,51058,1303,1168,1155,333,185,89.64,28.83,16.02,Bezannes
51,51059,297,256,251,48,110,86.2,19.12,43.82,Bignicourt-sur-Marne
51,51060,152,133,129,21,50,87.5,16.28,38.76,Bignicourt-sur-Saulx
