dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
73,73001,224,194,193,36,46,86.61,18.65,23.83,Aiguebelette-le-Lac
73,73002,695,510,493,82,185,73.38,16.63,37.53,Aiguebelle
73,73003,2342,1852,1790,427,429,79.08,23.85,23.97,Aigueblanche
73,73004,394,321,308,64,72,81.47,20.78,23.38,Aillon-le-Jeune
73,73005,170,133,130,27,26,78.24,20.77,20.00,Aillon-le-Vieux
73,73006,3846,3039,2957,643,614,79.02,21.75,20.76,Aime-la-Plagne
73,73007,832,704,685,113,288,84.62,16.50,42.04,Aiton
73,73008,21491,16404,16024,4003,2968,76.33,24.98,18.52,Aix-les-Bains
73,73010,4687,3828,3716,834,1028,81.67,22.44,27.66,Entrelacs
73,73011,11325,8164,7945,1741,1814,72.09,21.91,22.83,Albertville
73,73012,134,97,96,21,15,72.39,21.88,15.63,Albiez-le-Jeune
73,73013,489,368,363,78,89,75.26,21.49,24.52,Albiez-Montrond
73,73014,200,170,163,31,40,85,19.02,24.54,Allondaz
73,73015,1451,1138,1117,196,182,78.43,17.55,16.29,Les Allues
73,73017,847,718,707,145,192,84.77,20.51,27.16,Apremont
73,73018,603,526,516,99,138,87.23,19.19,26.74,Arbin
73,73019,734,613,586,100,175,83.51,17.06,29.86,Argentine
73,73020,357,296,292,38,71,82.91,13.01,24.32,Arith
73,73021,687,565,551,99,139,82.24,17.97,25.23,Arvillard
73,73022,479,377,370,80,73,78.71,21.62,19.73,Attignat-Oncin
73,73023,576,471,457,107,66,81.77,23.41,14.44,Aussois
73,73024,698,543,533,100,102,77.79,18.76,19.14,Les Avanchers-Valmorel
73,73025,389,333,324,55,72,85.6,16.98,22.22,Avressieux
73,73026,306,248,240,59,69,81.05,24.58,28.75,Avrieux
73,73027,291,245,237,47,58,84.19,19.83,24.47,Ayn
73,73028,225,196,192,41,59,87.11,21.35,30.73,La Balme
73,73029,3458,2804,2749,758,412,81.09,27.57,14.99,Barberaz
73,73030,1909,1580,1540,442,275,82.77,28.70,17.86,Barby
73,73031,3072,2460,2409,594,503,80.08,24.66,20.88,Bassens
73,73032,1618,1256,1235,232,352,77.63,18.79,28.50,La Bâthie
73,73033,329,259,250,24,75,78.72,9.60,30.00,La Bauche
73,73034,1723,1444,1417,292,233,83.81,20.61,16.44,Beaufort
73,73036,585,467,458,96,87,79.83,20.96,19.00,Bellecombe-en-Bauges
73,73039,440,364,360,75,84,82.73,20.83,23.33,Belmont-Tramonet
73,73040,381,306,296,76,47,80.31,25.68,15.88,Bessans
73,73041,239,212,197,33,66,88.7,16.75,33.50,Betton-Bettonet
73,73042,256,205,198,44,57,80.08,22.22,28.79,Billième
73,73043,1870,1541,1490,363,370,82.41,24.36,24.83,La Biolle
73,73045,287,233,229,64,45,81.18,27.95,19.65,Le Bois
73,73046,108,82,77,14,26,75.93,18.18,33.77,Bonneval
73,73047,231,171,162,24,18,74.03,14.81,11.11,Bonneval-sur-Arc
73,73048,262,209,201,51,64,79.77,25.37,31.84,Bonvillard
73,73049,118,86,83,17,28,72.88,20.48,33.73,Bonvillaret
73,73050,432,363,355,102,48,84.03,28.73,13.52,Bourdeau
73,73051,3083,2659,2605,629,481,86.25,24.15,18.46,Le Bourget-du-Lac
73,73052,137,126,120,16,26,91.97,13.33,21.67,Bourget-en-Huile
73,73053,489,409,404,55,151,83.64,13.61,37.38,Bourgneuf
73,73054,4887,3777,3667,794,592,77.29,21.65,16.14,Bourg-Saint-Maurice
73,73055,1561,1221,1190,269,174,78.22,22.61,14.62,Bozel
73,73057,412,330,322,44,53,80.1,13.66,16.46,Brides-les-Bains
73,73058,912,728,706,138,193,79.82,19.55,27.34,La Bridoire
73,73059,1894,1545,1520,425,251,81.57,27.96,16.51,Brison-Saint-Innocent
73,73061,316,278,270,51,70,87.97,18.89,25.93,Césarches
73,73063,574,461,446,78,134,80.31,17.49,30.04,Cevins
73,73064,4096,3290,3217,891,610,80.32,27.70,18.96,Challes-les-Eaux
73,73065,33059,25378,24899,6527,3508,76.77,26.21,14.09,Chambéry
73,73067,754,624,603,142,158,82.76,23.55,26.20,La Chambre
73,73068,419,345,334,51,96,82.34,15.27,28.74,Chamousset
73,73069,691,548,527,103,161,79.31,19.54,30.55,Chamoux-sur-Gelon
73,73070,474,384,373,73,128,81.01,19.57,34.32,Champagneux
73,73071,614,494,479,128,53,80.46,26.72,11.06,Champagny-en-Vanoise
73,73072,60,48,47,9,7,80,19.15,14.89,Champlaurent
73,73073,406,319,314,67,88,78.57,21.34,28.03,Chanaz
73,73074,282,229,222,32,73,81.21,14.41,32.88,La Chapelle
73,73075,486,411,402,126,70,84.57,31.34,17.41,La Chapelle-Blanche
73,73076,167,139,137,34,31,83.23,24.82,22.63,La Chapelle-du-Mont-du-Chat
73,73077,477,392,380,68,75,82.18,17.89,19.74,Les Chapelles
73,73078,121,102,100,25,20,84.3,25.00,20.00,La Chapelle-Saint-Martin
73,73079,662,548,538,144,113,82.78,26.77,21.00,Châteauneuf
73,73080,177,138,133,27,23,77.97,20.30,17.29,Le Châtel
73,73081,441,364,358,71,71,82.54,19.83,19.83,Le Châtelard
73,73082,522,444,437,116,110,85.06,26.54,25.17,La Chavanne
73,73083,198,173,169,26,81,87.37,15.38,47.93,Les Chavannes-en-Maurienne
73,73084,713,602,589,130,127,84.43,22.07,21.56,Chignin
73,73085,1041,846,830,206,162,81.27,24.82,19.52,Chindrieux
73,73086,378,307,299,56,85,81.22,18.73,28.43,Cléry
73,73087,4590,3434,3357,768,660,74.81,22.88,19.66,Cognin
73,73088,168,135,132,15,41,80.36,11.36,31.06,Cohennoz
73,73089,924,779,762,172,195,84.31,22.57,25.59,Coise-Saint-Jean-Pied-Gauthier
73,73090,224,177,174,27,35,79.02,15.52,20.11,La Compôte
73,73091,189,149,148,32,30,78.84,21.62,20.27,Conjux
73,73092,147,135,135,30,23,91.84,22.22,17.04,Corbel
73,73094,322,272,262,36,50,84.47,13.74,19.08,Crest-Voland
73,73095,272,236,230,40,55,86.76,17.39,23.91,La Croix-de-la-Rochette
73,73096,821,697,686,160,161,84.9,23.32,23.47,Cruet
73,73097,566,471,464,117,98,83.22,25.22,21.12,Curienne
73,73098,727,597,591,137,131,82.12,23.18,22.17,Les Déserts
73,73099,316,253,247,54,65,80.06,21.86,26.32,Détrier
73,73100,1493,1230,1197,285,291,82.38,23.81,24.31,Domessin
73,73101,86,74,71,16,7,86.05,22.54,9.86,Doucy-en-Bauges
73,73103,2070,1739,1691,497,313,84.01,29.39,18.51,Drumettaz-Clarafond
73,73104,338,289,283,53,69,85.5,18.73,24.38,Dullin
73,73105,838,670,651,99,213,79.95,15.21,32.72,Les Echelles
73,73106,229,192,188,31,44,83.84,16.49,23.40,Ecole
73,73107,563,452,441,99,90,80.28,22.45,20.41,Entremont-le-Vieux
73,73109,583,472,462,81,151,80.96,17.53,32.68,Epierre
73,73110,558,455,439,77,118,81.54,17.54,26.88,Esserts-Blay
73,73111,282,244,235,49,57,86.52,20.85,24.26,Etable
73,73112,480,389,384,59,136,81.04,15.36,35.42,Feissons-sur-Isère
73,73113,138,122,118,40,23,88.41,33.90,19.49,Feissons-sur-Salins
73,73114,618,516,510,81,132,83.5,15.88,25.88,Flumet
73,73116,598,452,444,95,107,75.59,21.40,24.10,Fontcouverte-la Toussuire
73,73117,513,394,377,96,93,76.8,25.46,24.67,Fourneaux
73,73118,742,608,594,159,105,81.94,26.77,17.68,Francin
73,73119,86,78,75,18,14,90.7,24.00,18.67,Freney
73,73120,400,331,323,53,79,82.75,16.41,24.46,Fréterive
73,73121,1162,919,891,205,256,79.09,23.01,28.73,Frontenex
73,73122,360,294,287,72,61,81.67,25.09,21.25,Gerbaix
73,73123,371,313,302,56,61,84.37,18.54,20.20,La Giettaz
73,73124,2408,1965,1904,512,436,81.6,26.89,22.90,Gilly-sur-Isère
73,73127,270,224,219,46,44,82.96,21.00,20.09,Gresin
73,73128,3347,2666,2602,627,615,79.65,24.10,23.64,Grésy-sur-Aix
73,73129,882,704,680,142,200,79.82,20.88,29.41,Grésy-sur-Isère
73,73130,1555,1250,1214,253,388,80.39,20.84,31.96,Grignon
73,73131,257,202,196,40,39,78.6,20.41,19.90,Hautecour
73,73132,747,596,580,78,182,79.79,13.45,31.38,Hauteluce
73,73133,300,254,244,50,69,84.67,20.49,28.28,Hauteville
73,73135,467,389,373,82,107,83.3,21.98,28.69,Hermillon
73,73137,2377,1879,1845,548,209,79.05,29.70,11.33,Jacob-Bellecombette
73,73138,455,398,387,91,89,87.47,23.51,23.00,Jarrier
73,73139,273,234,228,49,30,85.71,21.49,13.16,Jarsy
73,73140,226,198,192,53,52,87.61,27.60,27.08,Jongieux
73,73141,513,416,408,89,112,81.09,21.81,27.45,Laissaud
73,73142,620,500,487,110,107,80.65,22.59,21.97,Landry
73,73145,398,332,319,63,87,83.42,19.75,27.27,Lépin-le-Lac
73,73146,542,428,422,102,88,78.97,24.17,20.85,Lescheraines
73,73147,193,153,151,38,34,79.27,25.17,22.52,Loisieux
73,73149,258,206,199,38,64,79.84,19.10,32.16,Lucey
73,73150,3376,2725,2668,564,523,80.72,21.14,19.60,La Plagne Tarentaise
73,73151,1956,1628,1599,422,345,83.23,26.39,21.58,Les Marches
73,73152,168,140,135,32,25,83.33,23.70,18.52,Marcieux
73,73153,1204,981,947,206,273,81.48,21.75,28.83,Marthod
73,73154,2438,1981,1921,434,429,81.26,22.59,22.33,Mercury
73,73155,1391,1171,1149,310,282,84.18,26.98,24.54,Méry
73,73156,287,234,228,50,58,81.53,21.93,25.44,Meyrieux-Trouet
73,73157,2074,1531,1503,376,325,73.82,25.02,21.62,Modane
73,73159,533,449,440,99,127,84.24,22.50,28.86,Les Mollettes
73,73160,735,607,600,163,116,82.59,27.17,19.33,Montagnole
73,73161,531,425,420,85,114,80.04,20.24,27.14,Montagny
73,73162,554,462,452,91,112,83.39,20.13,24.78,Montailleur
73,73164,851,706,702,145,178,82.96,20.66,25.36,Montcel
73,73166,50,38,37,7,7,76,18.92,18.92,Montendry
73,73168,118,91,88,13,36,77.12,14.77,40.91,Montgilbert
73,73170,444,358,340,60,104,80.63,17.65,30.59,Monthion
73,73171,2328,1865,1806,460,433,80.11,25.47,23.98,Montmélian
73,73173,467,396,388,98,76,84.8,25.26,19.59,Montricher-Albanne
73,73175,150,116,113,25,23,77.33,22.12,20.35,Montsapey
73,73176,576,474,464,94,57,82.29,20.26,12.28,Montvalezan
73,73177,209,177,172,51,31,84.69,29.65,18.02,Montvernier
73,73178,415,368,360,85,78,88.67,23.61,21.67,La Motte-en-Bauges
73,73179,8647,7299,7119,1816,1523,84.41,25.51,21.39,La Motte-Servolex
73,73180,346,296,289,52,73,85.55,17.99,25.26,Motz
73,73181,1834,1305,1275,233,307,71.16,18.27,24.08,Moûtiers
73,73182,1780,1518,1478,431,297,85.28,29.16,20.09,Mouxy
73,73183,939,792,768,205,172,84.35,26.69,22.40,Myans
73,73184,399,346,335,59,68,86.72,17.61,20.30,Nances
73,73186,452,373,366,44,65,82.52,12.02,17.76,Notre-Dame-de-Bellecombe
73,73187,1633,1254,1214,193,327,76.79,15.90,26.94,La Léchère
73,73188,698,585,566,98,221,83.81,17.31,39.05,Notre-Dame-des-Millières
73,73189,167,142,139,17,51,85.03,12.23,36.69,Notre-Dame-du-Cruet
73,73190,242,192,186,32,45,79.34,17.20,24.19,Notre-Dame-du-Pré
73,73191,1583,1323,1290,332,267,83.58,25.74,20.70,Novalaise
73,73192,181,155,152,47,31,85.64,30.92,20.39,Le Noyer
73,73193,87,77,75,11,17,88.51,14.67,22.67,Ontex
73,73194,337,250,242,59,69,74.18,24.38,28.51,Orelle
73,73196,615,525,513,118,145,85.37,23.00,28.27,Pallud
73,73197,552,425,413,122,46,76.99,29.54,11.14,Peisey-Nancroix
73,73200,403,326,318,94,71,80.89,29.56,22.33,Planaise
73,73201,337,213,210,43,55,63.2,20.48,26.19,Planay
73,73202,358,303,295,70,42,84.64,23.73,14.24,Plancherine
73,73203,332,259,256,46,94,78.01,17.97,36.72,Pontamafrey-Montpascal
73,73204,1283,967,937,209,257,75.37,22.31,27.43,Le Pont-de-Beauvoisin
73,73205,131,112,110,19,38,85.5,17.27,34.55,Le Pontet
73,73206,642,478,465,126,56,74.45,27.10,12.04,Pralognan-la-Vanoise
73,73207,376,309,303,61,99,82.18,20.13,32.67,Presle
73,73208,764,660,651,184,91,86.39,28.26,13.98,Pugny-Chatenod
73,73210,313,270,266,53,90,86.26,19.92,33.83,Puygros
73,73211,715,604,582,114,146,84.48,19.59,25.09,Queige
73,73212,663,525,516,117,168,79.19,22.67,32.56,Randens
73,73213,5806,4744,4629,1194,920,81.71,25.79,19.87,La Ravoire
73,73214,204,183,182,40,45,89.71,21.98,24.73,Rochefort
73,73215,2513,1920,1872,421,495,76.4,22.49,26.44,La Rochette
73,73216,328,274,271,31,115,83.54,11.44,42.44,Rognaix
73,73217,261,216,210,62,63,82.76,29.52,30.00,Rotherens
73,73218,666,551,535,130,127,82.73,24.30,23.74,Ruffieux
73,73219,528,444,433,111,85,84.09,25.64,19.63,Saint-Alban-de-Montbel
73,73220,329,286,280,65,64,86.93,23.21,22.86,Saint-Alban-des-Hurtières
73,73221,165,148,143,41,30,89.7,28.67,20.98,Saint-Alban-des-Villards
73,73222,4696,3754,3685,954,704,79.94,25.89,19.10,Saint-Alban-Leysse
73,73223,432,343,335,79,80,79.4,23.58,23.88,Saint-André
73,73224,583,494,475,99,158,84.73,20.84,33.26,Saint-Avre
73,73225,2320,1930,1884,483,372,83.19,25.64,19.75,Saint-Baldoph
73,73226,1211,980,955,157,304,80.92,16.44,31.83,Saint-Béron
73,73227,1885,1497,1477,225,202,79.42,15.23,13.68,Courchevel
73,73228,631,531,512,128,128,84.15,25.00,25.00,Saint-Cassin
73,73229,381,303,291,56,106,79.53,19.24,36.43,Saint-Christophe-La-Grotte
