insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
86001;86;Adriers;530;442;419;88;64;106;89;11;5;36;1;9;6;4;0;88;20;21;15.27;25.3;21.24;2.63;1.19;8.59;0.24;2.15;1.43;0.95;0;16.6;4.77
86002;86;Amberre;386;324;309;105;45;50;69;13;5;12;1;6;2;1;0;62;1;33.98;14.56;16.18;22.33;4.21;1.62;3.88;0.32;1.94;0.65;0.32;0;16.06;0.32
86003;86;Anché;276;242;233;56;52;61;29;7;3;18;1;4;2;0;0;34;3;24.03;22.32;26.18;12.45;3;1.29;7.73;0.43;1.72;0.86;0;0;12.32;1.29
86004;86;Angles-sur-l'Anglin;328;275;264;32;62;69;62;9;2;21;6;0;1;0;0;53;2;12.12;23.48;26.14;23.48;3.41;0.76;7.95;2.27;0;0.38;0;0;16.16;0.76
86005;86;Angliers;491;375;361;126;52;68;61;17;7;14;3;6;4;3;0;116;14;34.9;14.4;18.84;16.9;4.71;1.94;3.88;0.83;1.66;1.11;0.83;0;23.63;3.88
86006;86;Antigny;453;346;329;74;54;93;62;12;2;22;0;7;3;0;0;107;4;22.49;16.41;28.27;18.84;3.65;0.61;6.69;0;2.13;0.91;0;0;23.62;1.22
86007;86;Antran;932;786;756;177;129;206;124;43;11;32;12;8;9;5;0;146;26;23.41;17.06;27.25;16.4;5.69;1.46;4.23;1.59;1.06;1.19;0.66;0;15.67;3.44
86008;86;Arçay;326;249;240;81;35;48;50;12;0;6;1;3;4;0;0;77;0;33.75;14.58;20;20.83;5;0;2.5;0.42;1.25;1.67;0;0;23.62;0
86009;86;Archigny;824;688;672;207;133;93;153;30;3;33;8;7;4;1;0;136;3;30.8;19.79;13.84;22.77;4.46;0.45;4.91;1.19;1.04;0.6;0.15;0;16.5;0.45
86010;86;Aslonnes;847;719;703;138;171;158;101;49;6;49;6;19;5;1;0;128;3;19.63;24.32;22.48;14.37;6.97;0.85;6.97;0.85;2.7;0.71;0.14;0;15.11;0.43
86011;86;Asnières-sur-Blour;116;93;89;24;19;8;24;3;3;6;0;0;2;0;0;23;1;26.97;21.35;8.99;26.97;3.37;3.37;6.74;0;0;2.25;0;0;19.83;1.12
86012;86;Asnois;120;97;94;23;18;15;21;5;6;2;1;2;1;0;0;23;3;24.47;19.15;15.96;22.34;5.32;6.38;2.13;1.06;2.13;1.06;0;0;19.17;3.19
86013;86;Aulnay;90;70;66;17;4;9;28;7;0;1;0;0;0;0;0;20;4;25.76;6.06;13.64;42.42;10.61;0;1.52;0;0;0;0;0;22.22;6.06
86014;86;Availles-en-Châtellerault;1311;1087;1051;228;193;294;177;76;7;51;5;7;11;2;0;224;4;21.69;18.36;27.97;16.84;7.23;0.67;4.85;0.48;0.67;1.05;0.19;0;17.09;0.38
86015;86;Availles-Limouzine;926;779;751;193;149;160;140;39;11;39;1;15;3;1;0;147;11;25.7;19.84;21.3;18.64;5.19;1.46;5.19;0.13;2;0.4;0.13;0;15.87;1.46
86016;86;Avanton;1549;1349;1304;270;279;379;191;53;23;75;10;15;7;2;0;200;17;20.71;21.4;29.06;14.65;4.06;1.76;5.75;0.77;1.15;0.54;0.15;0;12.91;1.3
86017;86;Ayron;841;670;647;177;116;131;117;37;9;36;5;9;8;2;0;171;8;27.36;17.93;20.25;18.08;5.72;1.39;5.56;0.77;1.39;1.24;0.31;0;20.33;1.24
