COM,REG,DEP,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,NORM
97401,4,974,9742,4,AVIRONS,Avirons,Les Avirons,97401,974LESAVIRONS
97402,4,974,9743,0,BRAS PANON,Bras-Panon,Bras-Panon,97406,974BRASPANON
97403,4,974,9742,1,ENTRE DEUX,Entre-Deux,Entre-Deux,97416,974ENTREDEUX
97404,4,974,9742,5,ETANG SALE,Étang-Salé,L'Étang-Salé,97401,974LETANGSALE
97405,4,974,9742,0,PETITE ILE,Petite-Île,Petite-Île,97422,974PETITEILE
97406,4,974,9743,3,PLAINE DES PALMISTES,Plaine-des-Palmistes,La Plaine-des-Palmistes,97407,974LAPLAINEDESPALMISTES
97407,4,974,9744,2,PORT,Port,Le Port,97402,974LEPORT
97408,4,974,9744,3,POSSESSION,Possession,La Possession,97403,974LAPOSSESSION
97409,4,974,9743,0,SAINT ANDRE,Saint-André,Saint-André,97491,974SAINTANDRE
97410,4,974,9743,0,SAINT BENOIT,Saint-Benoît,Saint-Benoît,97492,974SAINTBENOIT
97411,4,974,9741,0,SAINT DENIS,Saint-Denis,Saint-Denis,97493,974SAINTDENIS
97412,4,974,9742,0,SAINT JOSEPH,Saint-Joseph,Saint-Joseph,97494,974SAINTJOSEPH
97413,4,974,9744,0,SAINT LEU,Saint-Leu,Saint-Leu,97495,974SAINTLEU
97414,4,974,9742,0,SAINT LOUIS,Saint-Louis,Saint-Louis,97496,974SAINTLOUIS
97415,4,974,9744,0,SAINT PAUL,Saint-Paul,Saint-Paul,97497,974SAINTPAUL
97416,4,974,9742,0,SAINT PIERRE,Saint-Pierre,Saint-Pierre,97498,974SAINTPIERRE
97417,4,974,9742,0,SAINT PHILIPPE,Saint-Philippe,Saint-Philippe,97408,974SAINTPHILIPPE
97418,4,974,9741,0,SAINTE MARIE,Sainte-Marie,Sainte-Marie,97423,974SAINTEMARIE
97419,4,974,9743,0,SAINTE ROSE,Sainte-Rose,Sainte-Rose,97408,974SAINTEROSE
97420,4,974,9741,0,SAINTE SUZANNE,Sainte-Suzanne,Sainte-Suzanne,97404,974SAINTESUZANNE
97421,4,974,9743,0,SALAZIE,Salazie,Salazie,97406,974SALAZIE
97422,4,974,9742,2,TAMPON,Tampon,Le Tampon,97499,974LETAMPON
97423,4,974,9744,4,TROIS BASSINS,Trois-Bassins,Les Trois-Bassins,97414,974LESTROISBASSINS
97424,4,974,9742,0,CILAOS,Cilaos,Cilaos,97416,974CILAOS
