dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
78,78003,2310,1958,1911,523,433,84.76,27.37,22.66,Ablis
78,78005,13156,10121,9877,2634,1616,76.93,26.67,16.36,Achères
78,78006,620,550,536,124,113,88.71,23.13,21.08,Adainville
78,78007,839,718,703,271,63,85.58,38.55,8.96,Aigremont
78,78009,219,181,174,25,55,82.65,14.37,31.61,Allainville
78,78010,937,826,818,228,115,88.15,27.87,14.06,Les Alluets-le-Roi
78,78013,322,289,284,71,46,89.75,25.00,16.20,Andelu
78,78015,9204,7411,7250,2241,976,80.52,30.91,13.46,Andrésy
78,78020,706,619,608,128,142,87.68,21.05,23.36,Arnouville-lès-Mantes
78,78029,7034,5404,5257,1223,1201,76.83,23.26,22.85,Aubergenville
78,78030,1642,1385,1364,422,162,84.35,30.94,11.88,Auffargis
78,78031,440,372,367,67,94,84.55,18.26,25.61,Auffreville-Brasseuil
78,78033,846,745,723,138,188,88.06,19.09,26.00,Aulnay-sur-Mauldre
78,78034,722,647,637,181,111,89.61,28.41,17.43,Auteuil
78,78036,376,331,325,109,30,88.03,33.54,9.23,Autouillet
78,78043,3296,2600,2560,761,177,78.88,29.73,6.91,Bailly
78,78048,1178,1003,990,275,169,85.14,27.78,17.07,Bazainville
78,78049,1278,1068,1047,303,149,83.57,28.94,14.23,Bazemont
78,78050,489,438,432,112,40,89.57,25.93,9.26,Bazoches-sur-Guyonne
78,78053,383,339,332,85,49,88.51,25.60,14.76,Béhoust
78,78057,1302,1078,1052,245,251,82.8,23.29,23.86,Bennecourt
78,78062,5841,4874,4769,1294,796,83.44,27.13,16.69,Beynes
78,78068,731,642,633,129,173,87.82,20.38,27.33,Blaru
78,78070,238,208,204,28,68,87.39,13.73,33.33,Boinville-en-Mantois
78,78071,443,373,366,88,99,84.2,24.04,27.05,Boinville-le-Gaillard
78,78072,223,199,198,47,41,89.24,23.74,20.71,Boinvilliers
78,78073,9194,7603,7434,2145,1101,82.7,28.85,14.81,Bois-d'Arcy
78,78076,245,197,193,26,37,80.41,13.47,19.17,Boissets
78,78077,558,467,461,136,69,83.69,29.50,14.97,La Boissière-Ecole
78,78082,426,368,358,96,104,86.38,26.82,29.05,Boissy-Mauvoisin
78,78084,440,398,393,118,50,90.45,30.03,12.72,Boissy-sans-Avoir
78,78087,1481,1315,1295,419,177,88.79,32.36,13.67,Bonnelles
78,78089,2799,2139,2079,419,592,76.42,20.15,28.48,Bonnières-sur-Seine
78,78090,1441,1158,1139,251,288,80.36,22.04,25.29,Bouafle
78,78092,5930,4817,4746,1536,401,81.23,32.36,8.45,Bougival
78,78096,472,394,392,113,54,83.47,28.83,13.78,Bourdonné
78,78104,490,432,428,121,88,88.16,28.27,20.56,Breuil-Bois-Robert
78,78107,1350,1192,1161,257,320,88.3,22.14,27.56,Bréval
78,78108,903,760,752,195,143,84.16,25.93,19.02,Les Bréviaires
78,78113,456,390,382,73,90,85.53,19.11,23.56,Brueil-en-Vexin
78,78117,4319,3732,3683,1294,289,86.41,35.13,7.85,Buc
78,78118,2001,1642,1593,362,341,82.06,22.72,21.41,Buchelay
78,78120,1389,1203,1166,347,148,86.61,29.76,12.69,Bullion
78,78123,8818,6313,6170,1841,907,71.59,29.84,14.70,Carrières-sous-Poissy
78,78124,9245,7663,7525,2691,738,82.89,35.76,9.81,Carrières-sur-Seine
78,78125,756,670,665,210,66,88.62,31.58,9.92,La Celle-les-Bordes
78,78126,14756,11814,11616,3616,949,80.06,31.13,8.17,La Celle-Saint-Cloud
78,78128,1172,1070,1046,320,116,91.3,30.59,11.09,Cernay-la-Ville
78,78133,4082,3358,3303,997,336,82.26,30.18,10.17,Chambourcy
78,78138,5339,3832,3740,931,549,71.77,24.89,14.68,Chanteloup-les-Vignes
78,78140,879,755,747,186,147,85.89,24.90,19.68,Chapet
78,78143,1175,1023,1012,368,83,87.06,36.36,8.20,Châteaufort
78,78146,20558,16989,16714,5573,1381,82.64,33.34,8.26,Chatou
78,78147,306,267,261,53,67,87.25,20.31,25.67,Chaufour-lès-Bonnières
78,78152,1408,1241,1226,376,74,88.14,30.67,6.04,Chavenay
78,78158,20484,17285,17066,4678,1397,84.38,27.41,8.19,Le Chesnay
78,78160,4134,3531,3469,1124,332,85.41,32.40,9.57,Chevreuse
78,78162,431,383,378,103,47,88.86,27.25,12.43,Choisel
78,78163,281,248,247,53,51,88.26,21.46,20.65,Civry-la-Forêt
78,78164,630,543,531,127,56,86.19,23.92,10.55,Clairefontaine-en-Yvelines
78,78165,11501,9309,9114,2605,1318,80.94,28.58,14.46,Les Clayes-sous-Bois
78,78168,2446,1950,1917,495,286,79.72,25.82,14.92,Coignières
78,78171,941,815,798,209,126,86.61,26.19,15.79,Condé-sur-Vesgre
78,78172,23861,19203,18771,5366,3007,80.48,28.59,16.02,Conflans-Sainte-Honorine
78,78185,340,294,287,70,54,86.47,24.39,18.82,Courgent
78,78188,333,279,272,59,65,83.78,21.69,23.90,Cravent
78,78189,1310,1100,1085,304,124,83.97,28.02,11.43,Crespières
78,78190,7310,6320,6247,2140,409,86.46,34.26,6.55,Croissy-sur-Seine
78,78192,881,769,750,152,206,87.29,20.27,27.47,Dammartin-en-Serve
78,78193,803,699,683,210,66,87.05,30.75,9.66,Dampierre-en-Yvelines
78,78194,183,160,156,35,22,87.43,22.44,14.10,Dannemarie
78,78196,228,204,199,49,13,89.47,24.62,6.53,Davron
78,78202,359,320,313,52,95,89.14,16.61,30.35,Drocourt
78,78206,2812,2197,2128,569,384,78.13,26.74,18.05,Ecquevilly
78,78208,17131,13549,13225,3834,1548,79.09,28.99,11.71,Elancourt
78,78209,650,567,557,171,80,87.23,30.70,14.36,Emancé
78,78217,4239,3480,3411,888,677,82.09,26.03,19.85,Epône
78,78220,5052,4127,4063,1239,516,81.69,30.49,12.70,Les Essarts-le-Roi
78,78224,3657,3143,3106,1027,164,85.94,33.07,5.28,L'Etang-la-Ville
78,78227,588,521,508,140,81,88.61,27.56,15.94,Evecquemont
78,78230,419,380,372,81,102,90.69,21.77,27.42,La Falaise
78,78231,124,107,102,28,20,86.29,27.45,19.61,Favrieux
78,78233,2293,2025,2002,689,145,88.31,34.42,7.24,Feucherolles
78,78234,139,122,121,20,52,87.77,16.53,42.98,Flacourt
78,78236,485,433,426,105,60,89.28,24.65,14.08,Flexanville
78,78237,116,95,94,22,29,81.9,23.40,30.85,Flins-Neuve-Eglise
78,78238,1632,1336,1308,289,370,81.86,22.09,28.29,Flins-sur-Seine
78,78239,1312,1112,1082,214,363,84.76,19.78,33.55,Follainville-Dennemont
78,78242,8458,6830,6711,1923,757,80.75,28.65,11.28,Fontenay-le-Fleury
78,78245,350,315,311,81,55,90,26.05,17.68,Fontenay-Mauvoisin
78,78246,792,671,656,145,151,84.72,22.10,23.02,Fontenay-Saint-Père
78,78251,3209,2566,2534,911,105,79.96,35.95,4.14,Fourqueux
78,78255,2833,2200,2150,384,609,77.66,17.86,28.33,Freneuse
78,78261,524,453,438,98,92,86.45,22.37,21.00,Gaillon-sur-Montcient
78,78262,911,772,751,212,113,84.74,28.23,15.05,Galluis
78,78263,2067,1763,1727,489,251,85.29,28.31,14.53,Gambais
78,78264,57,49,48,13,4,85.96,27.08,8.33,Gambaiseuil
78,78265,1784,1550,1513,377,254,86.88,24.92,16.79,Garancières
78,78267,5293,4010,3891,844,1107,75.76,21.69,28.45,Gargenville
78,78269,938,819,801,209,121,87.31,26.09,15.11,Gazeran
78,78276,461,405,399,75,112,87.85,18.80,28.07,Gommecourt
78,78278,386,332,330,81,46,86.01,24.55,13.94,Goupillières
78,78281,481,394,384,95,91,81.91,24.74,23.70,Goussonville
78,78283,218,200,194,44,42,91.74,22.68,21.65,Grandchamp
78,78285,444,390,380,108,61,87.84,28.42,16.05,Gressey
78,78289,800,688,681,173,66,86,25.40,9.69,Grosrouvre
78,78290,728,629,609,101,209,86.4,16.58,34.32,Guernes
78,78291,1598,1338,1311,255,360,83.73,19.45,27.46,Guerville
78,78296,502,433,423,65,152,86.25,15.37,35.93,Guitrancourt
78,78297,17573,14343,13995,4369,1506,81.62,31.22,10.76,Guyancourt
78,78299,1417,1173,1149,287,241,82.78,24.98,20.97,Hardricourt
78,78300,275,245,241,61,49,89.09,25.31,20.33,Hargeville
78,78302,197,174,171,40,22,88.32,23.39,12.87,La Hauteville
78,78305,223,195,193,56,17,87.44,29.02,8.81,Herbeville
78,78307,795,710,702,163,82,89.31,23.22,11.68,Hermeray
78,78310,2330,1897,1857,461,345,81.42,24.82,18.58,Houdan
78,78311,20996,17398,17070,5811,1988,82.86,34.04,11.65,Houilles
78,78314,2892,2420,2361,537,686,83.68,22.74,29.06,Issou
78,78317,554,478,469,94,114,86.28,20.04,24.31,Jambville
78,78320,363,305,296,54,92,84.02,18.24,31.08,Jeufosse
78,78321,4050,3420,3355,988,420,84.44,29.45,12.52,Jouars-Pontchartrain
78,78322,5133,4473,4403,1569,295,87.14,35.63,6.70,Jouy-en-Josas
78,78324,411,354,350,84,91,86.13,24.00,26.00,Jouy-Mauvoisin
78,78325,466,400,392,101,89,85.84,25.77,22.70,Jumeauville
78,78327,2797,2271,2229,469,607,81.19,21.04,27.23,Juziers
78,78329,663,580,568,121,133,87.48,21.30,23.42,Lainville-en-Vexin
78,78334,1353,1170,1141,341,154,86.47,29.89,13.50,Lévis-Saint-Nom
78,78335,9681,7563,7365,1487,1728,78.12,20.19,23.46,Limay
78,78337,1525,1240,1222,233,387,81.31,19.07,31.67,Limetz-Villez
78,78343,1213,1076,1065,340,60,88.71,31.92,5.63,Les Loges-en-Josas
78,78344,528,437,432,87,119,82.77,20.14,27.55,Lommoye
78,78346,1137,936,912,192,266,82.32,21.05,29.17,Longnes
78,78349,363,317,313,76,51,87.33,24.28,16.29,Longvilliers
78,78350,5073,4388,4336,1301,318,86.5,30.00,7.33,Louveciennes
78,78354,4108,3294,3226,774,785,80.19,23.99,24.33,Magnanville
78,78356,6620,5524,5411,1598,681,83.44,29.53,12.59,Magny-les-Hameaux
78,78358,16573,14001,13829,4742,1026,84.48,34.29,7.42,Maisons-Laffitte
78,78361,22009,15180,14748,3379,1818,68.97,22.91,12.33,Mantes-la-Jolie
78,78362,11849,8410,8191,1806,1830,70.98,22.05,22.34,Mantes-la-Ville
78,78364,524,476,465,116,69,90.84,24.95,14.84,Marcq
78,78366,309,259,252,78,29,83.82,30.95,11.51,Mareil-le-Guyon
78,78367,2606,2280,2259,753,162,87.49,33.33,7.17,Mareil-Marly
78,78368,1268,1149,1137,385,131,90.62,33.86,11.52,Mareil-sur-Mauldre
78,78372,12133,10190,10024,3415,853,83.99,34.07,8.51,Marly-le-Roi
78,78380,4135,3516,3430,895,557,85.03,26.09,16.24,Maule
78,78381,640,560,540,125,119,87.5,23.15,22.04,Maulette
78,78382,2890,2498,2451,693,448,86.44,28.27,18.28,Maurecourt
78,78383,13781,10860,10649,3219,1257,78.8,30.23,11.80,Maurepas
78,78384,1067,887,874,270,118,83.13,30.89,13.50,Médan
78,78385,166,146,144,31,56,87.95,21.53,38.89,Ménerville
78,78389,1421,1214,1185,303,132,85.43,25.57,11.14,Méré
78,78391,283,235,227,33,74,83.04,14.54,32.60,Méricourt
78,78396,4824,3872,3815,1159,378,80.27,30.38,9.91,Le Mesnil-le-Roi
78,78397,5284,4459,4398,1409,401,84.39,32.04,9.12,Le Mesnil-Saint-Denis
78,78398,738,631,621,168,52,85.5,27.05,8.37,Les Mesnuls
78,78401,5668,4007,3920,873,863,70.7,22.27,22.02,Meulan-en-Yvelines
78,78402,2671,2152,2097,534,479,80.57,25.46,22.84,Mézières-sur-Seine
78,78403,1317,1145,1129,302,243,86.94,26.75,21.52,Mézy-sur-Seine
78,78404,177,160,158,42,16,90.4,26.58,10.13,Millemont
78,78406,260,223,222,63,17,85.77,28.38,7.66,Milon-la-Chapelle
78,78407,511,452,447,102,75,88.45,22.82,16.78,Mittainville
78,78410,735,614,592,126,121,83.54,21.28,20.44,Moisson
78,78413,274,247,232,39,63,90.15,16.81,27.16,Mondreville
78,78415,463,405,398,97,59,87.47,24.37,14.82,Montainville
78,78416,244,214,209,36,66,87.7,17.22,31.58,Montalet-le-Bois
78,78417,231,202,201,44,27,87.45,21.89,13.43,Montchauvet
78,78418,10201,8569,8415,2785,879,84,33.10,10.45,Montesson
78,78420,2063,1788,1753,492,192,86.67,28.07,10.95,Montfort-l'Amaury
78,78423,23833,19654,19258,6772,1797,82.47,35.16,9.33,Montigny-le-Bretonneux
78,78431,2031,1790,1767,527,193,88.13,29.82,10.92,Morainvilliers
78,78437,545,438,430,100,122,80.37,23.26,28.37,Mousseaux-sur-Seine
78,78439,78,70,66,16,14,89.74,24.24,21.21,Mulcent
78,78440,15377,10701,10358,2363,1458,69.59,22.81,14.08,Les Mureaux
78,78442,2228,1931,1897,557,202,86.67,29.36,10.65,Neauphle-le-Château
78,78443,652,562,551,145,58,86.2,26.32,10.53,Neauphle-le-Vieux
78,78444,633,532,523,104,150,84.04,19.89,28.68,Neauphlette
78,78451,727,631,606,114,165,86.8,18.81,27.23,Nézel
78,78455,6432,5200,5158,1413,352,80.85,27.39,6.82,Noisy-le-Roi
78,78460,881,753,736,164,146,85.47,22.28,19.84,Oinville-sur-Montcient
78,78464,666,615,609,164,84,92.34,26.93,13.79,Orcemont
78,78465,1913,1631,1602,419,260,85.26,26.15,16.23,Orgerus
78,78466,4884,3867,3798,1152,392,79.18,30.33,10.32,Orgeval
78,78470,693,594,577,136,100,85.71,23.57,17.33,Orphin
78,78472,232,203,200,43,57,87.5,21.50,28.50,Orsonville
78,78474,594,538,526,102,109,90.57,19.39,20.72,Orvilliers
78,78475,277,258,255,72,42,93.14,28.24,16.47,Osmoy
78,78478,151,132,130,25,32,87.42,19.23,24.62,Paray-Douaville
78,78481,11012,8825,8675,2677,857,80.14,30.86,9.88,Le Pecq
78,78484,453,409,398,74,110,90.29,18.59,27.64,Perdreauville
78,78486,5181,4302,4227,1222,694,83.03,28.91,16.42,Le Perray-en-Yvelines
78,78490,19461,15509,15172,4517,1889,79.69,29.77,12.45,Plaisir
78,78497,712,630,624,148,96,88.48,23.72,15.38,Poigny-la-Forêt
78,78498,21981,17352,16958,5026,2023,78.94,29.64,11.93,Poissy
78,78499,428,364,359,104,60,85.05,28.97,16.71,Ponthévrard
78,78501,1799,1490,1448,250,464,82.82,17.27,32.04,Porcheville
78,78502,3080,2408,2360,749,298,78.18,31.74,12.63,Le Port-Marly
78,78503,190,164,159,35,50,86.32,22.01,31.45,Port-Villez
78,78505,363,294,285,66,61,80.99,23.16,21.40,Prunay-le-Temple
78,78506,654,574,559,132,99,87.77,23.61,17.71,Prunay-en-Yvelines
78,78513,1454,1242,1218,359,169,85.42,29.47,13.88,La Queue-les-Yvelines
78,78516,682,579,569,136,92,84.9,23.90,16.17,Raizeux
78,78517,18077,15362,15084,4190,2044,84.98,27.78,13.55,Rambouillet
78,78518,101,93,93,23,9,92.08,24.73,9.68,Rennemoulin
78,78520,951,801,780,207,125,84.23,26.54,16.03,Richebourg
78,78522,699,634,620,167,66,90.7,26.94,10.65,Rochefort-en-Yvelines
