COM,REG,DEP,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,NORM
97601,6,976,,1,ACOUA,Acoua,Acoua,97609,976ACOUA
97602,6,976,,0,BANDRABOUA,Bandraboua,Bandraboua,97696,976BANDRABOUA
97603,6,976,,0,BANDRELE,Bandrele,Bandrele,97697,976BANDRELE
97604,6,976,,0,BOUENI,Bouéni,Bouéni,97602,976BOUENI
97605,6,976,,0,CHICONI,Chiconi,Chiconi,97610,976CHICONI
97606,6,976,,0,CHIRONGUI,Chirongui,Chirongui,97612,976CHIRONGUI
97607,6,976,,0,DEMBENI,Dembeni,Dembeni,97603,976DEMBENI
97608,6,976,,0,DZAOUDZI,Dzaoudzi,Dzaoudzi,97604,976DZAOUDZI
97609,6,976,,0,KANI KELI,Kani-Kéli,Kani-Kéli,97602,976KANIKELI
97610,6,976,,0,KOUNGOU,Koungou,Koungou,97698,976KOUNGOU
97611,6,976,,0,MAMOUDZOU,Mamoudzou,Mamoudzou,97699,976MAMOUDZOU
97612,6,976,,0,MTSAMBORO,Mtsamboro,Mtsamboro,97609,976MTSAMBORO
97613,6,976,,0,M TSANGAMOUJI,M'Tsangamouji,M'Tsangamouji,97613,976MTSANGAMOUJI
97614,6,976,,1,OUANGANI,Ouangani,Ouangani,97610,976OUANGANI
97615,6,976,,0,PAMANDZI,Pamandzi,Pamandzi,97611,976PAMANDZI
97616,6,976,,0,SADA,Sada,Sada,97612,976SADA
97617,6,976,,0,TSINGONI,Tsingoni,Tsingoni,97613,976TSINGONI
