dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
55,55001,244,205,198,29,64,84.02,14.65,32.32,Abainville
55,55002,82,71,68,9,24,86.59,13.24,35.29,Abaucourt-Hautecourt
55,55004,59,51,50,4,13,86.44,8.00,26.00,Aincreville
55,55005,42,36,36,4,6,85.71,11.11,16.67,Amanty
55,55007,201,165,160,22,47,82.09,13.75,29.38,Ambly-sur-Meuse
55,55008,127,113,107,8,34,88.98,7.48,31.78,Amel-sur-l'Etang
55,55009,445,351,347,72,117,78.88,20.75,33.72,Ancemont
55,55010,2100,1759,1719,309,758,83.76,17.98,44.10,Ancerville
55,55011,192,151,150,25,70,78.65,16.67,46.67,Andernay
55,55012,307,263,255,31,100,85.67,12.16,39.22,Apremont-la-Forêt
55,55013,322,269,266,38,69,83.54,14.29,25.94,Arrancy-sur-Crusne
55,55014,328,285,277,50,86,86.89,18.05,31.05,Aubréville
55,55015,385,307,298,41,149,79.74,13.76,50.00,Aulnois-en-Perthois
55,55017,97,74,69,10,17,76.29,14.49,24.64,Autrécourt-sur-Aire
55,55018,44,34,34,13,7,77.27,38.24,20.59,Autréville-Saint-Lambert
55,55021,55,44,42,6,20,80,14.29,47.62,Avillers-Sainte-Croix
55,55022,89,69,65,13,14,77.53,20.00,21.54,Avioth
55,55023,89,75,74,5,33,84.27,6.76,44.59,Avocourt
55,55024,136,102,97,22,28,75,22.68,28.87,Azannes-et-Soumazannes
55,55025,196,173,173,37,61,88.27,21.39,35.26,Baâlon
55,55026,114,98,95,7,34,85.96,7.37,35.79,Badonvilliers-Gérauvilliers
55,55027,116,91,86,8,37,78.45,9.30,43.02,Bannoncourt
55,55028,97,80,77,11,30,82.47,14.29,38.96,Bantheville
55,55029,10523,7751,7596,1901,1638,73.66,25.03,21.56,Bar-le-Duc
55,55030,61,47,47,2,25,77.05,4.26,53.19,Baudignécourt
55,55031,345,288,278,42,119,83.48,15.11,42.81,Baudonvilliers
55,55032,45,38,35,2,15,84.44,5.71,42.86,Baudrémont
55,55033,16,11,10,2,1,68.75,20.00,10.00,Baulny
55,55034,76,62,59,10,17,81.58,16.95,28.81,Bazeilles-sur-Othain
55,55035,139,116,113,30,35,83.45,26.55,30.97,Bazincourt-sur-Saulx
55,55036,72,67,66,10,32,93.06,15.15,48.48,Beauclair
55,55037,112,84,83,16,31,75,19.28,37.35,Beaufort-en-Argonne
55,55038,37,32,30,7,6,86.49,23.33,20.00,Beaulieu-en-Argonne
55,55040,218,186,178,35,36,85.32,19.66,20.22,Beausite
55,55041,572,475,460,149,84,83.04,32.39,18.26,Behonne
55,55042,383,354,343,85,75,92.43,24.78,21.87,Belleray
55,55043,2469,1998,1949,398,697,80.92,20.42,35.76,Belleville-sur-Meuse
55,55044,34,31,31,11,7,91.18,35.48,22.58,Belrain
55,55045,429,364,348,81,124,84.85,23.28,35.63,Belrupt-en-Verdunois
55,55046,102,78,77,10,25,76.47,12.99,32.47,Beney-en-Woëvre
55,55047,156,118,113,14,47,75.64,12.39,41.59,Béthelainville
55,55048,31,27,23,8,5,87.1,34.78,21.74,Béthincourt
55,55049,300,244,232,46,72,81.33,19.83,31.03,Beurey-sur-Saulx
55,55051,101,86,81,8,21,85.15,9.88,25.93,Biencourt-sur-Orge
55,55053,260,195,187,22,63,75,11.76,33.69,Billy-sous-Mangiennes
55,55054,63,46,45,5,11,73.02,11.11,24.44,Bislée
55,55055,19,19,19,0,3,100,0.00,15.79,Blanzée
55,55057,60,47,47,4,20,78.33,8.51,42.55,Boinville-en-Woëvre
55,55058,233,202,198,58,51,86.7,29.29,25.76,Boncourt-sur-Meuse
55,55059,174,154,147,26,61,88.51,17.69,41.50,Bonnet
55,55060,308,260,253,42,56,84.42,16.60,22.13,Bonzée
55,55061,195,150,145,17,57,76.92,11.72,39.31,Le Bouchon-sur-Saulx
55,55062,86,74,74,4,36,86.05,5.41,48.65,Bouconville-sur-Madt
55,55063,1784,1287,1254,222,368,72.14,17.70,29.35,Bouligny
55,55064,76,59,57,9,26,77.63,15.79,45.61,Bouquemont
55,55065,102,90,89,24,32,88.24,26.97,35.96,Boureuilles
55,55066,117,99,95,18,42,84.62,18.95,44.21,Bovée-sur-Barboure
55,55067,100,84,82,18,27,84,21.95,32.93,Boviolles
55,55068,76,65,61,13,16,85.53,21.31,26.23,Brabant-en-Argonne
55,55069,183,157,153,36,35,85.79,23.53,22.88,Brabant-le-Roi
55,55070,98,89,82,7,30,90.82,8.54,36.59,Brabant-sur-Meuse
55,55071,117,96,91,12,27,82.05,13.19,29.67,Brandeville
55,55072,77,72,71,17,21,93.51,23.94,29.58,Braquis
55,55073,564,472,458,121,112,83.69,26.42,24.45,Bras-sur-Meuse
55,55075,134,106,105,9,58,79.1,8.57,55.24,Brauvilliers
55,55076,131,108,105,12,47,82.44,11.43,44.76,Bréhéville
55,55077,142,112,109,29,35,78.87,26.61,32.11,Breux
55,55078,264,200,197,32,74,75.76,16.24,37.56,Brieulles-sur-Meuse
55,55079,461,395,384,84,107,85.68,21.88,27.86,Brillon-en-Barrois
55,55080,85,76,74,22,28,89.41,29.73,37.84,Brixey-aux-Chanoines
55,55081,50,46,46,12,15,92,26.09,32.61,Brizeaux
55,55082,46,40,40,16,5,86.96,40.00,12.50,Brocourt-en-Argonne
55,55083,113,94,93,15,53,83.19,16.13,56.99,Brouennes
55,55084,63,50,48,7,22,79.37,14.58,45.83,Broussey-en-Blois
55,55085,212,180,169,24,67,84.91,14.20,39.64,Broussey-Raulecourt
55,55087,68,52,49,3,17,76.47,6.12,34.69,Bure
55,55088,99,81,79,8,24,81.82,10.13,30.38,Burey-en-Vaux
55,55089,74,63,63,10,27,85.14,15.87,42.86,Burey-la-Côte
55,55093,238,208,203,44,41,87.39,21.67,20.20,Buxières-sous-les-Côtes
55,55094,398,349,335,45,126,87.69,13.43,37.61,Buzy-Darmont
55,55095,118,97,96,10,42,82.2,10.42,43.75,Cesse
55,55096,91,79,78,3,33,86.81,3.85,42.31,Chaillon
55,55097,261,201,195,41,65,77.01,21.03,33.33,Chalaines
55,55099,99,82,80,17,27,82.83,21.25,33.75,Champneuville
55,55100,86,73,69,14,14,84.88,20.29,20.29,Champougny
55,55101,257,215,206,32,66,83.66,15.53,32.04,Chardogne
55,55102,449,395,388,90,96,87.97,23.20,24.74,Charny-sur-Meuse
55,55103,26,23,23,6,7,88.46,26.09,30.43,Charpentry
55,55104,73,66,65,3,18,90.41,4.62,27.69,Chassey-Beaupré
55,55105,135,113,112,27,35,83.7,24.11,31.25,Châtillon-sous-les-Côtes
55,55106,138,102,97,12,34,73.91,12.37,35.05,Chattancourt
55,55107,44,34,34,3,16,77.27,8.82,47.06,Chaumont-devant-Damvillers
55,55108,127,108,106,26,18,85.04,24.53,16.98,Chaumont-sur-Aire
55,55109,128,98,95,17,34,76.56,17.89,35.79,Chauvency-le-Château
55,55110,164,123,122,12,72,75,9.84,59.02,Chauvency-Saint-Hubert
55,55111,403,332,315,56,115,82.38,17.78,36.51,Chauvoncourt
55,55113,115,94,91,15,27,81.74,16.48,29.67,Cheppy
55,55114,176,138,137,17,41,78.41,12.41,29.93,Chonville-Malaumont
55,55115,41,34,33,7,13,82.93,21.21,39.39,Cierges-sous-Montfaucon
55,55116,46,39,37,3,11,84.78,8.11,29.73,Le Claon
55,55117,1027,821,804,161,254,79.94,20.02,31.59,Clermont-en-Argonne
55,55118,62,56,56,5,32,90.32,8.93,57.14,Cléry-Grand
55,55119,130,109,104,21,40,83.85,20.19,38.46,Cléry-Petit
55,55120,691,578,562,136,127,83.65,24.20,22.60,Combles-en-Barrois
55,55121,94,74,72,14,9,78.72,19.44,12.50,Combres-sous-les-Côtes
55,55122,3543,2690,2627,521,690,75.92,19.83,26.27,Commercy
55,55123,575,508,496,82,172,88.35,16.53,34.68,Les Hauts-de-Chée
55,55124,222,194,188,27,61,87.39,14.36,32.45,Consenvoye
55,55125,560,481,468,86,190,85.89,18.38,40.60,Contrisson
55,55127,34,31,30,9,9,91.18,30.00,30.00,Courcelles-en-Barrois
55,55128,42,38,38,5,2,90.48,13.16,5.26,Courcelles-sur-Aire
55,55129,48,36,36,7,17,75,19.44,47.22,Courouvre
55,55132,1229,1034,1012,132,472,84.13,13.04,46.64,Cousances-les-Forges
55,55133,86,66,62,11,14,76.74,17.74,22.58,Couvertpuis
55,55134,108,92,89,14,33,85.19,15.73,37.08,Couvonges
55,55137,40,31,31,8,7,77.5,25.81,22.58,Cuisy
55,55138,136,110,110,28,20,80.88,25.45,18.18,Culey
55,55140,13,12,12,2,4,92.31,16.67,33.33,Cunel
55,55141,70,62,60,16,19,88.57,26.67,31.67,Dagonville
55,55142,127,99,96,10,42,77.95,10.42,43.75,Dainville-Bertheléville
55,55143,105,92,88,19,17,87.62,21.59,19.32,Damloup
55,55144,315,245,238,39,91,77.78,16.39,38.24,Dammarie-sur-Saulx
55,55145,473,358,354,90,106,75.69,25.42,29.94,Damvillers
55,55146,145,116,114,24,37,80,21.05,32.46,Dannevoux
55,55148,99,88,82,12,36,88.89,14.63,43.90,Delouze-Rosières
55,55149,81,69,67,7,29,85.19,10.45,43.28,Delut
55,55150,422,331,319,41,116,78.44,12.85,36.36,Demange-aux-Eaux
55,55153,141,120,117,18,31,85.11,15.38,26.50,Dieppe-sous-Douaumont
55,55154,1111,890,872,167,313,80.11,19.15,35.89,Dieue-sur-Meuse
55,55155,319,269,262,59,89,84.33,22.52,33.97,Dombasle-en-Argonne
55,55156,111,86,86,8,21,77.48,9.30,24.42,Dombras
55,55157,40,32,32,5,17,80,15.63,53.13,Dommartin-la-Montagne
55,55158,515,405,391,29,170,78.64,7.42,43.48,Dommary-Baroncourt
55,55159,298,215,207,25,92,72.15,12.08,44.44,Dompcevrin
55,55160,42,38,37,7,13,90.48,18.92,35.14,Dompierre-aux-Bois
55,55162,27,24,22,5,8,88.89,22.73,36.36,Domremy-la-Canne
55,55163,64,54,50,7,19,84.38,14.00,38.00,Doncourt-aux-Templiers
55,55164,6,6,6,1,2,100,16.67,33.33,Douaumont
55,55165,321,275,267,41,80,85.67,15.36,29.96,Doulcon
55,55166,1119,912,879,235,247,81.5,26.73,28.10,Dugny-sur-Meuse
55,55167,407,326,323,52,83,80.1,16.10,25.70,Dun-sur-Meuse
55,55168,39,34,32,7,11,87.18,21.88,34.38,Duzey
55,55169,240,168,167,30,49,70,17.96,29.34,Ecouviez
55,55170,103,82,81,18,30,79.61,22.22,37.04,Ecurey-en-Verdunois
55,55171,180,149,142,39,41,82.78,27.46,28.87,Eix
55,55172,71,55,54,6,16,77.46,11.11,29.63,Les Eparges
55,55173,44,39,39,6,12,88.64,15.38,30.77,Epiez-sur-Meuse
55,55174,51,46,46,3,15,90.2,6.52,32.61,Epinonville
55,55175,155,143,142,25,60,92.26,17.61,42.25,Erize-la-Brûlée
55,55177,45,40,40,8,19,88.89,20.00,47.50,Erize-la-Petite
55,55178,153,131,124,30,49,85.62,24.19,39.52,Erize-Saint-Dizier
55,55179,129,106,103,9,35,82.17,8.74,33.98,Erneville-aux-Bois
55,55180,101,85,82,8,31,84.16,9.76,37.80,Esnes-en-Argonne
55,55181,2477,1899,1857,325,692,76.67,17.50,37.26,Etain
55,55182,164,132,131,16,46,80.49,12.21,35.11,Eton
55,55183,42,34,34,4,15,80.95,11.76,44.12,Etraye
55,55184,1296,1095,1073,193,401,84.49,17.99,37.37,Euville
55,55185,79,71,69,12,17,89.87,17.39,24.64,Evres
55,55186,1678,1410,1377,347,356,84.03,25.20,25.85,Fains-Véel
55,55188,27,22,22,2,5,81.48,9.09,22.73,Flassigny
55,55191,175,137,136,23,38,78.29,16.91,27.94,Foameix-Ornel
55,55192,44,33,33,12,9,75,36.36,27.27,Fontaines-Saint-Clair
55,55193,105,90,88,12,34,85.71,13.64,38.64,Forges-sur-Meuse
55,55194,47,39,37,6,7,82.98,16.22,18.92,Foucaucourt-sur-Thabas
55,55195,118,91,88,14,26,77.12,15.91,29.55,Fouchères-aux-Bois
55,55196,98,86,86,13,31,87.76,15.12,36.05,Frémeréville-sous-les-Côtes
55,55197,117,104,96,15,28,88.89,15.63,29.17,Fresnes-au-Mont
55,55198,512,426,415,98,120,83.2,23.61,28.92,Fresnes-en-Woëvre
55,55199,81,64,62,12,13,79.01,19.35,20.97,Froidos
55,55200,178,140,136,26,36,78.65,19.12,26.47,Fromeréville-les-Vallons
55,55201,50,47,46,9,13,94,19.57,28.26,Fromezey
55,55202,148,112,109,17,39,75.68,15.60,35.78,Futeau
55,55204,197,163,158,32,59,82.74,20.25,37.34,Génicourt-sur-Meuse
55,55206,114,93,90,11,24,81.58,12.22,26.67,Gercourt-et-Drillancourt
55,55207,41,35,35,3,16,85.37,8.57,45.71,Géry
55,55208,42,35,33,10,9,83.33,30.30,27.27,Gesnes-en-Argonne
