insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
85001;85;L'Aiguillon-sur-Mer;1879;1526;1486;389;165;344;411;80;11;51;10;14;10;1;0;353;19;26.18;11.1;23.15;27.66;5.38;0.74;3.43;0.67;0.94;0.67;0.07;0;18.79;1.28
85002;85;L'Aiguillon-sur-Vie;1499;1277;1242;274;164;270;350;80;17;44;9;21;10;3;0;222;13;22.06;13.2;21.74;28.18;6.44;1.37;3.54;0.72;1.69;0.81;0.24;0;14.81;1.05
85003;85;Aizenay;6857;5926;5754;997;837;1747;1294;347;41;312;39;81;46;13;0;931;62;17.33;14.55;30.36;22.49;6.03;0.71;5.42;0.68;1.41;0.8;0.23;0;13.58;1.08
85004;85;Angles;2439;2069;2021;515;307;511;432;123;13;74;12;22;8;4;0;370;16;25.48;15.19;25.28;21.38;6.09;0.64;3.66;0.59;1.09;0.4;0.2;0;15.17;0.79
85005;85;Antigny;777;674;646;131;51;126;259;38;7;14;2;8;7;3;0;103;14;20.28;7.89;19.5;40.09;5.88;1.08;2.17;0.31;1.24;1.08;0.46;0;13.26;2.17
85006;85;Apremont;1272;1035;996;249;178;205;190;64;12;62;13;12;8;3;0;237;10;25;17.87;20.58;19.08;6.43;1.2;6.22;1.31;1.2;0.8;0.3;0;18.63;1
85008;85;Aubigny-Les Clouzeaux;4823;4157;4060;623;780;1194;792;246;32;282;26;47;30;8;0;666;34;15.34;19.21;29.41;19.51;6.06;0.79;6.95;0.64;1.16;0.74;0.2;0;13.81;0.84
85009;85;Auchay-sur-Vendée;842;726;707;143;115;185;157;45;16;19;6;14;4;3;0;116;7;20.23;16.27;26.17;22.21;6.36;2.26;2.69;0.85;1.98;0.57;0.42;0;13.78;0.99
85010;85;Avrillé;1098;920;895;247;115;177;251;49;8;24;6;12;6;0;0;178;10;27.6;12.85;19.78;28.04;5.47;0.89;2.68;0.67;1.34;0.67;0;0;16.21;1.12
85011;85;Barbâtre;1517;1252;1219;260;175;286;354;48;12;51;10;13;9;1;0;265;14;21.33;14.36;23.46;29.04;3.94;0.98;4.18;0.82;1.07;0.74;0.08;0;17.47;1.15
85012;85;La Barre-de-Monts;1835;1526;1482;346;256;322;328;112;7;69;6;15;17;4;0;309;13;23.35;17.27;21.73;22.13;7.56;0.47;4.66;0.4;1.01;1.15;0.27;0;16.84;0.88
85013;85;Bazoges-en-Paillers;922;836;797;132;119;252;189;46;3;34;1;12;8;1;0;86;15;16.56;14.93;31.62;23.71;5.77;0.38;4.27;0.13;1.51;1;0.13;0;9.33;1.88
85014;85;Bazoges-en-Pareds;822;655;639;160;90;117;188;38;7;20;3;9;7;0;0;167;10;25.04;14.08;18.31;29.42;5.95;1.1;3.13;0.47;1.41;1.1;0;0;20.32;1.56
85015;85;Beaufou;1050;924;894;181;139;238;198;54;7;49;6;15;7;0;0;126;8;20.25;15.55;26.62;22.15;6.04;0.78;5.48;0.67;1.68;0.78;0;0;12;0.89
85016;85;Beaulieu-sous-la-Roche;1588;1360;1307;268;202;381;292;68;9;47;9;22;6;3;0;228;14;20.5;15.46;29.15;22.34;5.2;0.69;3.6;0.69;1.68;0.46;0.23;0;14.36;1.07
85017;85;Beaurepaire;1660;1459;1391;231;192;395;337;106;10;65;15;24;11;5;0;201;18;16.61;13.8;28.4;24.23;7.62;0.72;4.67;1.08;1.73;0.79;0.36;0;12.11;1.29
85018;85;Beauvoir-sur-Mer;3205;2625;2546;652;377;531;629;186;19;86;10;30;23;3;0;580;27;25.61;14.81;20.86;24.71;7.31;0.75;3.38;0.39;1.18;0.9;0.12;0;18.1;1.06
85019;85;Bellevigny;4466;3869;3754;594;715;1183;660;230;25;226;26;53;33;9;0;597;52;15.82;19.05;31.51;17.58;6.13;0.67;6.02;0.69;1.41;0.88;0.24;0;13.37;1.39
85020;85;Benet;3006;2565;2498;415;475;691;488;164;29;162;15;31;22;6;0;441;17;16.61;19.02;27.66;19.54;6.57;1.16;6.49;0.6;1.24;0.88;0.24;0;14.67;0.68
85021;85;La Bernardière;1254;1107;1068;251;179;299;178;62;12;51;5;16;11;4;0;147;14;23.5;16.76;28;16.67;5.81;1.12;4.78;0.47;1.5;1.03;0.37;0;11.72;1.31
85022;85;Le Bernard;953;834;820;212;119;173;195;55;7;36;7;10;5;1;0;119;5;25.85;14.51;21.1;23.78;6.71;0.85;4.39;0.85;1.22;0.61;0.12;0;12.49;0.61
85023;85;Bessay;319;274;266;67;33;57;54;18;9;21;2;2;2;1;0;45;2;25.19;12.41;21.43;20.3;6.77;3.38;7.89;0.75;0.75;0.75;0.38;0;14.11;0.75
85024;85;Bois-de-Céné;1469;1208;1176;312;152;254;304;75;13;39;6;7;11;3;0;261;13;26.53;12.93;21.6;25.85;6.38;1.11;3.32;0.51;0.6;0.94;0.26;0;17.77;1.11
85025;85;La Boissière-de-Montaigu;1671;1468;1430;252;221;365;411;75;11;57;9;12;14;3;0;203;7;17.62;15.45;25.52;28.74;5.24;0.77;3.99;0.63;0.84;0.98;0.21;0;12.15;0.49
85026;85;La Boissière-des-Landes;1030;892;863;155;147;227;197;61;2;45;8;12;6;3;0;138;11;17.96;17.03;26.3;22.83;7.07;0.23;5.21;0.93;1.39;0.7;0.35;0;13.4;1.27
85027;85;Boufféré;2308;2066;2012;276;286;643;486;140;10;117;12;25;14;3;0;242;16;13.72;14.21;31.96;24.16;6.96;0.5;5.82;0.6;1.24;0.7;0.15;0;10.49;0.8
85028;85;Bouillé-Courdault;423;365;355;64;77;99;60;19;4;18;3;6;5;0;0;58;1;18.03;21.69;27.89;16.9;5.35;1.13;5.07;0.85;1.69;1.41;0;0;13.71;0.28
85029;85;Bouin;1753;1474;1429;393;192;219;396;118;20;55;7;11;16;2;0;279;17;27.5;13.44;15.33;27.71;8.26;1.4;3.85;0.49;0.77;1.12;0.14;0;15.92;1.19
85031;85;Le Boupère;2359;2052;1973;333;239;441;684;140;16;53;17;36;9;5;0;307;17;16.88;12.11;22.35;34.67;7.1;0.81;2.69;0.86;1.82;0.46;0.25;0;13.01;0.86
85033;85;Bourneau;581;504;486;114;77;100;110;28;15;25;2;10;5;0;0;77;5;23.46;15.84;20.58;22.63;5.76;3.09;5.14;0.41;2.06;1.03;0;0;13.25;1.03
85034;85;Bournezeau;2421;2027;1941;373;280;561;455;98;22;89;9;29;20;5;0;394;29;19.22;14.43;28.9;23.44;5.05;1.13;4.59;0.46;1.49;1.03;0.26;0;16.27;1.49
85035;85;Bretignolles-sur-Mer;4151;3534;3466;646;412;854;1101;209;25;129;44;33;11;2;0;617;22;18.64;11.89;24.64;31.77;6.03;0.72;3.72;1.27;0.95;0.32;0.06;0;14.86;0.63
85036;85;La Bretonnière-La Claye;421;364;349;97;48;73;68;26;8;17;4;4;4;0;0;57;5;27.79;13.75;20.92;19.48;7.45;2.29;4.87;1.15;1.15;1.15;0;0;13.54;1.43
85037;85;Breuil-Barret;455;400;388;69;42;82;125;30;7;10;5;15;1;2;0;55;4;17.78;10.82;21.13;32.22;7.73;1.8;2.58;1.29;3.87;0.26;0.52;0;12.09;1.03
85038;85;Les Brouzils;2072;1794;1741;301;278;427;474;111;14;84;14;23;14;1;0;278;21;17.29;15.97;24.53;27.23;6.38;0.8;4.82;0.8;1.32;0.8;0.06;0;13.42;1.21
85039;85;La Bruffière;2839;2463;2375;415;404;647;523;176;18;107;11;42;25;7;0;376;32;17.47;17.01;27.24;22.02;7.41;0.76;4.51;0.46;1.77;1.05;0.29;0;13.24;1.35
85040;85;La Caillère-Saint-Hilaire;809;668;641;135;90;150;175;35;11;20;2;13;7;3;0;141;10;21.06;14.04;23.4;27.3;5.46;1.72;3.12;0.31;2.03;1.09;0.47;0;17.43;1.56
85041;85;Cezais;236;216;212;43;26;32;74;15;5;9;3;4;1;0;0;20;1;20.28;12.26;15.09;34.91;7.08;2.36;4.25;1.42;1.89;0.47;0;0;8.47;0.47
85042;85;Chaillé-les-Marais;1389;1159;1125;309;230;203;211;66;17;43;6;27;11;2;0;230;13;27.47;20.44;18.04;18.76;5.87;1.51;3.82;0.53;2.4;0.98;0.18;0;16.56;1.16
85045;85;La Chaize-Giraud;760;650;632;163;74;141;159;38;10;26;10;6;2;3;0;110;15;25.79;11.71;22.31;25.16;6.01;1.58;4.11;1.58;0.95;0.32;0.47;0;14.47;2.37
85046;85;La Chaize-le-Vicomte;2588;2258;2177;403;364;662;418;126;15;135;8;30;13;3;0;330;30;18.51;16.72;30.41;19.2;5.79;0.69;6.2;0.37;1.38;0.6;0.14;0;12.75;1.38
