dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
89,89002,74,69,68,19,15,93.24,27.94,22.06,Aigremont
89,89003,2205,1750,1703,333,499,79.37,19.55,29.30,Montholon
89,89004,187,150,142,31,38,80.21,21.83,26.76,Aisy-sur-Armançon
89,89005,704,515,503,77,147,73.15,15.31,29.22,Ancy-le-Franc
89,89006,160,123,122,19,34,76.88,15.57,27.87,Ancy-le-Libre
89,89007,387,302,289,54,76,78.04,18.69,26.30,Andryes
89,89008,132,93,93,21,22,70.45,22.58,23.66,Angely
89,89009,294,258,250,62,67,87.76,24.80,26.80,Annay-la-Côte
89,89010,212,175,171,23,34,82.55,13.45,19.88,Annay-sur-Serein
89,89011,105,93,90,16,9,88.57,17.78,10.00,Annéot
89,89012,90,73,71,8,15,81.11,11.27,21.13,Annoux
89,89013,2426,1918,1870,417,504,79.06,22.30,26.95,Appoigny
89,89014,405,335,326,49,123,82.72,15.03,37.73,Arces-Dilo
89,89015,375,301,294,58,67,80.27,19.73,22.79,Arcy-sur-Cure
89,89016,80,58,57,4,18,72.5,7.02,31.58,Argentenay
89,89017,198,155,151,21,33,78.28,13.91,21.85,Argenteuil-sur-Armançon
89,89018,531,438,433,81,154,82.49,18.71,35.57,Armeau
89,89019,153,121,118,19,31,79.08,16.10,26.27,Arthonnay
89,89020,125,105,100,16,21,84,16.00,21.00,Asnières-sous-Bois
89,89021,275,241,231,51,17,87.64,22.08,7.36,Asquins
89,89022,118,104,100,12,28,88.14,12.00,28.00,Athie
89,89023,807,640,621,129,146,79.31,20.77,23.51,Augy
89,89024,21184,16035,15654,3951,2934,75.69,25.24,18.74,Auxerre
89,89025,4596,3343,3250,826,775,72.74,25.42,23.85,Avallon
89,89027,176,146,142,20,52,82.95,14.08,36.62,Bagneaux
89,89028,59,54,53,5,22,91.53,9.43,41.51,Baon
89,89029,583,472,462,110,140,80.96,23.81,30.30,Bassou
89,89030,327,235,222,52,55,71.87,23.42,24.77,Bazarnes
89,89031,463,368,359,65,126,79.48,18.11,35.10,Beaumont
89,89032,76,53,53,9,7,69.74,16.98,13.21,Beauvilliers
89,89033,292,253,243,58,50,86.64,23.87,20.58,Beauvoir
89,89034,355,291,285,52,93,81.97,18.25,32.63,Beine
89,89035,353,286,271,44,95,81.02,16.24,35.06,Bellechaume
89,89036,192,164,163,40,64,85.42,24.54,39.26,La Belliole
89,89037,392,317,308,41,109,80.87,13.31,35.39,Béon
89,89038,90,75,75,13,21,83.33,17.33,28.00,Bernouil
89,89039,72,53,49,7,13,73.61,14.29,26.53,Béru
89,89040,166,144,138,24,39,86.75,17.39,28.26,Bessy-sur-Cure
89,89041,245,208,200,43,82,84.9,21.50,41.00,Beugnon
89,89042,187,133,131,31,36,71.12,23.66,27.48,Bierry-les-Belles-Fontaines
89,89043,91,78,77,10,22,85.71,12.99,28.57,Blacy
89,89044,119,87,86,19,16,73.11,22.09,18.60,Blannay
89,89045,262,210,207,51,58,80.15,24.64,28.02,Bleigny-le-Carreau
89,89046,1035,802,782,136,242,77.49,17.39,30.95,Bléneau
89,89048,244,194,190,32,64,79.51,16.84,33.68,Boeurs-en-Othe
89,89049,34,26,26,2,3,76.47,7.69,11.54,Bois-d'Arcy
89,89050,666,550,528,106,189,82.58,20.08,35.80,Bonnard
89,89051,370,307,306,36,112,82.97,11.76,36.60,Les Bordes
89,89053,328,272,267,59,67,82.93,22.10,25.09,Branches
89,89054,530,437,427,81,141,82.45,18.97,33.02,Brannay
89,89055,1997,1416,1380,205,625,70.91,14.86,45.29,Brienon-sur-Armançon
89,89056,465,386,379,55,97,83.01,14.51,25.59,Brion
89,89057,252,198,194,25,37,78.57,12.89,19.07,Brosses
89,89058,123,97,96,29,22,78.86,30.21,22.92,Bussières
89,89059,547,444,436,66,162,81.17,15.14,37.16,Bussy-en-Othe
89,89060,310,250,248,40,72,80.65,16.13,29.03,Bussy-le-Repos
89,89061,214,178,175,23,73,83.18,13.14,41.71,Butteaux
89,89062,245,195,194,37,70,79.59,19.07,36.08,Carisey
89,89063,601,493,484,77,163,82.03,15.91,33.68,La Celle-Saint-Cyr
89,89064,43,39,36,12,9,90.7,33.33,25.00,Censy
89,89065,36,26,26,3,5,72.22,11.54,19.23,Cérilly
89,89066,729,594,584,105,177,81.48,17.98,30.31,Cerisiers
89,89067,880,664,649,102,260,75.45,15.72,40.06,Cézy
89,89068,1559,1260,1235,252,336,80.82,20.40,27.21,Chablis
89,89069,433,332,325,51,135,76.67,15.69,41.54,Chailley
89,89071,94,69,68,18,17,73.4,26.47,25.00,Chamoux
89,89072,197,156,154,17,43,79.19,11.04,27.92,Champcevrais
89,89073,806,670,649,129,224,83.13,19.88,34.51,Champignelles
89,89074,1623,1221,1189,177,443,75.23,14.89,37.26,Champigny
89,89075,516,431,421,60,144,83.53,14.25,34.20,Champlay
89,89076,566,484,477,65,160,85.51,13.63,33.54,Champlost
89,89077,1132,880,857,168,221,77.74,19.60,25.79,Champs-sur-Yonne
89,89079,551,444,438,82,141,80.58,18.72,32.19,Chamvres
89,89080,454,375,365,97,102,82.6,26.58,27.95,La Chapelle-sur-Oreuse
89,89081,66,57,55,15,6,86.36,27.27,10.91,La Chapelle-Vaupelteigne
89,89083,1456,1230,1206,271,272,84.48,22.47,22.55,Charbuy
89,89084,219,180,172,36,49,82.19,20.93,28.49,Charentenay
89,89085,889,695,678,120,245,78.18,17.70,36.14,Charmoy
89,89086,4042,3238,3185,544,1037,80.11,17.08,32.56,Charny Orée de Puisaye
89,89087,226,177,165,29,45,78.32,17.58,27.27,Chassignelles
89,89088,340,280,268,43,87,82.35,16.04,32.46,Chassy
89,89089,141,115,114,23,38,81.56,20.18,33.33,Chastellux-sur-Cure
89,89091,449,367,362,60,112,81.74,16.57,30.94,Châtel-Censoir
89,89092,172,153,147,39,27,88.95,26.53,18.37,Châtel-Gérard
89,89093,456,373,364,47,144,81.8,12.91,39.56,Chaumont
89,89094,462,367,364,44,117,79.44,12.09,32.14,Chaumot
89,89095,133,110,109,15,26,82.71,13.76,23.85,Chemilly-sur-Serein
89,89096,664,557,536,119,182,83.89,22.20,33.96,Chemilly-sur-Yonne
89,89098,159,135,131,34,37,84.91,25.95,28.24,Cheney
89,89099,1575,1202,1178,193,375,76.32,16.38,31.83,Cheny
89,89100,1126,877,851,101,322,77.89,11.87,37.84,Chéroy
89,89101,328,275,271,50,113,83.84,18.45,41.70,Chéu
89,89102,1812,1440,1415,330,327,79.47,23.32,23.11,Chevannes
89,89104,272,217,211,27,86,79.78,12.80,40.76,Chichée
89,89105,328,265,258,78,63,80.79,30.23,24.42,Chichery
89,89108,271,218,214,34,58,80.44,15.89,27.10,Chitry
89,89109,47,39,39,3,13,82.98,7.69,33.33,Cisery
89,89111,230,181,177,21,59,78.7,11.86,33.33,Les Clérimois
89,89112,148,123,120,19,38,83.11,15.83,31.67,Collan
89,89113,503,399,389,64,140,79.32,16.45,35.99,Collemiers
89,89115,134,114,112,15,57,85.07,13.39,50.89,Compigny
89,89116,275,242,237,29,79,88,12.24,33.33,Cornant
89,89117,154,144,141,18,45,93.51,12.77,31.91,Coulangeron
89,89118,526,432,410,78,93,82.13,19.02,22.68,Coulanges-la-Vineuse
89,89119,362,275,263,61,75,75.97,23.19,28.52,Coulanges-sur-Yonne
89,89120,118,88,88,9,32,74.58,10.23,36.36,Coulours
89,89122,426,326,321,45,139,76.53,14.02,43.30,Courgenay
89,89123,200,169,168,40,23,84.5,23.81,13.69,Courgis
89,89124,914,726,709,105,257,79.43,14.81,36.25,Courlon-sur-Yonne
89,89125,573,452,441,76,123,78.88,17.23,27.89,Courson-les-Carrières
89,89126,44,37,36,3,2,84.09,8.33,5.56,Courtoin
89,89127,516,426,418,78,133,82.56,18.66,31.82,Courtois-sur-Yonne
89,89128,97,88,87,21,33,90.72,24.14,37.93,Coutarnoux
89,89129,345,250,242,37,86,72.46,15.29,35.54,Crain
89,89130,934,738,720,148,195,79.01,20.56,27.08,Deux Rivières
89,89131,201,169,165,35,43,84.08,21.21,26.06,Cruzy-le-Châtel
89,89132,129,102,100,15,23,79.07,15.00,23.00,Cry
89,89133,248,207,204,30,75,83.47,14.71,36.76,Cudot
89,89134,266,234,229,39,63,87.97,17.03,27.51,Cussy-les-Forges
89,89136,611,518,509,82,192,84.78,16.11,37.72,Cuy
89,89137,378,310,303,59,87,82.01,19.47,28.71,Dannemoine
