dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
31,31001,90,76,74,15,10,84.44,20.27,13.51,Agassac
31,31002,206,180,178,31,44,87.38,17.42,24.72,Aignes
31,31003,989,890,872,317,90,89.99,36.35,10.32,Aigrefeuille
31,31004,2058,1831,1801,492,271,88.97,27.32,15.05,Ayguesvives
31,31005,251,201,196,38,47,80.08,19.39,23.98,Alan
31,31006,170,155,148,48,28,91.18,32.43,18.92,Albiac
31,31007,63,58,58,7,20,92.06,12.07,34.48,Ambax
31,31008,203,180,173,36,40,88.67,20.81,23.12,Anan
31,31009,81,70,69,21,14,86.42,30.43,20.29,Antichan-de-Frontignes
31,31010,93,81,79,14,9,87.1,17.72,11.39,Antignac
31,31011,244,211,207,45,27,86.48,21.74,13.04,Arbas
31,31012,89,82,79,17,8,92.13,21.52,10.13,Arbon
31,31013,289,251,242,72,44,86.85,29.75,18.18,Ardiège
31,31014,84,71,71,23,15,84.52,32.39,21.13,Arguenos
31,31015,38,27,27,8,7,71.05,29.63,25.93,Argut-Dessous
31,31017,83,68,66,13,18,81.93,19.70,27.27,Arlos
31,31018,212,164,162,27,38,77.36,16.67,23.46,Arnaud-Guilhem
31,31019,39,30,28,8,6,76.92,28.57,21.43,Artigue
31,31020,843,637,627,160,116,75.56,25.52,18.50,Aspet
31,31021,125,105,103,25,22,84,24.27,21.36,Aspret-Sarrat
31,31022,5898,4651,4517,1115,956,78.86,24.68,21.16,Aucamville
31,31023,288,205,199,51,48,71.18,25.63,24.12,Aulon
31,31024,326,289,278,55,36,88.65,19.78,12.95,Auragne
31,31025,668,612,602,183,58,91.62,30.40,9.63,Aureville
31,31026,853,755,736,154,165,88.51,20.92,22.42,Auriac-sur-Vendinelle
31,31027,178,144,140,18,45,80.9,12.86,32.14,Auribail
31,31028,796,646,620,156,106,81.16,25.16,17.10,Aurignac
31,31029,250,218,213,32,59,87.2,15.02,27.70,Aurin
31,31030,59,53,50,7,13,89.83,14.00,26.00,Ausseing
31,31031,442,371,359,109,96,83.94,30.36,26.74,Ausson
31,31032,5020,4150,4053,1081,798,82.67,26.67,19.69,Aussonne
31,31033,6908,5510,5364,1099,1466,79.76,20.49,27.33,Auterive
31,31034,176,152,145,29,21,86.36,20.00,14.48,Auzas
31,31035,2336,2086,2057,742,144,89.3,36.07,7.00,Auzeville-Tolosane
31,31036,1140,1046,1023,368,116,91.75,35.97,11.34,Auzielle
31,31037,1072,938,913,247,174,87.5,27.05,19.06,Avignonet-Lauragais
31,31038,477,440,434,113,77,92.24,26.04,17.74,Azas
31,31039,57,49,47,4,9,85.96,8.51,19.15,Bachas
31,31040,44,34,32,6,7,77.27,18.75,21.88,Bachos
31,31041,104,79,75,15,26,75.96,20.00,34.67,Bagiry
31,31042,2332,1760,1717,377,243,75.47,21.96,14.15,Bagnères-de-Luchon
31,31043,148,113,110,22,19,76.35,20.00,17.27,Balesta
31,31044,11247,9947,9740,3197,1009,88.44,32.82,10.36,Balma
31,31045,307,249,246,53,47,81.11,21.54,19.11,Barbazan
31,31046,13,11,11,6,0,84.62,54.55,0.00,Baren
31,31047,88,71,67,10,7,80.68,14.93,10.45,Bax
31,31048,2450,2150,2104,596,399,87.76,28.33,18.96,Baziège
31,31049,478,422,415,97,82,88.28,23.37,19.76,Bazus
31,31050,390,329,320,64,84,84.36,20.00,26.25,Beauchalot
31,31051,298,258,250,61,68,86.58,24.40,27.20,Beaufort
31,31052,1229,1077,1059,242,265,87.63,22.85,25.02,Beaumont-sur-Lèze
31,31053,922,845,825,256,132,91.65,31.03,16.00,Beaupuy
31,31054,143,129,126,32,23,90.21,25.40,18.25,Beauteville
31,31055,121,109,105,34,18,90.08,32.38,17.14,Beauville
31,31056,4499,3824,3726,1075,631,85,28.85,16.94,Beauzelle
31,31057,1141,1037,1015,319,159,90.89,31.43,15.67,Belberaud
31,31058,89,79,77,21,14,88.76,27.27,18.18,Belbèze-de-Lauragais
31,31059,102,84,82,17,9,82.35,20.73,10.98,Belbèze-en-Comminges
31,31060,100,80,77,16,15,80,20.78,19.48,Bélesta-en-Lauragais
31,31061,162,140,138,31,24,86.42,22.46,17.39,Bellegarde-Sainte-Marie
31,31062,81,70,67,11,16,86.42,16.42,23.88,Bellesserre
31,31063,129,103,97,11,28,79.84,11.34,28.87,Benque
31,31064,39,32,32,14,1,82.05,43.75,3.13,Benque-Dessous-et-Dessus
31,31065,2047,1750,1704,340,460,85.49,19.95,27.00,Bérat
31,31066,2665,2207,2161,502,511,82.81,23.23,23.65,Bessières
31,31067,51,43,43,10,2,84.31,23.26,4.65,Bezins-Garraux
31,31068,36,28,28,6,3,77.78,21.43,10.71,Billière
31,31069,16022,13265,12955,3959,1685,82.79,30.56,13.01,Blagnac
31,31070,316,268,264,60,65,84.81,22.73,24.62,Blajan
31,31071,266,227,221,36,76,85.34,16.29,34.39,Bois-de-la-Pierre
31,31072,67,56,54,20,5,83.58,37.04,9.26,Boissède
31,31073,384,343,338,91,86,89.32,26.92,25.44,Bondigoux
31,31074,254,232,228,44,44,91.34,19.30,19.30,Bonrepos-Riquet
31,31075,850,752,744,189,152,88.47,25.40,20.43,Bonrepos-sur-Aussonnelle
31,31076,387,314,309,39,95,81.14,12.62,30.74,Bordes-de-Rivière
31,31077,396,343,338,69,106,86.62,20.41,31.36,Le Born
31,31078,118,103,102,17,16,87.29,16.67,15.69,Boudrac
31,31079,3459,2966,2881,751,590,85.75,26.07,20.48,Bouloc
31,31080,1022,845,819,184,179,82.68,22.47,21.86,Boulogne-sur-Gesse
31,31081,23,20,20,6,3,86.96,30.00,15.00,Bourg-d'Oueil
31,31082,744,672,662,151,146,90.32,22.81,22.05,Bourg-Saint-Bernard
31,31083,209,185,183,35,38,88.52,19.13,20.77,Boussan
31,31084,832,688,675,150,184,82.69,22.22,27.26,Boussens
31,31085,312,256,251,44,44,82.05,17.53,17.53,Boutx
31,31086,84,76,75,10,11,90.48,13.33,14.67,Bouzin
31,31087,242,199,195,33,47,82.23,16.92,24.10,Bragayrac
31,31088,2179,1933,1887,615,241,88.71,32.59,12.77,Brax
31,31089,429,360,355,90,86,83.92,25.35,24.23,Bretx
31,31090,302,257,252,51,78,85.1,20.24,30.95,Brignemont
31,31091,4076,3538,3445,945,659,86.8,27.43,19.13,Bruguières
31,31092,128,109,108,15,23,85.16,13.89,21.30,Burgalays
31,31093,615,532,519,100,131,86.5,19.27,25.24,Le Burgaud
31,31094,1952,1623,1606,394,384,83.15,24.53,23.91,Buzet-sur-Tarn
31,31095,107,82,80,14,13,76.64,17.50,16.25,Cabanac-Cazaux
31,31096,149,134,129,25,42,89.93,19.38,32.56,Cabanac-Séguenville
31,31097,263,234,231,38,45,88.97,16.45,19.48,Le Cabanial
31,31098,742,620,599,145,167,83.56,24.21,27.88,Cadours
31,31099,256,225,220,60,35,87.89,27.27,15.91,Caignac
31,31100,1605,1350,1327,245,322,84.11,18.46,24.27,Calmont
31,31101,373,329,324,79,95,88.2,24.38,29.32,Cambernard
31,31102,153,128,120,32,17,83.66,26.67,14.17,Cambiac
31,31103,51,45,44,10,7,88.24,22.73,15.91,Canens
31,31104,463,420,408,90,126,90.71,22.06,30.88,Capens
31,31105,191,168,163,45,22,87.96,27.61,13.50,Caragoudes
31,31106,1888,1645,1597,361,380,87.13,22.60,23.79,Caraman
31,31107,4343,3464,3381,662,790,79.76,19.58,23.37,Carbonne
31,31108,223,176,163,37,58,78.92,22.70,35.58,Cardeilhac
31,31109,345,263,256,59,47,76.23,23.05,18.36,Cassagnabère-Tournas
31,31110,560,464,454,119,107,82.86,26.21,23.57,Cassagne
31,31111,208,183,176,16,50,87.98,9.09,28.41,Castagnac
31,31112,153,122,114,18,39,79.74,15.79,34.21,Castagnède
31,31113,9087,7740,7546,2470,901,85.18,32.73,11.94,Castanet-Tolosan
31,31114,213,161,155,39,38,75.59,25.16,24.52,Castelbiague
31,31115,52,45,45,10,15,86.54,22.22,33.33,Castelgaillard
31,31116,6923,6034,5875,1491,1170,87.16,25.38,19.91,Castelginest
31,31117,3255,2742,2685,759,452,84.24,28.27,16.83,Castelmaurou
31,31118,4061,3423,3342,814,799,84.29,24.36,23.91,Castelnau-d'Estrétefonds
31,31119,183,158,153,32,46,86.34,20.92,30.07,Castelnau-Picampeau
31,31120,604,528,520,121,140,87.42,23.27,26.92,Le Castéra
31,31121,52,43,41,14,17,82.69,34.15,41.46,Castéra-Vignoles
31,31122,95,84,78,9,25,88.42,11.54,32.05,Casties-Labrande
31,31123,65,57,55,20,7,87.69,36.36,12.73,Castillon-de-Larboust
31,31124,294,253,246,56,67,86.05,22.76,27.24,Castillon-de-Saint-Martory
31,31125,40,35,34,9,2,87.5,26.47,5.88,Cathervielle
31,31126,270,237,233,62,53,87.78,26.61,22.75,Caubiac
31,31127,16,9,7,0,0,56.25,0.00,0.00,Caubous
31,31128,601,524,512,127,125,87.19,24.80,24.41,Caujac
31,31129,35,26,26,2,0,74.29,7.69,0.00,Cazarilh-Laspènes
31,31130,75,62,59,13,7,82.67,22.03,11.86,Cazaril-Tambourès
31,31131,71,57,57,10,11,80.28,17.54,19.30,Cazaunous
31,31132,66,59,58,13,9,89.39,22.41,15.52,Cazaux-Layrisse
31,31133,73,68,68,16,5,93.15,23.53,7.35,Cazeaux-de-Larboust
31,31134,65,52,51,7,3,80,13.73,5.88,Cazeneuve-Montaut
31,31135,3570,2752,2674,492,693,77.09,18.40,25.92,Cazères
31,31136,1058,928,908,216,212,87.71,23.79,23.35,Cépet
31,31137,134,114,111,26,30,85.07,23.42,27.03,Cessales
31,31138,183,160,153,37,34,87.43,24.18,22.22,Charlas
31,31139,159,127,126,29,36,79.87,23.02,28.57,Chaum
31,31140,185,150,148,29,35,81.08,19.59,23.65,Chein-Dessus
31,31141,194,152,147,29,40,78.35,19.73,27.21,Ciadoux
31,31142,207,167,167,43,30,80.68,25.75,17.96,Cier-de-Luchon
31,31143,248,186,179,37,45,75,20.67,25.14,Cier-de-Rivière
31,31144,633,504,485,103,127,79.62,21.24,26.19,Cierp-Gaud
31,31145,2301,1936,1878,357,496,84.14,19.01,26.41,Cintegabelle
31,31146,24,20,20,9,1,83.33,45.00,5.00,Cirès
31,31147,528,426,419,91,133,80.68,21.72,31.74,Clarac
31,31148,392,338,330,74,35,86.22,22.42,10.61,Clermont-le-Fort
31,31149,23739,19740,19254,5473,3226,83.15,28.43,16.75,Colomiers
31,31150,4416,3779,3703,1013,701,85.58,27.36,18.93,Cornebarrieu
31,31151,633,592,567,176,45,93.52,31.04,7.94,Corronsac
31,31152,75,60,60,23,8,80,38.33,13.33,Coueilles
31,31153,316,261,251,51,65,82.59,20.32,25.90,Couladère
31,31155,171,143,138,41,24,83.63,29.71,17.39,Couret
31,31156,259,215,211,36,66,83.01,17.06,31.28,Cox
31,31157,11748,9641,9439,2697,1498,82.07,28.57,15.87,Cugnaux
31,31158,196,136,134,25,32,69.39,18.66,23.88,Cuguron
31,31159,310,251,250,43,88,80.97,17.20,35.20,Le Cuing
31,31160,1599,1381,1347,324,279,86.37,24.05,20.71,Daux
31,31161,860,769,754,249,110,89.42,33.02,14.59,Deyme
31,31162,821,727,714,234,115,88.55,32.77,16.11,Donneville
31,31163,2207,1948,1903,514,294,88.26,27.01,15.45,Drémil-Lafage
31,31164,168,153,144,28,46,91.07,19.44,31.94,Drudas
31,31165,4246,3655,3577,838,947,86.08,23.43,26.47,Eaunes
31,31166,192,167,163,30,39,86.98,18.40,23.93,Empeaux
31,31167,504,429,416,96,81,85.12,23.08,19.47,Encausse-les-Thermes
