dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
93,93001,27335,18147,17620,3976,2208,66.39,22.57,12.53,Aubervilliers
93,93005,44365,31072,30209,6704,4231,70.04,22.19,14.01,Aulnay-sous-Bois
93,93006,18413,12941,12624,2941,1323,70.28,23.30,10.48,Bagnolet
93,93007,24714,17900,17410,3557,2926,72.43,20.43,16.81,Le Blanc-Mesnil
93,93008,22493,14498,14006,3272,1652,64.46,23.36,11.79,Bobigny
93,93010,24568,18122,17554,4151,2422,73.76,23.65,13.80,Bondy
93,93013,6337,4625,4504,1138,687,72.98,25.27,15.25,Le Bourget
93,93014,11199,6809,6586,1452,923,60.8,22.05,14.01,Clichy-sous-Bois
93,93015,3370,2780,2733,550,729,82.49,20.12,26.67,Coubron
93,93027,14653,10404,10037,2031,1159,71,20.24,11.55,La Courneuve
93,93029,34898,24909,24167,5137,4670,71.38,21.26,19.32,Drancy
93,93030,5028,3560,3426,632,626,70.8,18.45,18.27,Dugny
93,93031,25622,17131,16682,4184,1793,66.86,25.08,10.75,Epinay-sur-Seine
93,93032,21326,16873,16431,4235,2786,79.12,25.77,16.96,Gagny
93,93033,4713,4000,3913,1034,603,84.87,26.42,15.41,Gournay-sur-Marne
93,93039,3659,2725,2664,562,289,74.47,21.10,10.85,L'Ile-Saint-Denis
93,93045,14455,11595,11365,3114,883,80.21,27.40,7.77,Les Lilas
93,93046,22325,17755,17333,4136,3527,79.53,23.86,20.35,Livry-Gargan
93,93047,12713,9406,9162,1795,2023,73.99,19.59,22.08,Montfermeil
93,93048,57574,43330,42448,10690,3531,75.26,25.18,8.32,Montreuil
93,93049,12446,10056,9851,2726,1384,80.8,27.67,14.05,Neuilly-Plaisance
93,93050,18221,14090,13671,3875,2230,77.33,28.34,16.31,Neuilly-sur-Marne
93,93051,36847,28910,28223,8232,3650,78.46,29.17,12.93,Noisy-le-Grand
93,93053,20003,14371,14009,3238,1729,71.84,23.11,12.34,Noisy-le-Sec
93,93055,25229,19157,18727,4777,1598,75.93,25.51,8.53,Pantin
93,93057,11706,8750,8552,2122,1365,74.75,24.81,15.96,Les Pavillons-sous-Bois
93,93059,11555,7869,7618,1717,982,68.1,22.54,12.89,Pierrefitte-sur-Seine
93,93061,9096,6974,6837,1783,648,76.67,26.08,9.48,Le Pré-Saint-Gervais
93,93062,10624,7933,7800,2169,938,74.67,27.81,12.03,Le Raincy
93,93063,14489,10293,10050,2307,1350,71.04,22.96,13.43,Romainville
93,93064,23232,17061,16538,4220,2504,73.44,25.52,15.14,Rosny-sous-Bois
93,93066,44726,29677,28870,6645,2907,66.35,23.02,10.07,Saint-Denis
93,93070,24431,17279,16891,4270,1591,70.73,25.28,9.42,Saint-Ouen
93,93071,22729,16106,15670,3856,2270,70.86,24.61,14.49,Sevran
93,93072,16424,10656,10220,2271,1497,64.88,22.22,14.65,Stains
93,93073,20792,15145,14716,3019,2798,72.84,20.52,19.01,Tremblay-en-France
93,93074,4284,3041,2957,633,807,70.99,21.41,27.29,Vaujours
93,93077,15486,12655,12364,3113,1884,81.72,25.18,15.24,Villemomble
93,93078,19015,13340,12912,3005,1981,70.16,23.27,15.34,Villepinte
93,93079,5799,3997,3852,834,430,68.93,21.65,11.16,Villetaneuse
