COM,REG,DEP,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,NORM
97301,3,973,9731,0,REGINA,Régina,Régina,,973REGINA
97302,3,973,9731,0,CAYENNE,Cayenne,Cayenne,,973CAYENNE
97303,3,973,9731,1,IRACOUBO,Iracoubo,Iracoubo,,973IRACOUBO
97304,3,973,9731,0,KOUROU,Kourou,Kourou,,973KOUROU
97305,3,973,9731,0,MACOURIA,Macouria,Macouria,,973MACOURIA
97306,3,973,9732,0,MANA,Mana,Mana,,973MANA
97307,3,973,9731,0,MATOURY,Matoury,Matoury,,973MATOURY
97308,3,973,9731,0,SAINT GEORGES,Saint-Georges,Saint-Georges,,973SAINTGEORGES
97309,3,973,9731,0,REMIRE MONTJOLY,Remire-Montjoly,Remire-Montjoly,,973REMIREMONTJOLY
97310,3,973,9731,0,ROURA,Roura,Roura,,973ROURA
97311,3,973,9732,0,SAINT LAURENT DU MARONI,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,,973SAINTLAURENTDUMARONI
97312,3,973,9731,0,SINNAMARY,Sinnamary,Sinnamary,,973SINNAMARY
97313,3,973,9731,0,MONTSINERY TONNEGRANDE,Montsinéry-Tonnegrande,Montsinéry-Tonnegrande,,973MONTSINERYTONNEGRANDE
97314,3,973,9731,1,OUANARY,Ouanary,Ouanary,,973OUANARY
97352,3,973,9732,0,SAUL,Saül,Saül,,973SAUL
97353,3,973,9732,0,MARIPASOULA,Maripasoula,Maripasoula,,973MARIPASOULA
97356,3,973,9731,0,CAMOPI,Camopi,Camopi,,973CAMOPI
97357,3,973,9732,0,GRAND SANTI,Grand-Santi,Grand-Santi,,973GRANDSANTI
97358,3,973,9731,0,SAINT ELIE,Saint-Élie,Saint-Élie,,973SAINTELIE
97360,3,973,9732,1,APATOU,Apatou,Apatou,,973APATOU
97361,3,973,9732,1,AWALA YALIMAPO,Awala-Yalimapo,Awala-Yalimapo,,973AWALAYALIMAPO
97362,3,973,9732,0,PAPAICHTON,Papaichton,Papaichton,,973PAPAICHTON
