dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2B,2B110,79,55,55,16,10,69.62,29.09,18.18,Pont-de-Buis-lès-Quimerch
2B,2B111,81,56,54,15,6,69.14,27.78,11.11,Pont-de-Buis-lès-Quimerch
2B,2B112,204,123,118,10,29,60.29,8.47,24.58,Pont-de-Buis-lès-Quimerch
2B,2B113,88,46,45,8,10,52.27,17.78,22.22,Pont-de-Buis-lès-Quimerch
2B,2B116,62,41,34,11,3,66.13,32.35,8.82,Pont-de-Buis-lès-Quimerch
2B,2B120,4144,2946,2864,517,1027,71.09,18.05,35.86,Pont-de-Buis-lès-Quimerch
2B,2B121,427,306,300,59,61,71.66,19.67,20.33,Pont-de-Buis-lès-Quimerch
2B,2B122,68,50,50,11,18,73.53,22.00,36.00,Pont-de-Buis-lès-Quimerch
2B,2B123,2408,1580,1557,304,406,65.61,19.52,26.08,Pont-de-Buis-lès-Quimerch
2B,2B124,450,288,278,31,48,64,11.15,17.27,Pont-de-Buis-lès-Quimerch
2B,2B125,59,31,30,7,11,52.54,23.33,36.67,Pont-de-Buis-lès-Quimerch
2B,2B126,77,58,57,16,8,75.32,28.07,14.04,Pont-de-Buis-lès-Quimerch
2B,2B134,2520,1622,1582,276,403,64.37,17.45,25.47,Pont-de-Buis-lès-Quimerch
2B,2B135,470,231,229,39,51,49.15,17.03,22.27,Pont-de-Buis-lès-Quimerch
2B,2B136,179,122,117,21,15,68.16,17.95,12.82,Pont-de-Buis-lès-Quimerch
2B,2B137,42,30,29,7,9,71.43,24.14,31.03,Pont-de-Buis-lès-Quimerch
2B,2B138,129,95,92,15,31,73.64,16.30,33.70,Pont-de-Buis-lès-Quimerch
2B,2B140,122,81,77,28,9,66.39,36.36,11.69,Pont-de-Buis-lès-Quimerch
2B,2B143,701,458,446,98,132,65.34,21.97,29.60,Pont-de-Buis-lès-Quimerch
2B,2B145,280,158,154,3,29,56.43,1.95,18.83,Pont-de-Buis-lès-Quimerch
2B,2B147,279,153,148,40,25,54.84,27.03,16.89,Pont-de-Buis-lès-Quimerch
2B,2B148,3276,2277,2230,335,909,69.51,15.02,40.76,Pont-de-Buis-lès-Quimerch
2B,2B149,124,71,65,15,15,57.26,23.08,23.08,Pont-de-Buis-lès-Quimerch
2B,2B150,948,737,727,131,165,77.74,18.02,22.70,Pont-de-Buis-lès-Quimerch
2B,2B152,709,505,483,118,111,71.23,24.43,22.98,Pont-de-Buis-lès-Quimerch
2B,2B153,140,101,101,21,32,72.14,20.79,31.68,Pont-de-Buis-lès-Quimerch
2B,2B155,68,44,40,2,8,64.71,5.00,20.00,Pont-de-Buis-lès-Quimerch
2B,2B156,40,19,19,1,0,47.5,5.26,0.00,Pont-de-Buis-lès-Quimerch
2B,2B157,43,20,20,9,5,46.51,45.00,25.00,Pont-de-Buis-lès-Quimerch
2B,2B159,114,86,84,13,18,75.44,15.48,21.43,Pont-de-Buis-lès-Quimerch
2B,2B161,90,66,64,22,16,73.33,34.38,25.00,Pont-de-Buis-lès-Quimerch
2B,2B162,731,504,489,65,140,68.95,13.29,28.63,Pont-de-Buis-lès-Quimerch
2B,2B164,40,24,24,1,2,60,4.17,8.33,Pont-de-Buis-lès-Quimerch
2B,2B165,262,184,180,17,76,70.23,9.44,42.22,Pont-de-Buis-lès-Quimerch
2B,2B166,542,384,366,46,105,70.85,12.57,28.69,Pont-de-Buis-lès-Quimerch
2B,2B167,388,263,255,62,34,67.78,24.31,13.33,Pont-de-Buis-lès-Quimerch
2B,2B168,1354,953,927,197,192,70.38,21.25,20.71,Pont-de-Buis-lès-Quimerch
2B,2B169,859,530,513,80,149,61.7,15.59,29.04,Pont-de-Buis-lès-Quimerch
2B,2B170,137,94,91,19,23,68.61,20.88,25.27,Pont-de-Buis-lès-Quimerch
2B,2B171,54,38,38,6,3,70.37,15.79,7.89,Pont-de-Buis-lès-Quimerch
2B,2B172,540,396,384,91,80,73.33,23.70,20.83,Pont-de-Buis-lès-Quimerch
2B,2B173,263,132,125,22,28,50.19,17.60,22.40,Pont-de-Buis-lès-Quimerch
2B,2B175,112,75,73,13,7,66.96,17.81,9.59,Pont-de-Buis-lès-Quimerch
2B,2B176,102,84,82,40,16,82.35,48.78,19.51,Pont-de-Buis-lès-Quimerch
2B,2B177,95,76,71,31,7,80,43.66,9.86,Pont-de-Buis-lès-Quimerch
2B,2B178,137,105,102,30,18,76.64,29.41,17.65,Pont-de-Buis-lès-Quimerch
2B,2B179,72,40,38,28,2,55.56,73.68,5.26,Pont-de-Buis-lès-Quimerch
2B,2B180,109,74,73,10,16,67.89,13.70,21.92,Pont-de-Buis-lès-Quimerch
2B,2B182,240,169,161,25,63,70.42,15.53,39.13,Pont-de-Buis-lès-Quimerch
2B,2B183,102,78,66,33,11,76.47,50.00,16.67,Pont-de-Buis-lès-Quimerch
2B,2B184,102,66,65,18,16,64.71,27.69,24.62,Pont-de-Buis-lès-Quimerch
2B,2B185,1094,776,758,98,181,70.93,12.93,23.88,Pont-de-Buis-lès-Quimerch
2B,2B187,164,101,98,9,32,61.59,9.18,32.65,Pont-de-Buis-lès-Quimerch
