dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
76,76001,909,825,801,175,210,90.76,21.85,26.22,Allouville-Bellefosse
76,76002,430,385,373,52,127,89.53,13.94,34.05,Alvimare
76,76004,409,341,334,71,129,83.37,21.26,38.62,Ambrumesnil
76,76005,2301,1689,1657,409,347,73.4,24.68,20.94,Amfreville-la-Mi-Voie
76,76006,131,109,108,18,33,83.21,16.67,30.56,Amfreville-les-Champs
76,76007,519,450,441,96,115,86.71,21.77,26.08,Anceaumeville
76,76008,538,467,455,92,136,86.8,20.22,29.89,Ancourt
76,76009,220,195,185,39,49,88.64,21.08,26.49,Ancourteville-sur-Héricourt
76,76010,327,282,277,52,99,86.24,18.77,35.74,Ancretiéville-Saint-Victor
76,76011,161,131,125,13,46,81.37,10.40,36.80,Ancretteville-sur-Mer
76,76012,129,112,107,19,31,86.82,17.76,28.97,Angerville-Bailleul
76,76013,751,639,623,116,175,85.09,18.62,28.09,Angerville-la-Martel
76,76014,1112,928,912,185,245,83.45,20.29,26.86,Angerville-l'Orcher
76,76015,477,355,348,69,95,74.42,19.83,27.30,Angiens
76,76016,101,92,90,16,22,91.09,17.78,24.44,Anglesqueville-la-Bras-Long
76,76017,447,410,395,61,126,91.72,15.44,31.90,Anglesqueville-l'Esneval
76,76018,1063,911,885,145,329,85.7,16.38,37.18,Val-de-Saâne
76,76019,324,268,259,53,86,82.72,20.46,33.20,Anneville-sur-Scie
76,76020,958,796,770,141,291,83.09,18.31,37.79,Anneville-Ambourville
76,76021,331,285,275,39,86,86.1,14.18,31.27,Annouville-Vilmesnil
76,76022,256,220,216,28,61,85.94,12.96,28.24,Anquetierville
76,76023,215,190,181,36,41,88.37,19.89,22.65,Anvéville
76,76024,147,113,107,24,31,76.87,22.43,28.97,Ardouval
76,76025,242,198,192,32,75,81.82,16.67,39.06,Argueil
76,76026,1877,1530,1484,249,457,81.51,16.78,30.80,Arques-la-Bataille
76,76028,140,117,117,9,73,83.57,7.69,62.39,Aubéguimont
76,76029,180,154,152,33,50,85.56,21.71,32.89,Aubermesnil-aux-Erables
76,76030,367,318,308,60,83,86.65,19.48,26.95,Aubermesnil-Beaumais
76,76032,102,92,90,17,29,90.2,18.89,32.22,Auberville-la-Manuel
76,76033,331,281,271,39,85,84.89,14.39,31.37,Auberville-la-Renault
76,76034,1320,1127,1100,189,330,85.38,17.18,30.00,Auffay
76,76035,1610,1222,1198,217,342,75.9,18.11,28.55,Aumale
76,76036,536,470,460,106,147,87.69,23.04,31.96,Auppegard
76,76038,340,306,296,92,75,90,31.08,25.34,Authieux-Ratiéville
76,76039,964,866,853,241,169,89.83,28.25,19.81,Les Authieux-sur-le-Port-Saint-Ouen
76,76040,163,144,139,34,59,88.34,24.46,42.45,Autigny
76,76041,568,514,501,111,114,90.49,22.16,22.75,Autretot
76,76042,82,64,61,6,29,78.05,9.84,47.54,Auvilliers
76,76043,667,579,561,136,143,86.81,24.24,25.49,Auzebosc
76,76045,297,240,234,38,76,80.81,16.24,32.48,Auzouville-l'Esneval
76,76046,529,476,465,97,146,89.98,20.86,31.40,Auzouville-sur-Ry
76,76047,138,129,126,12,53,93.48,9.52,42.06,Auzouville-sur-Saâne
76,76048,246,208,203,26,82,84.55,12.81,40.39,Avesnes-en-Bray
76,76049,223,194,192,23,74,87,11.98,38.54,Avesnes-en-Val
76,76050,808,665,641,124,189,82.3,19.34,29.49,Avremesnil
76,76051,1368,1073,1048,198,341,78.44,18.89,32.54,Bacqueville-en-Caux
76,76052,170,143,137,19,44,84.12,13.87,32.12,Bailleul-Neuville
76,76053,107,92,89,14,27,85.98,15.73,30.34,Baillolet
76,76054,392,307,293,59,109,78.32,20.14,37.20,Bailly-en-Rivière
76,76055,324,290,284,43,77,89.51,15.14,27.11,Baons-le-Comte
76,76056,479,429,416,72,118,89.56,17.31,28.37,Bardouville
76,76057,8601,6836,6655,1365,2023,79.48,20.51,30.40,Barentin
76,76058,201,181,176,38,58,90.05,21.59,32.95,Baromesnil
76,76059,318,272,269,34,108,85.53,12.64,40.15,Bazinval
76,76060,403,329,323,56,118,81.64,17.34,36.53,Beaubec-la-Rosière
76,76062,190,157,154,31,42,82.63,20.13,27.27,Beaumont-le-Hareng
76,76063,396,335,328,73,80,84.6,22.26,24.39,Beauval-en-Caux
76,76064,360,315,308,53,84,87.5,17.21,27.27,Beaurepaire
76,76065,317,254,252,40,115,80.13,15.87,45.63,Beaussault
76,76066,116,102,100,15,31,87.93,15.00,31.00,Beautot
76,76067,479,405,401,52,153,84.55,12.97,38.15,Beauvoir-en-Lyons
76,76068,554,448,441,63,156,80.87,14.29,35.37,Bec-de-Mortagne
76,76069,1888,1573,1556,478,272,83.32,30.72,17.48,Belbeuf
76,76070,456,385,372,58,133,84.43,15.59,35.75,Bellencombre
76,76071,379,323,310,41,116,85.22,13.23,37.42,Bellengreville
76,76072,498,444,434,83,166,89.16,19.12,38.25,Belleville-en-Caux
76,76074,50,40,40,5,15,80,12.50,37.50,La Bellière
76,76075,415,332,322,61,120,80,18.94,37.27,Belmesnil
76,76076,188,176,176,26,69,93.62,14.77,39.20,Bénarville
76,76077,146,123,120,20,37,84.25,16.67,30.83,Bénesville
76,76079,130,126,125,25,37,96.92,20.00,29.60,Bénouville
76,76082,488,416,409,63,125,85.25,15.40,30.56,Bernières
76,76083,81,64,61,9,23,79.01,14.75,37.70,Bertheauville
76,76084,95,77,75,8,29,81.05,10.67,38.67,Bertreville
