insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
68001;68;Algolsheim;605;505;488;148;60;109;88;41;3;16;5;9;8;1;0;100;4;30.33;12.3;22.34;18.03;8.4;0.61;3.28;1.02;1.84;1.64;0.2;0;16.53;0.82
68002;68;Altenach;317;286;276;90;29;45;44;39;9;14;1;3;2;0;0;31;10;32.61;10.51;16.3;15.94;14.13;3.26;5.07;0.36;1.09;0.72;0;0;9.78;3.62
68004;68;Altkirch;3853;3037;2975;624;500;632;696;186;50;176;43;39;18;11;0;816;18;20.97;16.81;21.24;23.39;6.25;1.68;5.92;1.45;1.31;0.61;0.37;0;21.18;0.61
68005;68;Ammerschwihr;1374;1141;1115;209;138;294;312;76;13;41;11;14;5;2;0;233;5;18.74;12.38;26.37;27.98;6.82;1.17;3.68;0.99;1.26;0.45;0.18;0;16.96;0.45
68006;68;Bernwiller;933;804;774;233;68;136;170;91;11;26;26;8;3;2;0;129;5;30.1;8.79;17.57;21.96;11.76;1.42;3.36;3.36;1.03;0.39;0.26;0;13.83;0.65
68007;68;Andolsheim;1862;1567;1526;366;178;377;373;115;20;61;14;9;10;3;0;295;2;23.98;11.66;24.71;24.44;7.54;1.31;4;0.92;0.59;0.66;0.2;0;15.84;0.13
68008;68;Appenwihr;435;383;369;122;30;77;77;38;6;10;3;2;4;0;0;52;3;33.06;8.13;20.87;20.87;10.3;1.63;2.71;0.81;0.54;1.08;0;0;11.95;0.81
68009;68;Artzenheim;590;523;506;157;58;90;109;48;9;19;2;2;11;1;0;67;2;31.03;11.46;17.79;21.54;9.49;1.78;3.75;0.4;0.4;2.17;0.2;0;11.36;0.4
68010;68;Aspach;899;746;723;177;92;119;177;91;10;34;8;9;5;1;0;153;5;24.48;12.72;16.46;24.48;12.59;1.38;4.7;1.11;1.24;0.69;0.14;0;17.02;0.69
68011;68;Aspach-le-Bas;1070;890;862;255;95;189;185;64;9;32;14;9;8;2;0;180;9;29.58;11.02;21.93;21.46;7.42;1.04;3.71;1.62;1.04;0.93;0.23;0;16.82;1.04
68012;68;Aspach-Michelbach;1441;1240;1203;313;163;242;260;116;19;51;13;16;5;5;0;201;3;26.02;13.55;20.12;21.61;9.64;1.58;4.24;1.08;1.33;0.42;0.42;0;13.95;0.25
68013;68;Attenschwiller;686;592;581;147;36;91;214;54;9;11;10;7;2;0;0;94;1;25.3;6.2;15.66;36.83;9.29;1.55;1.89;1.72;1.2;0.34;0;0;13.7;0.17
68014;68;Aubure;272;226;215;50;51;32;16;14;29;11;6;5;1;0;0;46;1;23.26;23.72;14.88;7.44;6.51;13.49;5.12;2.79;2.33;0.47;0;0;16.91;0.47
68015;68;Baldersheim;2231;1805;1743;448;228;382;425;112;20;85;11;23;9;0;0;426;16;25.7;13.08;21.92;24.38;6.43;1.15;4.88;0.63;1.32;0.52;0;0;19.09;0.92
68016;68;Balgau;728;619;603;205;48;106;138;60;5;19;10;8;2;2;0;109;3;34;7.96;17.58;22.89;9.95;0.83;3.15;1.66;1.33;0.33;0.33;0;14.97;0.5
68017;68;Ballersdorf;672;551;528;145;58;83;111;81;8;21;3;9;7;2;0;121;4;27.46;10.98;15.72;21.02;15.34;1.52;3.98;0.57;1.7;1.33;0.38;0;18.01;0.76
68018;68;Balschwiller;646;544;527;137;64;109;128;57;7;17;3;1;3;1;0;102;2;26;12.14;20.68;24.29;10.82;1.33;3.23;0.57;0.19;0.57;0.19;0;15.79;0.38
68019;68;Baltzenheim;422;353;341;121;42;67;47;26;5;14;3;14;1;1;0;69;2;35.48;12.32;19.65;13.78;7.62;1.47;4.11;0.88;4.11;0.29;0.29;0;16.35;0.59
68020;68;Bantzenheim;1205;1002;976;296;112;205;193;81;12;46;8;12;10;1;0;203;2;30.33;11.48;21;19.77;8.3;1.23;4.71;0.82;1.23;1.02;0.1;0;16.85;0.2
68021;68;Bartenheim;2590;2077;2022;588;174;322;633;164;20;61;28;13;14;5;0;513;10;29.08;8.61;15.92;31.31;8.11;0.99;3.02;1.38;0.64;0.69;0.25;0;19.81;0.49
68022;68;Battenheim;1234;1063;1036;345;109;184;243;56;15;53;18;9;1;3;0;171;9;33.3;10.52;17.76;23.46;5.41;1.45;5.12;1.74;0.87;0.1;0.29;0;13.86;0.87
68023;68;Beblenheim;745;607;596;159;55;145;150;50;5;17;4;5;3;3;0;138;2;26.68;9.23;24.33;25.17;8.39;0.84;2.85;0.67;0.84;0.5;0.5;0;18.52;0.34
68024;68;Bellemagny;92;78;74;18;10;11;16;13;1;3;1;1;0;0;0;14;1;24.32;13.51;14.86;21.62;17.57;1.35;4.05;1.35;1.35;0;0;0;15.22;1.35
68025;68;Bendorf;157;135;131;42;10;18;28;24;5;0;0;2;2;0;0;22;0;32.06;7.63;13.74;21.37;18.32;3.82;0;0;1.53;1.53;0;0;14.01;0
68026;68;Bennwihr;1090;895;857;195;82;210;251;50;14;31;12;7;5;0;0;195;11;22.75;9.57;24.5;29.29;5.83;1.63;3.62;1.4;0.82;0.58;0;0;17.89;1.28
68027;68;Berentzwiller;257;208;190;55;11;28;68;14;3;4;2;2;2;1;0;49;3;28.95;5.79;14.74;35.79;7.37;1.58;2.11;1.05;1.05;1.05;0.53;0;19.07;1.58
68028;68;Bergheim;1575;1295;1265;358;138;219;313;131;19;45;15;11;11;5;0;280;10;28.3;10.91;17.31;24.74;10.36;1.5;3.56;1.19;0.87;0.87;0.4;0;17.78;0.79
68029;68;Bergholtz;860;741;722;190;84;154;176;59;5;32;11;5;5;1;0;119;4;26.32;11.63;21.33;24.38;8.17;0.69;4.43;1.52;0.69;0.69;0.14;0;13.84;0.55
68030;68;Bergholtz-zell;344;285;273;75;31;56;56;25;4;14;2;4;6;0;0;59;1;27.47;11.36;20.51;20.51;9.16;1.47;5.13;0.73;1.47;2.2;0;0;17.15;0.37
68032;68;Berrwiller;1012;874;853;222;100;188;189;92;6;30;13;7;4;2;0;138;2;26.03;11.72;22.04;22.16;10.79;0.7;3.52;1.52;0.82;0.47;0.23;0;13.64;0.23
68033;68;Bettendorf;398;329;321;117;20;48;91;26;5;7;4;0;3;0;0;69;2;36.45;6.23;14.95;28.35;8.1;1.56;2.18;1.25;0;0.93;0;0;17.34;0.62
68034;68;Bettlach;254;215;208;47;8;37;84;21;2;5;4;0;0;0;0;39;0;22.6;3.85;17.79;40.38;10.1;0.96;2.4;1.92;0;0;0;0;15.35;0
68035;68;Biederthal;204;160;157;29;17;36;30;18;3;19;2;2;1;0;0;44;1;18.47;10.83;22.93;19.11;11.46;1.91;12.1;1.27;1.27;0.64;0;0;21.57;0.64
68036;68;Biesheim;1768;1396;1348;406;194;268;245;99;20;53;22;18;18;5;0;372;21;30.12;14.39;19.88;18.18;7.34;1.48;3.93;1.63;1.34;1.34;0.37;0;21.04;1.56
68037;68;Biltzheim;351;302;297;103;30;50;61;34;2;9;2;3;2;1;0;49;4;34.68;10.1;16.84;20.54;11.45;0.67;3.03;0.67;1.01;0.67;0.34;0;13.96;1.35
68038;68;Bischwihr;862;741;717;199;95;155;131;72;9;26;9;9;8;4;0;121;8;27.75;13.25;21.62;18.27;10.04;1.26;3.63;1.26;1.26;1.12;0.56;0;14.04;1.12
68039;68;Bisel;461;350;345;120;27;48;100;28;6;7;2;3;2;2;0;111;1;34.78;7.83;13.91;28.99;8.12;1.74;2.03;0.58;0.87;0.58;0.58;0;24.08;0.29
68040;68;Bitschwiller-les-Thann;1432;1133;1089;381;175;188;163;83;12;45;19;13;10;0;0;299;3;34.99;16.07;17.26;14.97;7.62;1.1;4.13;1.74;1.19;0.92;0;0;20.88;0.28
68041;68;Blodelsheim;1456;1234;1209;461;87;174;261;108;11;50;23;21;10;3;0;222;5;38.13;7.2;14.39;21.59;8.93;0.91;4.14;1.9;1.74;0.83;0.25;0;15.25;0.41
68042;68;Blotzheim;3027;2473;2409;671;193;446;759;180;29;63;29;22;16;1;0;554;13;27.85;8.01;18.51;31.51;7.47;1.2;2.62;1.2;0.91;0.66;0.04;0;18.3;0.54
68043;68;Bollwiller;3022;2399;2320;766;364;418;352;180;24;117;35;36;19;9;0;623;15;33.02;15.69;18.02;15.17;7.76;1.03;5.04;1.51;1.55;0.82;0.39;0;20.62;0.65
68044;68;Le Bonhomme;613;513;500;126;99;79;113;31;6;25;4;9;4;4;0;100;6;25.2;19.8;15.8;22.6;6.2;1.2;5;0.8;1.8;0.8;0.8;0;16.31;1.2
68045;68;Bourbach-le-Bas;485;413;404;124;42;85;74;49;5;15;6;2;2;0;0;72;1;30.69;10.4;21.04;18.32;12.13;1.24;3.71;1.49;0.5;0.5;0;0;14.85;0.25
68046;68;Bourbach-le-Haut;349;287;271;68;56;59;32;17;3;21;7;4;4;0;0;62;7;25.09;20.66;21.77;11.81;6.27;1.11;7.75;2.58;1.48;1.48;0;0;17.77;2.58
68049;68;Bouxwiller;333;265;258;75;22;36;76;21;7;13;5;1;2;0;0;68;2;29.07;8.53;13.95;29.46;8.14;2.71;5.04;1.94;0.39;0.78;0;0;20.42;0.78
68050;68;Bréchaumont;359;296;287;79;33;41;75;28;1;11;6;8;5;0;0;63;0;27.53;11.5;14.29;26.13;9.76;0.35;3.83;2.09;2.79;1.74;0;0;17.55;0
68051;68;Breitenbach-Haut-Rhin;733;599;591;183;70;117;119;44;9;30;4;13;1;1;0;134;1;30.96;11.84;19.8;20.14;7.45;1.52;5.08;0.68;2.2;0.17;0.17;0;18.28;0.17
68052;68;Bretten;150;129;127;45;20;27;15;12;0;5;1;1;0;1;0;21;0;35.43;15.75;21.26;11.81;9.45;0;3.94;0.79;0.79;0;0.79;0;14;0
68054;68;Brinckheim;305;277;272;68;17;54;95;19;3;6;1;3;5;1;0;28;0;25;6.25;19.85;34.93;6.99;1.1;2.21;0.37;1.1;1.84;0.37;0;9.18;0
68055;68;Bruebach;844;757;737;158;69;158;250;54;13;23;7;4;1;0;0;87;4;21.44;9.36;21.44;33.92;7.33;1.76;3.12;0.95;0.54;0.14;0;0;10.31;0.54
68056;68;Brunstatt-Didenheim;6051;4931;4823;983;573;1111;1422;319;48;237;56;42;20;12;0;1120;37;20.38;11.88;23.04;29.48;6.61;1;4.91;1.16;0.87;0.41;0.25;0;18.51;0.77
68057;68;Buethwiller;197;171;169;51;22;32;42;13;2;3;2;2;0;0;0;26;1;30.18;13.02;18.93;24.85;7.69;1.18;1.78;1.18;1.18;0;0;0;13.2;0.59
68058;68;Buhl;2372;1891;1835;624;295;295;320;121;20;82;31;19;21;7;0;481;15;34.01;16.08;16.08;17.44;6.59;1.09;4.47;1.69;1.04;1.14;0.38;0;20.28;0.82
68059;68;Burnhaupt-le-Bas;1477;1222;1184;383;143;225;245;92;18;34;16;12;11;5;0;255;4;32.35;12.08;19;20.69;7.77;1.52;2.87;1.35;1.01;0.93;0.42;0;17.26;0.34
68060;68;Burnhaupt-le-Haut;1374;1178;1145;333;120;245;255;100;18;41;12;10;9;2;0;196;8;29.08;10.48;21.4;22.27;8.73;1.57;3.58;1.05;0.87;0.79;0.17;0;14.26;0.7
68061;68;Buschwiller;666;563;543;138;20;94;213;42;3;19;7;2;2;3;0;103;2;25.41;3.68;17.31;39.23;7.73;0.55;3.5;1.29;0.37;0.37;0.55;0;15.47;0.37
68062;68;Carspach;1603;1314;1275;333;158;242;315;104;19;56;17;20;9;2;0;289;8;26.12;12.39;18.98;24.71;8.16;1.49;4.39;1.33;1.57;0.71;0.16;0;18.03;0.63
68063;68;Cernay;8096;5993;5816;1748;1030;1068;1018;434;52;273;72;69;40;12;0;2103;63;30.06;17.71;18.36;17.5;7.46;0.89;4.69;1.24;1.19;0.69;0.21;0;25.98;1.08
68064;68;Chalampé;679;570;552;168;71;100;115;37;7;28;6;11;7;2;0;109;4;30.43;12.86;18.12;20.83;6.7;1.27;5.07;1.09;1.99;1.27;0.36;0;16.05;0.72
68065;68;Chavannes-sur-l'Etang;488;412;407;153;49;85;45;40;4;22;1;6;2;0;0;76;0;37.59;12.04;20.88;11.06;9.83;0.98;5.41;0.25;1.47;0.49;0;0;15.57;0
68066;68;Colmar;41421;30291;29503;6431;4781;6954;6551;1432;319;1914;494;333;213;81;0;11130;209;21.8;16.21;23.57;22.2;4.85;1.08;6.49;1.67;1.13;0.72;0.27;0;26.87;0.71
68067;68;Courtavon;282;227;224;90;16;22;57;23;3;4;2;5;1;1;0;55;1;40.18;7.14;9.82;25.45;10.27;1.34;1.79;0.89;2.23;0.45;0.45;0;19.5;0.45
