dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
61,61001,15261,11561,11301,2876,1934,75.76,25.45,17.11,Alençon
61,61002,529,447,429,72,108,84.5,16.78,25.17,Almenêches
61,61005,213,189,186,48,51,88.73,25.81,27.42,Appenai-sous-Bellême
61,61006,8636,6677,6484,1620,1390,77.32,24.98,21.44,Argentan
61,61007,3418,2862,2791,625,630,83.73,22.39,22.57,Athis Val de Rouve
61,61008,820,647,633,135,183,78.9,21.33,28.91,Aube
61,61010,83,64,62,11,11,77.11,17.74,17.74,Aubry-le-Panthou
61,61011,358,321,313,99,55,89.66,31.63,17.57,Aubusson
61,61012,143,119,118,6,49,83.22,5.08,41.53,Auguaise
61,61013,121,101,98,9,26,83.47,9.18,26.53,Aunay-les-Bois
61,61014,209,181,177,48,30,86.6,27.12,16.95,Aunou-le-Faucon
61,61015,208,179,175,40,40,86.06,22.86,22.86,Aunou-sur-Orne
61,61017,50,47,46,4,12,94,8.70,26.09,Les Authieux-du-Puits
61,61018,56,51,51,10,18,91.07,19.61,35.29,Avernes-Saint-Gourgon
61,61020,187,155,147,30,34,82.89,20.41,23.13,Avoine
61,61021,108,85,84,21,19,78.7,25.00,22.62,Avrilly
61,61023,538,452,443,84,115,84.01,18.96,25.96,Bailleul
61,61024,464,388,375,72,102,83.62,19.20,27.20,Banvou
61,61026,166,141,135,16,37,84.94,11.85,27.41,Barville
61,61028,336,293,284,43,79,87.2,15.14,27.82,Bazoches-au-Houlme
61,61029,669,564,553,95,142,84.3,17.18,25.68,Bazoches-sur-Hoëne
61,61030,195,177,172,39,51,90.77,22.67,29.65,La Bazoque
61,61032,276,232,224,41,62,84.06,18.30,27.68,Beaufai
61,61034,158,143,143,18,35,90.51,12.59,24.48,Beaulieu
61,61035,195,177,169,31,51,90.77,18.34,30.18,Beauvain
61,61036,138,118,116,21,35,85.51,18.10,30.17,Belfonds
61,61037,126,108,108,12,24,85.71,11.11,22.22,Bellavilliers
61,61038,992,820,801,165,167,82.66,20.60,20.85,Bellême
61,61039,101,88,85,5,23,87.13,5.88,27.06,La Bellière
61,61040,852,684,657,121,188,80.28,18.42,28.61,Bellou-en-Houlme
61,61041,173,146,142,18,43,84.39,12.68,30.28,Bellou-le-Trichard
61,61043,821,663,644,129,196,80.76,20.03,30.43,Berd'huis
61,61044,387,317,309,50,113,81.91,16.18,36.57,Berjou
61,61046,125,103,100,16,30,82.4,16.00,30.00,Bizou
61,61048,107,82,81,14,28,76.64,17.28,34.57,Boëcé
61,61049,88,77,71,17,21,87.5,23.94,29.58,Boissei-la-Lande
61,61050,540,472,462,111,101,87.41,24.03,21.86,Cours-Maugis-sur-Huisne
61,61051,237,200,195,44,56,84.39,22.56,28.72,Boitron
61,61052,136,124,120,24,30,91.18,20.00,25.00,Bonnefoi
61,61053,213,184,178,31,53,86.38,17.42,29.78,Bonsmoulins
61,61054,194,154,150,9,55,79.38,6.00,36.67,Le Bosc-Renoult
61,61055,477,394,385,45,93,82.6,11.69,24.16,Boucé
61,61056,125,115,112,22,34,92,19.64,30.36,Le Bouillon
61,61060,119,101,97,12,42,84.87,12.37,43.30,Brethel
61,61061,1043,856,836,142,247,82.07,16.99,29.55,Bretoncelles
61,61062,68,54,53,13,26,79.41,24.53,49.06,Brieux
61,61063,1242,969,940,206,192,78.02,21.91,20.43,Briouze
61,61064,89,74,73,16,14,83.15,21.92,19.18,Brullemail
61,61066,92,83,82,9,38,90.22,10.98,46.34,Buré
61,61067,139,122,119,32,39,87.77,26.89,32.77,Bures
61,61068,166,140,136,25,40,84.34,18.38,29.41,Bursard
61,61069,135,116,113,19,27,85.93,16.81,23.89,Cahan
61,61070,675,572,555,136,145,84.74,24.50,26.13,Caligny
61,61071,162,141,139,36,24,87.04,25.90,17.27,Camembert
61,61072,154,131,128,18,30,85.06,14.06,23.44,Canapville
61,61074,489,372,357,60,97,76.07,16.81,27.17,Carrouges
61,61075,929,785,756,169,152,84.5,22.35,20.11,Ceaucé
