dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
83,83001,2144,1748,1721,358,472,81.53,20.80,27.43,Les Adrets-de-l'Estérel
83,83002,211,178,175,31,33,84.36,17.71,18.86,Aiguines
83,83003,801,677,665,107,201,84.52,16.09,30.23,Ampus
83,83004,5482,4290,4173,716,1434,78.26,17.16,34.36,Les Arcs
83,83005,328,258,255,42,108,78.66,16.47,42.35,Artignosc-sur-Verdon
83,83006,251,212,207,21,101,84.46,10.14,48.79,Artigues
83,83007,1673,1357,1314,196,415,81.11,14.92,31.58,Aups
83,83008,2008,1676,1652,285,540,83.47,17.25,32.69,Bagnols-en-Forêt
83,83009,8448,6660,6569,1350,1603,78.84,20.55,24.40,Bandol
83,83010,149,120,117,17,23,80.54,14.53,19.66,Bargème
83,83011,1022,812,803,150,268,79.45,18.68,33.37,Bargemon
83,83012,2395,1819,1778,306,556,75.95,17.21,31.27,Barjols
83,83013,169,145,140,22,44,85.8,15.71,31.43,La Bastide
83,83014,211,172,169,30,46,81.52,17.75,27.22,Baudinard-sur-Verdon
83,83015,293,247,244,51,40,84.3,20.90,16.39,Bauduen
83,83016,7596,6193,6072,1259,1725,81.53,20.73,28.41,Le Beausset
83,83017,1887,1500,1466,295,485,79.49,20.12,33.08,Belgentier
83,83018,2562,1937,1907,271,686,75.6,14.21,35.97,Besse-sur-Issole
83,83019,6872,5458,5369,906,1531,79.42,16.87,28.52,Bormes-les-Mimosas
83,83020,43,40,36,5,15,93.02,13.89,41.67,Le Bourguet
83,83021,1984,1606,1567,224,526,80.95,14.29,33.57,Bras
83,83022,39,31,30,3,4,79.49,10.00,13.33,Brenon
83,83023,11950,8839,8622,1360,3074,73.97,15.77,35.65,Brignoles
83,83025,1006,865,849,149,285,85.98,17.55,33.57,Brue-Auriac
83,83026,1448,1160,1137,133,438,80.11,11.70,38.52,Cabasse
83,83027,3979,3385,3310,635,691,85.07,19.18,20.88,La Cadière-d'Azur
83,83028,1456,1148,1115,189,400,78.85,16.95,35.87,Callas
83,83029,2413,1959,1921,331,603,81.19,17.23,31.39,Callian
83,83030,1488,1245,1220,174,472,83.67,14.26,38.69,Camps-la-Source
83,83031,3362,2680,2627,448,928,79.71,17.05,35.33,Le Cannet-des-Maures
83,83032,2704,2115,2060,316,651,78.22,15.34,31.60,Carcès
83,83033,2769,2131,2076,299,765,76.96,14.40,36.85,Carnoules
83,83034,8811,6958,6833,1403,1515,78.97,20.53,22.17,Carqueiranne
83,83035,3923,3231,3168,486,949,82.36,15.34,29.96,Le Castellet
83,83036,6005,4790,4684,693,1364,79.77,14.80,29.12,Cavalaire-sur-Mer
