insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
62001;62;Ablain-Saint-Nazaire;1485;1233;1205;300;221;273;250;63;9;64;6;7;9;3;0;252;7;24.9;18.34;22.66;20.75;5.23;0.75;5.31;0.5;0.58;0.75;0.25;0;16.97;0.58
62002;62;Ablainzevelle;183;154;149;54;17;31;21;6;3;10;1;2;4;0;0;29;0;36.24;11.41;20.81;14.09;4.03;2.01;6.71;0.67;1.34;2.68;0;0;15.85;0
62003;62;Acheville;529;463;451;134;81;90;91;21;7;22;2;0;1;2;0;66;3;29.71;17.96;19.96;20.18;4.66;1.55;4.88;0.44;0;0.22;0.44;0;12.48;0.67
62004;62;Achicourt;5926;4788;4663;1144;1007;1121;604;244;42;322;36;57;73;13;0;1138;54;24.53;21.6;24.04;12.95;5.23;0.9;6.91;0.77;1.22;1.57;0.28;0;19.2;1.16
62005;62;Achiet-le-Grand;710;546;530;201;109;85;68;27;3;22;3;8;4;0;0;164;4;37.92;20.57;16.04;12.83;5.09;0.57;4.15;0.57;1.51;0.75;0;0;23.1;0.75
62006;62;Achiet-le-Petit;267;217;214;84;36;40;32;14;0;4;0;3;1;0;0;50;0;39.25;16.82;18.69;14.95;6.54;0;1.87;0;1.4;0.47;0;0;18.73;0
62007;62;Acq;536;487;464;107;58;118;121;20;1;25;2;6;4;2;0;49;3;23.06;12.5;25.43;26.08;4.31;0.22;5.39;0.43;1.29;0.86;0.43;0;9.14;0.65
62008;62;Acquin-Westbécourt;579;521;496;150;68;99;116;33;5;13;1;4;5;2;0;58;9;30.24;13.71;19.96;23.39;6.65;1.01;2.62;0.2;0.81;1.01;0.4;0;10.02;1.81
62009;62;Adinfer;195;168;158;54;24;35;25;8;0;7;3;1;1;0;0;27;2;34.18;15.19;22.15;15.82;5.06;0;4.43;1.9;0.63;0.63;0;0;13.85;1.27
62010;62;Affringues;176;161;154;49;24;30;22;13;1;11;0;2;2;0;0;15;2;31.82;15.58;19.48;14.29;8.44;0.65;7.14;0;1.3;1.3;0;0;8.52;1.3
62011;62;Agnez-lès-Duisans;551;470;459;97;47;86;176;28;3;16;2;3;1;0;0;81;1;21.13;10.24;18.74;38.34;6.1;0.65;3.49;0.44;0.65;0.22;0;0;14.7;0.22
62012;62;Agnières;169;150;149;39;18;32;29;15;3;3;0;3;5;2;0;19;1;26.17;12.08;21.48;19.46;10.07;2.01;2.01;0;2.01;3.36;1.34;0;11.24;0.67
62013;62;Agny;1591;1312;1282;334;218;314;179;80;16;95;11;18;14;3;0;279;15;26.05;17;24.49;13.96;6.24;1.25;7.41;0.86;1.4;1.09;0.23;0;17.54;1.17
62014;62;Aire-sur-la-Lys;7474;5808;5644;1690;1057;1162;845;363;47;313;29;70;64;4;0;1666;58;29.94;18.73;20.59;14.97;6.43;0.83;5.55;0.51;1.24;1.13;0.07;0;22.29;1.03
62015;62;Airon-Notre-Dame;175;162;154;24;27;48;34;6;3;9;0;2;1;0;0;13;0;15.58;17.53;31.17;22.08;3.9;1.95;5.84;0;1.3;0.65;0;0;7.43;0
62016;62;Airon-Saint-Vaast;167;152;145;38;16;41;33;11;2;2;0;1;0;1;0;15;2;26.21;11.03;28.28;22.76;7.59;1.38;1.38;0;0.69;0;0.69;0;8.98;1.38
62017;62;Aix-en-Ergny;114;99;97;38;28;10;14;5;0;2;0;0;0;0;0;15;0;39.18;28.87;10.31;14.43;5.15;0;2.06;0;0;0;0;0;13.16;0
62018;62;Aix-en-Issart;223;179;175;42;23;45;40;5;0;17;0;0;3;0;0;44;0;24;13.14;25.71;22.86;2.86;0;9.71;0;0;1.71;0;0;19.73;0
62019;62;Aix-Noulette;2956;2418;2370;758;550;449;301;106;14;131;20;19;20;2;0;538;37;31.98;23.21;18.95;12.7;4.47;0.59;5.53;0.84;0.8;0.84;0.08;0;18.2;1.56
62020;62;Alembon;445;364;356;137;51;42;79;21;4;10;1;4;7;0;0;81;2;38.48;14.33;11.8;22.19;5.9;1.12;2.81;0.28;1.12;1.97;0;0;18.2;0.56
62021;62;Alette;263;236;230;66;26;53;46;21;2;11;2;2;0;1;0;27;3;28.7;11.3;23.04;20;9.13;0.87;4.78;0.87;0.87;0;0.43;0;10.27;1.3
62022;62;Alincthun;270;223;219;42;33;38;74;20;0;6;1;2;3;0;0;47;4;19.18;15.07;17.35;33.79;9.13;0;2.74;0.46;0.91;1.37;0;0;17.41;1.83
62023;62;Allouagne;2451;1965;1899;679;405;370;182;107;12;93;9;21;16;5;0;486;24;35.76;21.33;19.48;9.58;5.63;0.63;4.9;0.47;1.11;0.84;0.26;0;19.83;1.26
62024;62;Alquines;652;543;528;203;55;105;89;32;4;24;10;4;2;0;0;109;5;38.45;10.42;19.89;16.86;6.06;0.76;4.55;1.89;0.76;0.38;0;0;16.72;0.95
62025;62;Ambleteuse;1577;1261;1224;397;183;229;254;64;12;58;8;10;7;2;0;316;24;32.43;14.95;18.71;20.75;5.23;0.98;4.74;0.65;0.82;0.57;0.16;0;20.04;1.96
62026;62;Ambricourt;93;87;86;18;18;27;9;4;1;6;0;0;3;0;0;6;0;20.93;20.93;31.4;10.47;4.65;1.16;6.98;0;0;3.49;0;0;6.45;0
62027;62;Ambrines;169;148;142;74;13;23;23;9;0;0;0;0;0;0;0;21;4;52.11;9.15;16.2;16.2;6.34;0;0;0;0;0;0;0;12.43;2.82
62028;62;Ames;466;404;398;161;59;54;69;19;5;19;1;3;7;1;0;62;5;40.45;14.82;13.57;17.34;4.77;1.26;4.77;0.25;0.75;1.76;0.25;0;13.3;1.26
62029;62;Amettes;354;312;308;115;41;53;55;25;1;9;1;4;3;1;0;42;2;37.34;13.31;17.21;17.86;8.12;0.32;2.92;0.32;1.3;0.97;0.32;0;11.86;0.65
62030;62;Amplier;224;195;190;71;26;31;41;11;1;8;0;0;0;1;0;29;3;37.37;13.68;16.32;21.58;5.79;0.53;4.21;0;0;0;0.53;0;12.95;1.58
62031;62;Andres;1169;914;883;381;182;133;77;61;9;26;1;6;6;1;0;255;10;43.15;20.61;15.06;8.72;6.91;1.02;2.94;0.11;0.68;0.68;0.11;0;21.81;1.13
62032;62;Angres;3303;2774;2699;906;613;504;291;128;16;137;27;32;42;3;0;529;22;33.57;22.71;18.67;10.78;4.74;0.59;5.08;1;1.19;1.56;0.11;0;16.02;0.82
62033;62;Annay;3132;2567;2497;1004;544;361;252;124;12;111;17;37;30;5;0;565;29;40.21;21.79;14.46;10.09;4.97;0.48;4.45;0.68;1.48;1.2;0.2;0;18.04;1.16
62034;62;Annequin;1745;1407;1375;672;233;216;106;56;6;49;6;13;16;2;0;338;0;48.87;16.95;15.71;7.71;4.07;0.44;3.56;0.44;0.95;1.16;0.15;0;19.37;0
62035;62;Annezin;4539;3573;3476;1324;669;601;432;166;18;167;28;34;30;7;0;966;30;38.09;19.25;17.29;12.43;4.78;0.52;4.8;0.81;0.98;0.86;0.2;0;21.28;0.86
62036;62;Anvin;607;489;470;149;77;112;70;30;2;17;0;7;5;1;0;118;4;31.7;16.38;23.83;14.89;6.38;0.43;3.62;0;1.49;1.06;0.21;0;19.44;0.85
